"","icd10_code","wva2016_code","wva2016_title","icd10_range.x","wbd10_age","wbd10_kind","wbd10_kind_depth","wbd10_codex4","wbd10_codex2","wbd10_code","wbd10_codex4_title","wbd10_codex2_title","wbd10_title","icd10_range.y"
"16","A20",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1A","1A02","Communicable, perinatal and nutritional conditions","Early childhood infections","Acute bacterial sepsis and severe infections","A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
"17","A21",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1A","1A02","Communicable, perinatal and nutritional conditions","Early childhood infections","Acute bacterial sepsis and severe infections","A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
"18","A22",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1A","1A02","Communicable, perinatal and nutritional conditions","Early childhood infections","Acute bacterial sepsis and severe infections","A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
"19","A23",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1A","1A02","Communicable, perinatal and nutritional conditions","Early childhood infections","Acute bacterial sepsis and severe infections","A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
"20","A24",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1A","1A02","Communicable, perinatal and nutritional conditions","Early childhood infections","Acute bacterial sepsis and severe infections","A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
"21","A25",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1A","1A02","Communicable, perinatal and nutritional conditions","Early childhood infections","Acute bacterial sepsis and severe infections","A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
"22","A26",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1A","1A02","Communicable, perinatal and nutritional conditions","Early childhood infections","Acute bacterial sepsis and severe infections","A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
"23","A27",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1A","1A02","Communicable, perinatal and nutritional conditions","Early childhood infections","Acute bacterial sepsis and severe infections","A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
"24","A28",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1A","1A02","Communicable, perinatal and nutritional conditions","Early childhood infections","Acute bacterial sepsis and severe infections","A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
"25","A30",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1B","1B08","Communicable, perinatal and nutritional conditions","Other communicable diseases","Other infectious and parasitic diseases","A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
"26","A31",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1B","1B08","Communicable, perinatal and nutritional conditions","Other communicable diseases","Other infectious and parasitic diseases","A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
"27","A32",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1A","1A02","Communicable, perinatal and nutritional conditions","Early childhood infections","Acute bacterial sepsis and severe infections","A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
"28","A33",10.05,"Neonatal tetanus","A33","child","codex",3,1,"1B","1B03","Communicable, perinatal and nutritional conditions","Other communicable diseases","Tetanus","A33-A35"
"29","A33",1.08,"Tetanus","A33-35","child","codex",3,1,"1B","1B03","Communicable, perinatal and nutritional conditions","Other communicable diseases","Tetanus","A33-A35"
"30","A34",1.08,"Tetanus","A33-35","child","codex",3,1,"1B","1B03","Communicable, perinatal and nutritional conditions","Other communicable diseases","Tetanus","A33-A35"
"31","A35",1.08,"Tetanus","A33-35","child","codex",3,1,"1B","1B03","Communicable, perinatal and nutritional conditions","Other communicable diseases","Tetanus","A33-A35"
"32","A36",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1B","1B08","Communicable, perinatal and nutritional conditions","Other communicable diseases","Other infectious and parasitic diseases","A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
"33","A37",1.1,"Pertussis","A37","child","codex",3,1,"1A","1A01","Communicable, perinatal and nutritional conditions","Early childhood infections","Pneumonia","A37,H65-H68,H70,H71,J00-J22,J32,J36,J85,J86,P23,U04"
"34","A37",1.1,"Pertussis","A37","child","codex",3,1,"1A","1A01","Communicable, perinatal and nutritional conditions","Early childhood infections","Pneumonia","A37,H65-H68,H70,H71,J00-J22,J32,J36,J85,J86,P23,U04"
"35","A38",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1A","1A02","Communicable, perinatal and nutritional conditions","Early childhood infections","Acute bacterial sepsis and severe infections","A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
"36","A39",1.07,"Meningitis and encephalitis","A39,G00-05","child","codex",3,1,"1A","1A03","Communicable, perinatal and nutritional conditions","Early childhood infections","Meningitis/encephalitis","A39,A81-A89,G00-G09"
"37","A39",1.07,"Meningitis and encephalitis","A39,G00-05","child","codex",3,1,"1A","1A03","Communicable, perinatal and nutritional conditions","Early childhood infections","Meningitis/encephalitis","A39,A81-A89,G00-G09"
"38","A40",1.01,"Sepsis","A40-41","child","codex",3,1,"1A","1A02","Communicable, perinatal and nutritional conditions","Early childhood infections","Acute bacterial sepsis and severe infections","A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
"39","A41",1.01,"Sepsis","A40-41","child","codex",3,1,"1A","1A02","Communicable, perinatal and nutritional conditions","Early childhood infections","Acute bacterial sepsis and severe infections","A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
"40","A42",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1A","1A02","Communicable, perinatal and nutritional conditions","Early childhood infections","Acute bacterial sepsis and severe infections","A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
"41","A43",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1A","1A02","Communicable, perinatal and nutritional conditions","Early childhood infections","Acute bacterial sepsis and severe infections","A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
"42","A44",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1A","1A02","Communicable, perinatal and nutritional conditions","Early childhood infections","Acute bacterial sepsis and severe infections","A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
"43","A46",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1A","1A02","Communicable, perinatal and nutritional conditions","Early childhood infections","Acute bacterial sepsis and severe infections","A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
"44","A48",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1A","1A02","Communicable, perinatal and nutritional conditions","Early childhood infections","Acute bacterial sepsis and severe infections","A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
"45","A49",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1A","1A02","Communicable, perinatal and nutritional conditions","Early childhood infections","Acute bacterial sepsis and severe infections","A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
"46","A50",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1B","1B08","Communicable, perinatal and nutritional conditions","Other communicable diseases","Other infectious and parasitic diseases","A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
"47","A51",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1B","1B08","Communicable, perinatal and nutritional conditions","Other communicable diseases","Other infectious and parasitic diseases","A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
"48","A52",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1B","1B08","Communicable, perinatal and nutritional conditions","Other communicable diseases","Other infectious and parasitic diseases","A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
"49","A53",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1B","1B08","Communicable, perinatal and nutritional conditions","Other communicable diseases","Other infectious and parasitic diseases","A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
"50","A54",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1B","1B08","Communicable, perinatal and nutritional conditions","Other communicable diseases","Other infectious and parasitic diseases","A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
"51","A55",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1B","1B08","Communicable, perinatal and nutritional conditions","Other communicable diseases","Other infectious and parasitic diseases","A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
"52","A56",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1B","1B08","Communicable, perinatal and nutritional conditions","Other communicable diseases","Other infectious and parasitic diseases","A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
"53","A57",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1B","1B08","Communicable, perinatal and nutritional conditions","Other communicable diseases","Other infectious and parasitic diseases","A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
"54","A58",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1B","1B08","Communicable, perinatal and nutritional conditions","Other communicable diseases","Other infectious and parasitic diseases","A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
"55","A59",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1B","1B08","Communicable, perinatal and nutritional conditions","Other communicable diseases","Other infectious and parasitic diseases","A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
"56","A60",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1B","1B08","Communicable, perinatal and nutritional conditions","Other communicable diseases","Other infectious and parasitic diseases","A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
"57","A61",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1B","1B08","Communicable, perinatal and nutritional conditions","Other communicable diseases","Other infectious and parasitic diseases","A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
"58","A62",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1B","1B08","Communicable, perinatal and nutritional conditions","Other communicable diseases","Other infectious and parasitic diseases","A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
"59","A63",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1B","1B08","Communicable, perinatal and nutritional conditions","Other communicable diseases","Other infectious and parasitic diseases","A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
"60","A64",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1B","1B08","Communicable, perinatal and nutritional conditions","Other communicable diseases","Other infectious and parasitic diseases","A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
"61","A65",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1B","1B08","Communicable, perinatal and nutritional conditions","Other communicable diseases","Other infectious and parasitic diseases","A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
"62","A66",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1B","1B08","Communicable, perinatal and nutritional conditions","Other communicable diseases","Other infectious and parasitic diseases","A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
"63","A67",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1B","1B08","Communicable, perinatal and nutritional conditions","Other communicable diseases","Other infectious and parasitic diseases","A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
"64","A68",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1A","1A02","Communicable, perinatal and nutritional conditions","Early childhood infections","Acute bacterial sepsis and severe infections","A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
"65","A69",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1A","1A02","Communicable, perinatal and nutritional conditions","Early childhood infections","Acute bacterial sepsis and severe infections","A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
"66","A70",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1A","1A02","Communicable, perinatal and nutritional conditions","Early childhood infections","Acute bacterial sepsis and severe infections","A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
"67","A71",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1B","1B08","Communicable, perinatal and nutritional conditions","Other communicable diseases","Other infectious and parasitic diseases","A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
"68","A74",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1A","1A02","Communicable, perinatal and nutritional conditions","Early childhood infections","Acute bacterial sepsis and severe infections","A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
"69","A75",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1A","1A02","Communicable, perinatal and nutritional conditions","Early childhood infections","Acute bacterial sepsis and severe infections","A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
"70","A77",1.99,"Unspecified infectious disease","A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99","child","codex",3,1,"1A","1A02","Communicable, perinatal and nutritional conditions","Early childhood infections","Acute bacterial sepsis and severe infections","A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
