cghr10_title,icd10_range,icd10_code,cghr10_age
Unspecified infections,B55-B89,B71,adult
Unspecified infections,B55-B89,B72,adult
Unspecified infections,B55-B89,B73,adult
Unspecified infections,B55-B89,B74,adult
Unspecified infections,B55-B89,B75,adult
Unspecified infections,B55-B89,B76,adult
Unspecified infections,B55-B89,B77,adult
Unspecified infections,B55-B89,B78,adult
Unspecified infections,B55-B89,B79,adult
Unspecified infections,B55-B89,B80,adult
Unspecified infections,B55-B89,B81,adult
Unspecified infections,B55-B89,B82,adult
Unspecified infections,B55-B89,B83,adult
Unspecified infections,B55-B89,B84,adult
Unspecified infections,B55-B89,B85,adult
Unspecified infections,B55-B89,B86,adult
Unspecified infections,B55-B89,B87,adult
Unspecified infections,B55-B89,B88,adult
Unspecified infections,B55-B89,B89,adult
Tuberculosis,B90,B90,adult
Unspecified infections,B91-B99,B91,adult
Unspecified infections,B91-B99,B92,adult
Unspecified infections,B91-B99,B93,adult
Unspecified infections,B91-B99,B94,adult
Unspecified infections,B91-B99,B95,adult
Unspecified infections,B91-B99,B96,adult
Unspecified infections,B91-B99,B97,adult
Unspecified infections,B91-B99,B98,adult
Unspecified infections,B91-B99,B99,adult
Cancers,C00-C26,C00,adult
Cancers,C00-C26,C01,adult
Cancers,C00-C26,C02,adult
Cancers,C00-C26,C03,adult
Cancers,C00-C26,C04,adult
Cancers,C00-C26,C05,adult
Cancers,C00-C26,C06,adult
Cancers,C00-C26,C07,adult
Cancers,C00-C26,C08,adult
Cancers,C00-C26,C09,adult
Cancers,C00-C26,C10,adult
Cancers,C00-C26,C11,adult
Cancers,C00-C26,C12,adult
Cancers,C00-C26,C13,adult
Cancers,C00-C26,C14,adult
Cancers,C00-C26,C15,adult
Cancers,C00-C26,C16,adult
Cancers,C00-C26,C17,adult
Cancers,C00-C26,C18,adult
Cancers,C00-C26,C19,adult
Cancers,C00-C26,C20,adult
Cancers,C00-C26,C21,adult
Cancers,C00-C26,C22,adult
Cancers,C00-C26,C23,adult
Cancers,C00-C26,C24,adult
Cancers,C00-C26,C25,adult
Cancers,C00-C26,C26,adult
Cancers,C30-C45,C30,adult
Cancers,C30-C45,C31,adult
Cancers,C30-C45,C32,adult
Cancers,C30-C45,C33,adult
Cancers,C30-C45,C34,adult
Cancers,C30-C45,C35,adult
Cancers,C30-C45,C36,adult
Cancers,C30-C45,C37,adult
Cancers,C30-C45,C38,adult
Cancers,C30-C45,C39,adult
Cancers,C30-C45,C40,adult
Cancers,C30-C45,C41,adult
Cancers,C30-C45,C42,adult
Cancers,C30-C45,C43,adult
Cancers,C30-C45,C44,adult
Cancers,C30-C45,C45,adult
Unspecified infections,C46,C46,adult
Cancers,C47-C58,C47,adult
Cancers,C47-C58,C48,adult
Cancers,C47-C58,C49,adult
Cancers,C47-C58,C50,adult
Cancers,C47-C58,C51,adult
Cancers,C47-C58,C52,adult
Cancers,C47-C58,C53,adult
Cancers,C47-C58,C54,adult
Cancers,C47-C58,C55,adult
Cancers,C47-C58,C56,adult
Cancers,C47-C58,C57,adult
Cancers,C47-C58,C58,adult
Cancers,C60-C97,C60,adult
Cancers,C60-C97,C61,adult
Cancers,C60-C97,C62,adult
Cancers,C60-C97,C63,adult
Cancers,C60-C97,C64,adult
Cancers,C60-C97,C65,adult
Cancers,C60-C97,C66,adult
Cancers,C60-C97,C67,adult
Cancers,C60-C97,C68,adult
Cancers,C60-C97,C69,adult
Cancers,C60-C97,C70,adult
Cancers,C60-C97,C71,adult
Cancers,C60-C97,C72,adult
Cancers,C60-C97,C73,adult
Cancers,C60-C97,C74,adult
Cancers,C60-C97,C75,adult
Cancers,C60-C97,C76,adult
Cancers,C60-C97,C77,adult
Cancers,C60-C97,C78,adult
Cancers,C60-C97,C79,adult
Cancers,C60-C97,C80,adult
Cancers,C60-C97,C81,adult
Cancers,C60-C97,C82,adult
Cancers,C60-C97,C83,adult
Cancers,C60-C97,C84,adult
Cancers,C60-C97,C85,adult
Cancers,C60-C97,C86,adult
Cancers,C60-C97,C87,adult
Cancers,C60-C97,C88,adult
Cancers,C60-C97,C89,adult
Cancers,C60-C97,C90,adult
Cancers,C60-C97,C91,adult
Cancers,C60-C97,C92,adult
Cancers,C60-C97,C93,adult
Cancers,C60-C97,C94,adult
Cancers,C60-C97,C95,adult
Cancers,C60-C97,C96,adult
Cancers,C60-C97,C97,adult
Cancers,D00-D48,D00,adult
Cancers,D00-D48,D01,adult
Cancers,D00-D48,D02,adult
Cancers,D00-D48,D03,adult
Cancers,D00-D48,D04,adult
Cancers,D00-D48,D05,adult
Cancers,D00-D48,D06,adult
Cancers,D00-D48,D07,adult
Cancers,D00-D48,D08,adult
Cancers,D00-D48,D09,adult
Cancers,D00-D48,D10,adult
Cancers,D00-D48,D11,adult
Cancers,D00-D48,D12,adult
Cancers,D00-D48,D13,adult
Cancers,D00-D48,D14,adult
Cancers,D00-D48,D15,adult
Cancers,D00-D48,D16,adult
Cancers,D00-D48,D17,adult
Cancers,D00-D48,D18,adult
Cancers,D00-D48,D19,adult
Cancers,D00-D48,D20,adult
Cancers,D00-D48,D21,adult
Cancers,D00-D48,D22,adult
Cancers,D00-D48,D23,adult
Cancers,D00-D48,D24,adult
Cancers,D00-D48,D25,adult
Cancers,D00-D48,D26,adult
Cancers,D00-D48,D27,adult
Cancers,D00-D48,D28,adult
Cancers,D00-D48,D29,adult
Cancers,D00-D48,D30,adult
Cancers,D00-D48,D31,adult
Cancers,D00-D48,D32,adult
Cancers,D00-D48,D33,adult
Cancers,D00-D48,D34,adult
Cancers,D00-D48,D35,adult
Cancers,D00-D48,D36,adult
Cancers,D00-D48,D37,adult
Cancers,D00-D48,D38,adult
Cancers,D00-D48,D39,adult
Cancers,D00-D48,D40,adult
Cancers,D00-D48,D41,adult
Cancers,D00-D48,D42,adult
Cancers,D00-D48,D43,adult
Cancers,D00-D48,D44,adult
Cancers,D00-D48,D45,adult
Cancers,D00-D48,D46,adult
Cancers,D00-D48,D47,adult
Cancers,D00-D48,D48,adult
Nutritional deficiencies,D50-D53,D50,adult
Nutritional deficiencies,D50-D53,D51,adult
Nutritional deficiencies,D50-D53,D52,adult
Nutritional deficiencies,D50-D53,D53,adult
Other noncommunicable diseases,D55-D63,D55,adult
Other noncommunicable diseases,D55-D63,D56,adult
Other noncommunicable diseases,D55-D63,D57,adult
Other noncommunicable diseases,D55-D63,D58,adult
Other noncommunicable diseases,D55-D63,D59,adult
Other noncommunicable diseases,D55-D63,D60,adult
Other noncommunicable diseases,D55-D63,D61,adult
Other noncommunicable diseases,D55-D63,D62,adult
Other noncommunicable diseases,D55-D63,D63,adult
Unspecified infections,D64,D64,adult
Other noncommunicable diseases,D65-D83,D65,adult
Other noncommunicable diseases,D65-D83,D66,adult
Other noncommunicable diseases,D65-D83,D67,adult
Other noncommunicable diseases,D65-D83,D68,adult
Other noncommunicable diseases,D65-D83,D69,adult
Other noncommunicable diseases,D65-D83,D70,adult
Other noncommunicable diseases,D65-D83,D71,adult
Other noncommunicable diseases,D65-D83,D72,adult
Other noncommunicable diseases,D65-D83,D73,adult
Other noncommunicable diseases,D65-D83,D74,adult
Other noncommunicable diseases,D65-D83,D75,adult
Other noncommunicable diseases,D65-D83,D76,adult
Other noncommunicable diseases,D65-D83,D77,adult
Other noncommunicable diseases,D65-D83,D78,adult
Other noncommunicable diseases,D65-D83,D79,adult
Other noncommunicable diseases,D65-D83,D80,adult
Other noncommunicable diseases,D65-D83,D81,adult
Other noncommunicable diseases,D65-D83,D82,adult
Other noncommunicable diseases,D65-D83,D83,adult
Unspecified infections,D84,D84,adult
Other noncommunicable diseases,D86,D86,adult
Other noncommunicable diseases,D89,D89,adult
Cancers,D91,D91,adult
Nutritional deficiencies,E00-E02,E00,adult
Nutritional deficiencies,E00-E02,E01,adult
Nutritional deficiencies,E00-E02,E02,adult
Other noncommunicable diseases,E03-E07,E03,adult
Other noncommunicable diseases,E03-E07,E04,adult
Other noncommunicable diseases,E03-E07,E05,adult
Other noncommunicable diseases,E03-E07,E06,adult
Other noncommunicable diseases,E03-E07,E07,adult
Diabetes mellitus,E10-E14,E10,adult
Diabetes mellitus,E10-E14,E11,adult
Diabetes mellitus,E10-E14,E12,adult
Diabetes mellitus,E10-E14,E13,adult
Diabetes mellitus,E10-E14,E14,adult
Other noncommunicable diseases,E15-E35,E15,adult
Other noncommunicable diseases,E15-E35,E16,adult
Other noncommunicable diseases,E15-E35,E17,adult
Other noncommunicable diseases,E15-E35,E18,adult
Other noncommunicable diseases,E15-E35,E19,adult
Other noncommunicable diseases,E15-E35,E20,adult
Other noncommunicable diseases,E15-E35,E21,adult
Other noncommunicable diseases,E15-E35,E22,adult
Other noncommunicable diseases,E15-E35,E23,adult
Other noncommunicable diseases,E15-E35,E24,adult
Other noncommunicable diseases,E15-E35,E25,adult
Other noncommunicable diseases,E15-E35,E26,adult
Other noncommunicable diseases,E15-E35,E27,adult
Other noncommunicable diseases,E15-E35,E28,adult
Other noncommunicable diseases,E15-E35,E29,adult
Other noncommunicable diseases,E15-E35,E30,adult
Other noncommunicable diseases,E15-E35,E31,adult
Other noncommunicable diseases,E15-E35,E32,adult
Other noncommunicable diseases,E15-E35,E33,adult
Other noncommunicable diseases,E15-E35,E34,adult
Other noncommunicable diseases,E15-E35,E35,adult
Nutritional deficiencies,E40-E46,E40,adult
Nutritional deficiencies,E40-E46,E41,adult
Nutritional deficiencies,E40-E46,E42,adult
Nutritional deficiencies,E40-E46,E43,adult
Nutritional deficiencies,E40-E46,E44,adult
Nutritional deficiencies,E40-E46,E45,adult
Nutritional deficiencies,E40-E46,E46,adult
Nutritional deficiencies,E50-E64,E50,adult
Nutritional deficiencies,E50-E64,E51,adult
Nutritional deficiencies,E50-E64,E52,adult
Nutritional deficiencies,E50-E64,E53,adult
Nutritional deficiencies,E50-E64,E54,adult
Nutritional deficiencies,E50-E64,E55,adult
Nutritional deficiencies,E50-E64,E56,adult
Nutritional deficiencies,E50-E64,E57,adult
Nutritional deficiencies,E50-E64,E58,adult
Nutritional deficiencies,E50-E64,E59,adult
Nutritional deficiencies,E50-E64,E60,adult
Nutritional deficiencies,E50-E64,E61,adult
Nutritional deficiencies,E50-E64,E62,adult
Nutritional deficiencies,E50-E64,E63,adult
Nutritional deficiencies,E50-E64,E64,adult
Other noncommunicable diseases,E65-E68,E65,adult
Other noncommunicable diseases,E65-E68,E66,adult
Other noncommunicable diseases,E65-E68,E67,adult
Other noncommunicable diseases,E65-E68,E68,adult
Other noncommunicable diseases,E70-E90,E70,adult
Other noncommunicable diseases,E70-E90,E71,adult
Other noncommunicable diseases,E70-E90,E72,adult
Other noncommunicable diseases,E70-E90,E73,adult
Other noncommunicable diseases,E70-E90,E74,adult
Other noncommunicable diseases,E70-E90,E75,adult
Other noncommunicable diseases,E70-E90,E76,adult
Other noncommunicable diseases,E70-E90,E77,adult
Other noncommunicable diseases,E70-E90,E78,adult
Other noncommunicable diseases,E70-E90,E79,adult
Other noncommunicable diseases,E70-E90,E80,adult
Other noncommunicable diseases,E70-E90,E81,adult
Other noncommunicable diseases,E70-E90,E82,adult
Other noncommunicable diseases,E70-E90,E83,adult
Other noncommunicable diseases,E70-E90,E84,adult
Other noncommunicable diseases,E70-E90,E85,adult
Other noncommunicable diseases,E70-E90,E86,adult
Other noncommunicable diseases,E70-E90,E87,adult
Other noncommunicable diseases,E70-E90,E88,adult
Other noncommunicable diseases,E70-E90,E89,adult
Other noncommunicable diseases,E70-E90,E90,adult
Other noncommunicable diseases,F00-F09,F00,adult
Other noncommunicable diseases,F00-F09,F01,adult
Other noncommunicable diseases,F00-F09,F02,adult
Other noncommunicable diseases,F00-F09,F03,adult
Other noncommunicable diseases,F00-F09,F04,adult
Other noncommunicable diseases,F00-F09,F05,adult
Other noncommunicable diseases,F00-F09,F06,adult
Other noncommunicable diseases,F00-F09,F07,adult
Other noncommunicable diseases,F00-F09,F08,adult
Other noncommunicable diseases,F00-F09,F09,adult
Liver and alcohol related diseases,F10,F10,adult
Other noncommunicable diseases,F11-F52,F11,adult
Other noncommunicable diseases,F11-F52,F12,adult
Other noncommunicable diseases,F11-F52,F13,adult
Other noncommunicable diseases,F11-F52,F14,adult
Other noncommunicable diseases,F11-F52,F15,adult
Other noncommunicable diseases,F11-F52,F16,adult
Other noncommunicable diseases,F11-F52,F17,adult
Other noncommunicable diseases,F11-F52,F18,adult
Other noncommunicable diseases,F11-F52,F19,adult
Other noncommunicable diseases,F11-F52,F20,adult
Other noncommunicable diseases,F11-F52,F21,adult
Other noncommunicable diseases,F11-F52,F22,adult
Other noncommunicable diseases,F11-F52,F23,adult
Other noncommunicable diseases,F11-F52,F24,adult
Other noncommunicable diseases,F11-F52,F25,adult
Other noncommunicable diseases,F11-F52,F26,adult
Other noncommunicable diseases,F11-F52,F27,adult
Other noncommunicable diseases,F11-F52,F28,adult
Other noncommunicable diseases,F11-F52,F29,adult
Other noncommunicable diseases,F11-F52,F30,adult
Other noncommunicable diseases,F11-F52,F31,adult
Other noncommunicable diseases,F11-F52,F32,adult
Other noncommunicable diseases,F11-F52,F33,adult
Other noncommunicable diseases,F11-F52,F34,adult
Other noncommunicable diseases,F11-F52,F35,adult
Other noncommunicable diseases,F11-F52,F36,adult
Other noncommunicable diseases,F11-F52,F37,adult
Other noncommunicable diseases,F11-F52,F38,adult
Other noncommunicable diseases,F11-F52,F39,adult
Other noncommunicable diseases,F11-F52,F40,adult
Other noncommunicable diseases,F11-F52,F41,adult
Other noncommunicable diseases,F11-F52,F42,adult
Other noncommunicable diseases,F11-F52,F43,adult
Other noncommunicable diseases,F11-F52,F44,adult
Other noncommunicable diseases,F11-F52,F45,adult
Other noncommunicable diseases,F11-F52,F46,adult
Other noncommunicable diseases,F11-F52,F47,adult
Other noncommunicable diseases,F11-F52,F48,adult
Other noncommunicable diseases,F11-F52,F49,adult
Other noncommunicable diseases,F11-F52,F50,adult
Other noncommunicable diseases,F11-F52,F51,adult
Other noncommunicable diseases,F11-F52,F52,adult
Maternal conditions,F53,F53,adult
Other noncommunicable diseases,F54-F99,F54,adult
Other noncommunicable diseases,F54-F99,F55,adult
Other noncommunicable diseases,F54-F99,F56,adult
Other noncommunicable diseases,F54-F99,F57,adult
Other noncommunicable diseases,F54-F99,F58,adult
Other noncommunicable diseases,F54-F99,F59,adult
Other noncommunicable diseases,F54-F99,F60,adult
Other noncommunicable diseases,F54-F99,F61,adult
Other noncommunicable diseases,F54-F99,F62,adult
Other noncommunicable diseases,F54-F99,F63,adult
Other noncommunicable diseases,F54-F99,F64,adult
Other noncommunicable diseases,F54-F99,F65,adult
Other noncommunicable diseases,F54-F99,F66,adult
Other noncommunicable diseases,F54-F99,F67,adult
Other noncommunicable diseases,F54-F99,F68,adult
Other noncommunicable diseases,F54-F99,F69,adult
Other noncommunicable diseases,F54-F99,F70,adult
Other noncommunicable diseases,F54-F99,F71,adult
Other noncommunicable diseases,F54-F99,F72,adult
Other noncommunicable diseases,F54-F99,F73,adult
Other noncommunicable diseases,F54-F99,F74,adult
Other noncommunicable diseases,F54-F99,F75,adult
Other noncommunicable diseases,F54-F99,F76,adult
Other noncommunicable diseases,F54-F99,F77,adult
Other noncommunicable diseases,F54-F99,F78,adult
Other noncommunicable diseases,F54-F99,F79,adult
Other noncommunicable diseases,F54-F99,F80,adult
Other noncommunicable diseases,F54-F99,F81,adult
Other noncommunicable diseases,F54-F99,F82,adult
Other noncommunicable diseases,F54-F99,F83,adult
Other noncommunicable diseases,F54-F99,F84,adult
Other noncommunicable diseases,F54-F99,F85,adult
Other noncommunicable diseases,F54-F99,F86,adult
Other noncommunicable diseases,F54-F99,F87,adult
Other noncommunicable diseases,F54-F99,F88,adult
Other noncommunicable diseases,F54-F99,F89,adult
Other noncommunicable diseases,F54-F99,F90,adult
Other noncommunicable diseases,F54-F99,F91,adult
Other noncommunicable diseases,F54-F99,F92,adult
Other noncommunicable diseases,F54-F99,F93,adult
Other noncommunicable diseases,F54-F99,F94,adult
Other noncommunicable diseases,F54-F99,F95,adult
Other noncommunicable diseases,F54-F99,F96,adult
Other noncommunicable diseases,F54-F99,F97,adult
Other noncommunicable diseases,F54-F99,F98,adult
Other noncommunicable diseases,F54-F99,F99,adult
Unspecified infections,G00-G09,G00,adult
Unspecified infections,G00-G09,G01,adult
Unspecified infections,G00-G09,G02,adult
Unspecified infections,G00-G09,G03,adult
Unspecified infections,G00-G09,G04,adult
Unspecified infections,G00-G09,G05,adult
Unspecified infections,G00-G09,G06,adult
Unspecified infections,G00-G09,G07,adult
Unspecified infections,G00-G09,G08,adult
Unspecified infections,G00-G09,G09,adult
Other noncommunicable diseases,G10-G37,G10,adult
Other noncommunicable diseases,G10-G37,G11,adult
Other noncommunicable diseases,G10-G37,G12,adult
Other noncommunicable diseases,G10-G37,G13,adult
Other noncommunicable diseases,G10-G37,G14,adult
Other noncommunicable diseases,G10-G37,G15,adult
Other noncommunicable diseases,G10-G37,G16,adult
Other noncommunicable diseases,G10-G37,G17,adult
Other noncommunicable diseases,G10-G37,G18,adult
Other noncommunicable diseases,G10-G37,G19,adult
Other noncommunicable diseases,G10-G37,G20,adult
Other noncommunicable diseases,G10-G37,G21,adult
Other noncommunicable diseases,G10-G37,G22,adult
Other noncommunicable diseases,G10-G37,G23,adult
Other noncommunicable diseases,G10-G37,G24,adult
Other noncommunicable diseases,G10-G37,G25,adult
Other noncommunicable diseases,G10-G37,G26,adult
Other noncommunicable diseases,G10-G37,G27,adult
Other noncommunicable diseases,G10-G37,G28,adult
Other noncommunicable diseases,G10-G37,G29,adult
Other noncommunicable diseases,G10-G37,G30,adult
Other noncommunicable diseases,G10-G37,G31,adult
Other noncommunicable diseases,G10-G37,G32,adult
Other noncommunicable diseases,G10-G37,G33,adult
Other noncommunicable diseases,G10-G37,G34,adult
Other noncommunicable diseases,G10-G37,G35,adult
Other noncommunicable diseases,G10-G37,G36,adult
Other noncommunicable diseases,G10-G37,G37,adult
Other noncommunicable diseases,G40-G41,G40,adult
Other noncommunicable diseases,G40-G41,G41,adult
Other noncommunicable diseases,G43-G44,G43,adult
Other noncommunicable diseases,G43-G44,G44,adult
Stroke,G45-G46,G45,adult
Stroke,G45-G46,G46,adult
Other noncommunicable diseases,G50-G80,G50,adult
Other noncommunicable diseases,G50-G80,G51,adult
Other noncommunicable diseases,G50-G80,G52,adult
Other noncommunicable diseases,G50-G80,G53,adult
Other noncommunicable diseases,G50-G80,G54,adult
Other noncommunicable diseases,G50-G80,G55,adult
Other noncommunicable diseases,G50-G80,G56,adult
Other noncommunicable diseases,G50-G80,G57,adult
Other noncommunicable diseases,G50-G80,G58,adult
Other noncommunicable diseases,G50-G80,G59,adult
Other noncommunicable diseases,G50-G80,G60,adult
Other noncommunicable diseases,G50-G80,G61,adult
Other noncommunicable diseases,G50-G80,G62,adult
Other noncommunicable diseases,G50-G80,G63,adult
Other noncommunicable diseases,G50-G80,G64,adult
Other noncommunicable diseases,G50-G80,G65,adult
Other noncommunicable diseases,G50-G80,G66,adult
Other noncommunicable diseases,G50-G80,G67,adult
Other noncommunicable diseases,G50-G80,G68,adult
Other noncommunicable diseases,G50-G80,G69,adult
Other noncommunicable diseases,G50-G80,G70,adult
Other noncommunicable diseases,G50-G80,G71,adult
Other noncommunicable diseases,G50-G80,G72,adult
Other noncommunicable diseases,G50-G80,G73,adult
Other noncommunicable diseases,G50-G80,G74,adult
Other noncommunicable diseases,G50-G80,G75,adult
Other noncommunicable diseases,G50-G80,G76,adult
Other noncommunicable diseases,G50-G80,G77,adult
Other noncommunicable diseases,G50-G80,G78,adult
Other noncommunicable diseases,G50-G80,G79,adult
Other noncommunicable diseases,G50-G80,G80,adult
Stroke,G81-G83,G81,adult
Stroke,G81-G83,G82,adult
Stroke,G81-G83,G83,adult
Other noncommunicable diseases,G84-G99,G84,adult
Other noncommunicable diseases,G84-G99,G85,adult
Other noncommunicable diseases,G84-G99,G86,adult
Other noncommunicable diseases,G84-G99,G87,adult
Other noncommunicable diseases,G84-G99,G88,adult
Other noncommunicable diseases,G84-G99,G89,adult
Other noncommunicable diseases,G84-G99,G90,adult
Other noncommunicable diseases,G84-G99,G91,adult
Other noncommunicable diseases,G84-G99,G92,adult
Other noncommunicable diseases,G84-G99,G93,adult
Other noncommunicable diseases,G84-G99,G94,adult
Other noncommunicable diseases,G84-G99,G95,adult
Other noncommunicable diseases,G84-G99,G96,adult
Other noncommunicable diseases,G84-G99,G97,adult
Other noncommunicable diseases,G84-G99,G98,adult
Other noncommunicable diseases,G84-G99,G99,adult
Other noncommunicable diseases,H00-H06,H00,adult
Other noncommunicable diseases,H00-H06,H01,adult
Other noncommunicable diseases,H00-H06,H02,adult
Other noncommunicable diseases,H00-H06,H03,adult
Other noncommunicable diseases,H00-H06,H04,adult
Other noncommunicable diseases,H00-H06,H05,adult
Other noncommunicable diseases,H00-H06,H06,adult
Unspecified infections,H10,H10,adult
Other noncommunicable diseases,H11-H59,H11,adult
Other noncommunicable diseases,H11-H59,H12,adult
Other noncommunicable diseases,H11-H59,H13,adult
