icd10_code,cghr_code,cghr_label,wbd10_age,wbd10_kind,wbd10_kind_depth,wbd10_codex4,wbd10_codex2,wbd10_code,wbd10_codex4_title,wbd10_codex2_title,wbd10_title,icd10_range
A21,4,Other Infections,child,codex,3,1,1A,1A02,"Communicable, perinatal and nutritional conditions",Early childhood infections,Acute bacterial sepsis and severe infections,"A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
A22,4,Other Infections,child,codex,3,1,1A,1A02,"Communicable, perinatal and nutritional conditions",Early childhood infections,Acute bacterial sepsis and severe infections,"A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
A23,4,Other Infections,child,codex,3,1,1A,1A02,"Communicable, perinatal and nutritional conditions",Early childhood infections,Acute bacterial sepsis and severe infections,"A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
A24,4,Other Infections,child,codex,3,1,1A,1A02,"Communicable, perinatal and nutritional conditions",Early childhood infections,Acute bacterial sepsis and severe infections,"A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
A25,4,Other Infections,child,codex,3,1,1A,1A02,"Communicable, perinatal and nutritional conditions",Early childhood infections,Acute bacterial sepsis and severe infections,"A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
A26,4,Other Infections,child,codex,3,1,1A,1A02,"Communicable, perinatal and nutritional conditions",Early childhood infections,Acute bacterial sepsis and severe infections,"A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
A27,4,Other Infections,child,codex,3,1,1A,1A02,"Communicable, perinatal and nutritional conditions",Early childhood infections,Acute bacterial sepsis and severe infections,"A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
A28,4,Other Infections,child,codex,3,1,1A,1A02,"Communicable, perinatal and nutritional conditions",Early childhood infections,Acute bacterial sepsis and severe infections,"A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
A30,4,Other Infections,child,codex,3,1,1B,1B08,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
A31,4,Other Infections,child,codex,3,1,1B,1B08,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
A32,4,Other Infections,child,codex,3,1,1A,1A02,"Communicable, perinatal and nutritional conditions",Early childhood infections,Acute bacterial sepsis and severe infections,"A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
A33,4,Other Infections,child,codex,3,1,1B,1B03,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Tetanus,A33-A35
A34,4,Other Infections,child,codex,3,1,1B,1B03,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Tetanus,A33-A35
A35,4,Other Infections,child,codex,3,1,1B,1B03,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Tetanus,A33-A35
A36,4,Other Infections,child,codex,3,1,1B,1B08,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
A37,1,Pneumonia,child,codex,3,1,1A,1A01,"Communicable, perinatal and nutritional conditions",Early childhood infections,Pneumonia,"A37,H65-H68,H70,H71,J00-J22,J32,J36,J85,J86,P23,U04"
A37,1,Pneumonia,child,codex,3,1,1A,1A01,"Communicable, perinatal and nutritional conditions",Early childhood infections,Pneumonia,"A37,H65-H68,H70,H71,J00-J22,J32,J36,J85,J86,P23,U04"
A38,4,Other Infections,child,codex,3,1,1A,1A02,"Communicable, perinatal and nutritional conditions",Early childhood infections,Acute bacterial sepsis and severe infections,"A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
A39,4,Other Infections,child,codex,3,1,1A,1A03,"Communicable, perinatal and nutritional conditions",Early childhood infections,Meningitis/encephalitis,"A39,A81-A89,G00-G09"
A39,4,Other Infections,child,codex,3,1,1A,1A03,"Communicable, perinatal and nutritional conditions",Early childhood infections,Meningitis/encephalitis,"A39,A81-A89,G00-G09"
A40,4,Other Infections,child,codex,3,1,1A,1A02,"Communicable, perinatal and nutritional conditions",Early childhood infections,Acute bacterial sepsis and severe infections,"A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
A41,4,Other Infections,child,codex,3,1,1A,1A02,"Communicable, perinatal and nutritional conditions",Early childhood infections,Acute bacterial sepsis and severe infections,"A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
A42,4,Other Infections,child,codex,3,1,1A,1A02,"Communicable, perinatal and nutritional conditions",Early childhood infections,Acute bacterial sepsis and severe infections,"A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
A43,4,Other Infections,child,codex,3,1,1A,1A02,"Communicable, perinatal and nutritional conditions",Early childhood infections,Acute bacterial sepsis and severe infections,"A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
A44,4,Other Infections,child,codex,3,1,1A,1A02,"Communicable, perinatal and nutritional conditions",Early childhood infections,Acute bacterial sepsis and severe infections,"A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
A46,4,Other Infections,child,codex,3,1,1A,1A02,"Communicable, perinatal and nutritional conditions",Early childhood infections,Acute bacterial sepsis and severe infections,"A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
A48,4,Other Infections,child,codex,3,1,1A,1A02,"Communicable, perinatal and nutritional conditions",Early childhood infections,Acute bacterial sepsis and severe infections,"A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
A49,4,Other Infections,child,codex,3,1,1A,1A02,"Communicable, perinatal and nutritional conditions",Early childhood infections,Acute bacterial sepsis and severe infections,"A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
A50,4,Other Infections,child,codex,3,1,1B,1B08,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
A51,4,Other Infections,child,codex,3,1,1B,1B08,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
A52,4,Other Infections,child,codex,3,1,1B,1B08,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
A53,4,Other Infections,child,codex,3,1,1B,1B08,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
A54,4,Other Infections,child,codex,3,1,1B,1B08,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
A55,4,Other Infections,child,codex,3,1,1B,1B08,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
A56,4,Other Infections,child,codex,3,1,1B,1B08,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
A57,4,Other Infections,child,codex,3,1,1B,1B08,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
A58,4,Other Infections,child,codex,3,1,1B,1B08,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
A59,4,Other Infections,child,codex,3,1,1B,1B08,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
A60,4,Other Infections,child,codex,3,1,1B,1B08,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
A61,4,Other Infections,child,codex,3,1,1B,1B08,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
A62,4,Other Infections,child,codex,3,1,1B,1B08,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
A63,4,Other Infections,child,codex,3,1,1B,1B08,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
A64,4,Other Infections,child,codex,3,1,1B,1B08,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
A65,4,Other Infections,child,codex,3,1,1B,1B08,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
A66,4,Other Infections,child,codex,3,1,1B,1B08,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
A67,4,Other Infections,child,codex,3,1,1B,1B08,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
A68,4,Other Infections,child,codex,3,1,1A,1A02,"Communicable, perinatal and nutritional conditions",Early childhood infections,Acute bacterial sepsis and severe infections,"A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
A69,4,Other Infections,child,codex,3,1,1A,1A02,"Communicable, perinatal and nutritional conditions",Early childhood infections,Acute bacterial sepsis and severe infections,"A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
A70,4,Other Infections,child,codex,3,1,1A,1A02,"Communicable, perinatal and nutritional conditions",Early childhood infections,Acute bacterial sepsis and severe infections,"A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
A71,4,Other Infections,child,codex,3,1,1B,1B08,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
A74,4,Other Infections,child,codex,3,1,1A,1A02,"Communicable, perinatal and nutritional conditions",Early childhood infections,Acute bacterial sepsis and severe infections,"A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
A75,4,Other Infections,child,codex,3,1,1A,1A02,"Communicable, perinatal and nutritional conditions",Early childhood infections,Acute bacterial sepsis and severe infections,"A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
A77,4,Other Infections,child,codex,3,1,1A,1A02,"Communicable, perinatal and nutritional conditions",Early childhood infections,Acute bacterial sepsis and severe infections,"A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
A78,4,Other Infections,child,codex,3,1,1A,1A02,"Communicable, perinatal and nutritional conditions",Early childhood infections,Acute bacterial sepsis and severe infections,"A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
A79,4,Other Infections,child,codex,3,1,1A,1A02,"Communicable, perinatal and nutritional conditions",Early childhood infections,Acute bacterial sepsis and severe infections,"A20-A28,A32,A38,A40-A44,A46,A48,A49,A68-A70,A74,A75,A77-A79,B95,B96,H10,H60,I30,I32,I33,I39-I41,K65,K67,K81,L00-L04,L08,M00-M01,M60,M86,N10,N30,N34,N41,N49,N61,P36,P38"
A80,4,Other Infections,child,codex,3,1,1B,1B04,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Poliomyelitis,"A80,B91"
A82,4,Other Infections,child,codex,3,1,1A,1A03,"Communicable, perinatal and nutritional conditions",Early childhood infections,Meningitis/encephalitis,"A39,A81-A89,G00-G09"
A82,4,Other Infections,child,codex,3,1,1A,1A03,"Communicable, perinatal and nutritional conditions",Early childhood infections,Meningitis/encephalitis,"A39,A81-A89,G00-G09"
A84,4,Other Infections,child,codex,3,1,1A,1A03,"Communicable, perinatal and nutritional conditions",Early childhood infections,Meningitis/encephalitis,"A39,A81-A89,G00-G09"
A84,4,Other Infections,child,codex,3,1,1A,1A03,"Communicable, perinatal and nutritional conditions",Early childhood infections,Meningitis/encephalitis,"A39,A81-A89,G00-G09"
A86,4,Other Infections,child,codex,3,1,1A,1A03,"Communicable, perinatal and nutritional conditions",Early childhood infections,Meningitis/encephalitis,"A39,A81-A89,G00-G09"
A86,4,Other Infections,child,codex,3,1,1A,1A03,"Communicable, perinatal and nutritional conditions",Early childhood infections,Meningitis/encephalitis,"A39,A81-A89,G00-G09"
A88,4,Other Infections,child,codex,3,1,1A,1A03,"Communicable, perinatal and nutritional conditions",Early childhood infections,Meningitis/encephalitis,"A39,A81-A89,G00-G09"
A88,4,Other Infections,child,codex,3,1,1A,1A03,"Communicable, perinatal and nutritional conditions",Early childhood infections,Meningitis/encephalitis,"A39,A81-A89,G00-G09"
A90,4,Other Infections,child,codex,3,1,1B,1B08,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
A91,4,Other Infections,child,codex,3,1,1B,1B08,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
A92,4,Other Infections,child,codex,3,1,1B,1B08,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
A93,4,Other Infections,child,codex,3,1,1B,1B08,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
A94,4,Other Infections,child,codex,3,1,1B,1B08,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
A95,4,Other Infections,child,codex,3,1,1B,1B08,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
A96,4,Other Infections,child,codex,3,1,1B,1B08,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
A97,4,Other Infections,child,codex,3,1,1B,1B08,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A30,A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B19,B25-B27,B30,B33-B49,B55-B60,B64-B83,B85-B89,B92,B94,B97,B99,K02,K04,K05,K61,N70-N74,P35,P37,P39,U00,Y95"
