"WHO_VA_code","WHO_VA_title","icd_range_codes_2016","icd_range_codes_2016_expand","WHO_VA_code_num"
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A55","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A56","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A57","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A58","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A59","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A60","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A61","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A62","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A63","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A64","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A65","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A66","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A67","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A68","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A69","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A70","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A71","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A72","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A73","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A74","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A75","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A76","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A77","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A78","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A79","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A80","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A81","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A82","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A83","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A84","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A85","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A86","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A87","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A88","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","A89","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B00","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B01","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B02","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B03","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B04","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B06","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B07","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B08","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B09","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B10","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B11","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B12","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B13","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B14","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B15","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B16","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B17","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B18","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B19","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B25","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B26","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B27","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B28","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B29","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B30","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B31","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B32","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B33","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B34","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B35","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B36","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B37","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B38","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B39","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B40","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B41","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B42","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B43","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B44","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B45","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B46","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B47","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B48","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B49","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B55","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B56","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B57","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B58","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B59","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B60","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B61","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B62","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B63","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B64","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B65","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B66","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B67","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B68","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B69","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B70","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B71","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B72","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B73","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B74","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B75","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B76","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B77","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B78","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B79","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B80","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B81","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B82","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B83","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B84","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B85","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B86","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B87","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B88","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B89","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B90","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B91","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B92","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B93","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B94","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B95","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B96","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B97","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B98","01.99 "
"VAs-01.99 ","Unspecified infectious disease ","A17-A19; A20-A32; A36; A38; A42-A89; B00-B04; B06-B19; B25-B49; B55-B99 ","B99","01.99 "
"VAs-10.05 ","Neonatal tetanus ","A33 ","A33","10.05 "
"VAs-01.08 ","Tetanus","A33-A35 ","A33","01.08 "
"VAs-01.08 ","Tetanus","A33-A35 ","A34","01.08 "
"VAs-01.08 ","Tetanus","A33-A35 ","A35","01.08 "
"VAs-01.10 ","Pertussis ","A37 ","A37","01.10 "
"VAs-01.07 ","Meningitis and encephalitis ","A39; G00- G05 ","A39","01.07 "
"VAs-01.07 ","Meningitis and encephalitis ","A39; G00- G05 ","G00","01.07 "
"VAs-01.07 ","Meningitis and encephalitis ","A39; G00- G05 ","G01","01.07 "
"VAs-01.07 ","Meningitis and encephalitis ","A39; G00- G05 ","G02","01.07 "
"VAs-01.07 ","Meningitis and encephalitis ","A39; G00- G05 ","G03","01.07 "
"VAs-01.07 ","Meningitis and encephalitis ","A39; G00- G05 ","G04","01.07 "
"VAs-01.07 ","Meningitis and encephalitis ","A39; G00- G05 ","G05","01.07 "
"VAs-01.01 ","Sepsis ","A40-A41 ","A40","01.01 "
"VAs-01.01 ","Sepsis ","A40-A41 ","A41","01.01 "
"VAs-01.11 ","Haemorrhagic fever","A92-A96, A98-A99 ","A92","01.11 "
"VAs-01.11 ","Haemorrhagic fever","A92-A96, A98-A99 ","A93","01.11 "
"VAs-01.11 ","Haemorrhagic fever","A92-A96, A98-A99 ","A94","01.11 "
