"cod","icd10_range","icd10"
"Other infections","A48-A71","A65"
"Other infections","A48-A71","A66"
"Other infections","A48-A71","A67"
"Other infections","A48-A71","A68"
"Other infections","A48-A71","A69"
"Other infections","A48-A71","A70"
"Other infections","A48-A71","A71"
"Other infections","A74-A75","A74"
"Other infections","A74-A75","A75"
"Other infections","A77-A99","A77"
"Other infections","A77-A99","A78"
"Other infections","A77-A99","A79"
"Other infections","A77-A99","A80"
"Other infections","A77-A99","A81"
"Other infections","A77-A99","A82"
"Other infections","A77-A99","A83"
"Other infections","A77-A99","A84"
"Other infections","A77-A99","A85"
"Other infections","A77-A99","A86"
"Other infections","A77-A99","A87"
"Other infections","A77-A99","A88"
"Other infections","A77-A99","A89"
"Other infections","A77-A99","A90"
"Other infections","A77-A99","A91"
"Other infections","A77-A99","A92"
"Other infections","A77-A99","A93"
"Other infections","A77-A99","A94"
"Other infections","A77-A99","A95"
"Other infections","A77-A99","A96"
"Other infections","A77-A99","A97"
"Other infections","A77-A99","A98"
"Other infections","A77-A99","A99"
"Other infections","B00-B09","B00"
"Other infections","B00-B09","B01"
"Other infections","B00-B09","B02"
"Other infections","B00-B09","B03"
"Other infections","B00-B09","B04"
"Other infections","B00-B09","B05"
"Other infections","B00-B09","B06"
"Other infections","B00-B09","B07"
"Other infections","B00-B09","B08"
"Other infections","B00-B09","B09"
"Other infections","B15-B27","B15"
"Other infections","B15-B27","B16"
"Other infections","B15-B27","B17"
"Other infections","B15-B27","B18"
"Other infections","B15-B27","B19"
"Other infections","B15-B27","B20"
"Other infections","B15-B27","B21"
"Other infections","B15-B27","B22"
"Other infections","B15-B27","B23"
"Other infections","B15-B27","B24"
"Other infections","B15-B27","B25"
"Other infections","B15-B27","B26"
"Other infections","B15-B27","B27"
"Other infections","B30","B30"
"Other infections","B33-B49","B33"
"Other infections","B33-B49","B34"
"Other infections","B33-B49","B35"
"Other infections","B33-B49","B36"
"Other infections","B33-B49","B37"
"Other infections","B33-B49","B38"
"Other infections","B33-B49","B39"
"Other infections","B33-B49","B40"
"Other infections","B33-B49","B41"
"Other infections","B33-B49","B42"
"Other infections","B33-B49","B43"
"Other infections","B33-B49","B44"
"Other infections","B33-B49","B45"
"Other infections","B33-B49","B46"
"Other infections","B33-B49","B47"
"Other infections","B33-B49","B48"
"Other infections","B33-B49","B49"
"Malaria","B50-B54","B50"
"Malaria","B50-B54","B51"
"Malaria","B50-B54","B52"
"Malaria","B50-B54","B53"
"Malaria","B50-B54","B54"
"Other infections","B55-B60","B55"
"Other infections","B55-B60","B56"
"Other infections","B55-B60","B57"
"Other infections","B55-B60","B58"
"Other infections","B55-B60","B59"
"Other infections","B55-B60","B60"
"Other infections","B64-B83","B64"
"Other infections","B64-B83","B65"
"Other infections","B64-B83","B66"
"Other infections","B64-B83","B67"
"Other infections","B64-B83","B68"
"Other infections","B64-B83","B69"
"Other infections","B64-B83","B70"
"Other infections","B64-B83","B71"
"Other infections","B64-B83","B72"
"Other infections","B64-B83","B73"
"Other infections","B64-B83","B74"
"Other infections","B64-B83","B75"
"Other infections","B64-B83","B76"
"Other infections","B64-B83","B77"
"Other infections","B64-B83","B78"
"Other infections","B64-B83","B79"
"Other infections","B64-B83","B80"
"Other infections","B64-B83","B81"
"Other infections","B64-B83","B82"
"Other infections","B64-B83","B83"
"Other infections","B85-B92","B85"
"Other infections","B85-B92","B86"
"Other infections","B85-B92","B87"
"Other infections","B85-B92","B88"
"Other infections","B85-B92","B89"
"Other infections","B85-B92","B90"
"Other infections","B85-B92","B91"
"Other infections","B85-B92","B92"
"Other infections","B94-B97","B94"
"Other infections","B94-B97","B95"
"Other infections","B94-B97","B96"
"Other infections","B94-B97","B97"
"Other infections","B99","B99"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C00"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C01"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C02"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C03"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C04"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C05"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C06"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C07"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C08"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C09"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C10"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C11"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C12"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C13"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C14"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C15"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C16"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C17"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C18"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C19"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C20"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C21"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C22"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C23"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C24"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C25"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C26"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C27"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C28"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C29"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C30"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C31"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C32"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C33"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C34"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C35"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C36"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C37"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C38"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C39"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C40"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C41"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C42"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C43"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C44"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C45"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C46"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C47"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C48"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C49"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C50"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C51"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C52"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C53"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C54"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C55"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C56"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C57"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C58"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C59"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C60"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C61"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C62"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C63"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C64"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C65"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C66"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C67"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C68"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C69"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C70"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C71"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C72"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C73"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C74"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C75"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C76"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C77"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C78"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C79"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C80"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C81"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C82"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C83"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C84"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C85"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C86"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C87"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C88"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C89"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C90"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C91"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C92"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C93"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C94"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C95"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C96"
"Epilepsy, leukaemia, and other noncommunicable diseases","C00-C97","C97"
"Other","D00","D00"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D01"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D02"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D03"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D04"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D05"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D06"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D07"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D08"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D09"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D10"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D11"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D12"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D13"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D14"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D15"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D16"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D17"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D18"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D19"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D20"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D21"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D22"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D23"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D24"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D25"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D26"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D27"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D28"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D29"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D30"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D31"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D32"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D33"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D34"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D35"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D36"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D37"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D38"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D39"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D40"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D41"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D42"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D43"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D44"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D45"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D46"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D47"
"Epilepsy, leukaemia, and other noncommunicable diseases","D01-D48","D48"
"Nutritional deficiencies","D50-D53","D50"
"Nutritional deficiencies","D50-D53","D51"
"Nutritional deficiencies","D50-D53","D52"
"Nutritional deficiencies","D50-D53","D53"
"Epilepsy, leukaemia, and other noncommunicable diseases","D55-D89","D55"
"Epilepsy, leukaemia, and other noncommunicable diseases","D55-D89","D56"
"Epilepsy, leukaemia, and other noncommunicable diseases","D55-D89","D57"
"Epilepsy, leukaemia, and other noncommunicable diseases","D55-D89","D58"
"Epilepsy, leukaemia, and other noncommunicable diseases","D55-D89","D59"
"Epilepsy, leukaemia, and other noncommunicable diseases","D55-D89","D60"
"Epilepsy, leukaemia, and other noncommunicable diseases","D55-D89","D61"
"Epilepsy, leukaemia, and other noncommunicable diseases","D55-D89","D62"
"Epilepsy, leukaemia, and other noncommunicable diseases","D55-D89","D63"
"Epilepsy, leukaemia, and other noncommunicable diseases","D55-D89","D64"
"Epilepsy, leukaemia, and other noncommunicable diseases","D55-D89","D65"
"Epilepsy, leukaemia, and other noncommunicable diseases","D55-D89","D66"
"Epilepsy, leukaemia, and other noncommunicable diseases","D55-D89","D67"
"Epilepsy, leukaemia, and other noncommunicable diseases","D55-D89","D68"
"Epilepsy, leukaemia, and other noncommunicable diseases","D55-D89","D69"
"Epilepsy, leukaemia, and other noncommunicable diseases","D55-D89","D70"
"Epilepsy, leukaemia, and other noncommunicable diseases","D55-D89","D71"
"Epilepsy, leukaemia, and other noncommunicable diseases","D55-D89","D72"
"Epilepsy, leukaemia, and other noncommunicable diseases","D55-D89","D73"
"Epilepsy, leukaemia, and other noncommunicable diseases","D55-D89","D74"
"Epilepsy, leukaemia, and other noncommunicable diseases","D55-D89","D75"
"Epilepsy, leukaemia, and other noncommunicable diseases","D55-D89","D76"
"Epilepsy, leukaemia, and other noncommunicable diseases","D55-D89","D77"
"Epilepsy, leukaemia, and other noncommunicable diseases","D55-D89","D78"
"Epilepsy, leukaemia, and other noncommunicable diseases","D55-D89","D79"
"Epilepsy, leukaemia, and other noncommunicable diseases","D55-D89","D80"
"Epilepsy, leukaemia, and other noncommunicable diseases","D55-D89","D81"
"Epilepsy, leukaemia, and other noncommunicable diseases","D55-D89","D82"
"Epilepsy, leukaemia, and other noncommunicable diseases","D55-D89","D83"
"Epilepsy, leukaemia, and other noncommunicable diseases","D55-D89","D84"
"Epilepsy, leukaemia, and other noncommunicable diseases","D55-D89","D85"
"Epilepsy, leukaemia, and other noncommunicable diseases","D55-D89","D86"
"Epilepsy, leukaemia, and other noncommunicable diseases","D55-D89","D87"
"Epilepsy, leukaemia, and other noncommunicable diseases","D55-D89","D88"
"Epilepsy, leukaemia, and other noncommunicable diseases","D55-D89","D89"
"Nutritional deficiencies","E00-E02","E00"
"Nutritional deficiencies","E00-E02","E01"
"Nutritional deficiencies","E00-E02","E02"
"Epilepsy, leukaemia, and other noncommunicable diseases","E03-E35","E03"
"Epilepsy, leukaemia, and other noncommunicable diseases","E03-E35","E04"
"Epilepsy, leukaemia, and other noncommunicable diseases","E03-E35","E05"
"Epilepsy, leukaemia, and other noncommunicable diseases","E03-E35","E06"
"Epilepsy, leukaemia, and other noncommunicable diseases","E03-E35","E07"
"Epilepsy, leukaemia, and other noncommunicable diseases","E03-E35","E08"
"Epilepsy, leukaemia, and other noncommunicable diseases","E03-E35","E09"
"Epilepsy, leukaemia, and other noncommunicable diseases","E03-E35","E10"
"Epilepsy, leukaemia, and other noncommunicable diseases","E03-E35","E11"
"Epilepsy, leukaemia, and other noncommunicable diseases","E03-E35","E12"
"Epilepsy, leukaemia, and other noncommunicable diseases","E03-E35","E13"
"Epilepsy, leukaemia, and other noncommunicable diseases","E03-E35","E14"
"Epilepsy, leukaemia, and other noncommunicable diseases","E03-E35","E15"
"Epilepsy, leukaemia, and other noncommunicable diseases","E03-E35","E16"
"Epilepsy, leukaemia, and other noncommunicable diseases","E03-E35","E17"
"Epilepsy, leukaemia, and other noncommunicable diseases","E03-E35","E18"
"Epilepsy, leukaemia, and other noncommunicable diseases","E03-E35","E19"
"Epilepsy, leukaemia, and other noncommunicable diseases","E03-E35","E20"
"Epilepsy, leukaemia, and other noncommunicable diseases","E03-E35","E21"
"Epilepsy, leukaemia, and other noncommunicable diseases","E03-E35","E22"
"Epilepsy, leukaemia, and other noncommunicable diseases","E03-E35","E23"
"Epilepsy, leukaemia, and other noncommunicable diseases","E03-E35","E24"
"Epilepsy, leukaemia, and other noncommunicable diseases","E03-E35","E25"
"Epilepsy, leukaemia, and other noncommunicable diseases","E03-E35","E26"
"Epilepsy, leukaemia, and other noncommunicable diseases","E03-E35","E27"
"Epilepsy, leukaemia, and other noncommunicable diseases","E03-E35","E28"
"Epilepsy, leukaemia, and other noncommunicable diseases","E03-E35","E29"
"Epilepsy, leukaemia, and other noncommunicable diseases","E03-E35","E30"
"Epilepsy, leukaemia, and other noncommunicable diseases","E03-E35","E31"
"Epilepsy, leukaemia, and other noncommunicable diseases","E03-E35","E32"
"Epilepsy, leukaemia, and other noncommunicable diseases","E03-E35","E33"
"Epilepsy, leukaemia, and other noncommunicable diseases","E03-E35","E34"
"Epilepsy, leukaemia, and other noncommunicable diseases","E03-E35","E35"
"Nutritional deficiencies","E40-E46","E40"
"Nutritional deficiencies","E40-E46","E41"
"Nutritional deficiencies","E40-E46","E42"
"Nutritional deficiencies","E40-E46","E43"
"Nutritional deficiencies","E40-E46","E44"
"Nutritional deficiencies","E40-E46","E45"
"Nutritional deficiencies","E40-E46","E46"
"Nutritional deficiencies","E50-E56","E50"
"Nutritional deficiencies","E50-E56","E51"
"Nutritional deficiencies","E50-E56","E52"
"Nutritional deficiencies","E50-E56","E53"
"Nutritional deficiencies","E50-E56","E54"
"Nutritional deficiencies","E50-E56","E55"
"Nutritional deficiencies","E50-E56","E56"
"Nutritional deficiencies","E59-E61","E59"
"Nutritional deficiencies","E59-E61","E60"
"Nutritional deficiencies","E59-E61","E61"
"Nutritional deficiencies","E63-E64","E63"
"Nutritional deficiencies","E63-E64","E64"
"Epilepsy, leukaemia, and other noncommunicable diseases","E65-E90","E65"
"Epilepsy, leukaemia, and other noncommunicable diseases","E65-E90","E66"
"Epilepsy, leukaemia, and other noncommunicable diseases","E65-E90","E67"
"Epilepsy, leukaemia, and other noncommunicable diseases","E65-E90","E68"
"Epilepsy, leukaemia, and other noncommunicable diseases","E65-E90","E69"
"Epilepsy, leukaemia, and other noncommunicable diseases","E65-E90","E70"
"Epilepsy, leukaemia, and other noncommunicable diseases","E65-E90","E71"
"Epilepsy, leukaemia, and other noncommunicable diseases","E65-E90","E72"
"Epilepsy, leukaemia, and other noncommunicable diseases","E65-E90","E73"
"Epilepsy, leukaemia, and other noncommunicable diseases","E65-E90","E74"
"Epilepsy, leukaemia, and other noncommunicable diseases","E65-E90","E75"
"Epilepsy, leukaemia, and other noncommunicable diseases","E65-E90","E76"
"Epilepsy, leukaemia, and other noncommunicable diseases","E65-E90","E77"
"Epilepsy, leukaemia, and other noncommunicable diseases","E65-E90","E78"
"Epilepsy, leukaemia, and other noncommunicable diseases","E65-E90","E79"
"Epilepsy, leukaemia, and other noncommunicable diseases","E65-E90","E80"
"Epilepsy, leukaemia, and other noncommunicable diseases","E65-E90","E81"
"Epilepsy, leukaemia, and other noncommunicable diseases","E65-E90","E82"
"Epilepsy, leukaemia, and other noncommunicable diseases","E65-E90","E83"
"Epilepsy, leukaemia, and other noncommunicable diseases","E65-E90","E84"
"Epilepsy, leukaemia, and other noncommunicable diseases","E65-E90","E85"
"Epilepsy, leukaemia, and other noncommunicable diseases","E65-E90","E86"
"Epilepsy, leukaemia, and other noncommunicable diseases","E65-E90","E87"
"Epilepsy, leukaemia, and other noncommunicable diseases","E65-E90","E88"
"Epilepsy, leukaemia, and other noncommunicable diseases","E65-E90","E89"
"Epilepsy, leukaemia, and other noncommunicable diseases","E65-E90","E90"
"Epilepsy, leukaemia, and other noncommunicable diseases","F00-F02","F00"
"Epilepsy, leukaemia, and other noncommunicable diseases","F00-F02","F01"
"Epilepsy, leukaemia, and other noncommunicable diseases","F00-F02","F02"
"Other","F03-F72","F03"
"Other","F03-F72","F04"
"Other","F03-F72","F05"
"Other","F03-F72","F06"
"Other","F03-F72","F07"
"Other","F03-F72","F08"
"Other","F03-F72","F09"
"Other","F03-F72","F10"
"Other","F03-F72","F11"
"Other","F03-F72","F12"
"Other","F03-F72","F13"
"Other","F03-F72","F14"
"Other","F03-F72","F15"
"Other","F03-F72","F16"
"Other","F03-F72","F17"
"Other","F03-F72","F18"
"Other","F03-F72","F19"
"Other","F03-F72","F20"
"Other","F03-F72","F21"
"Other","F03-F72","F22"
"Other","F03-F72","F23"
"Other","F03-F72","F24"
"Other","F03-F72","F25"
"Other","F03-F72","F26"
"Other","F03-F72","F27"
"Other","F03-F72","F28"
"Other","F03-F72","F29"
"Other","F03-F72","F30"
"Other","F03-F72","F31"
"Other","F03-F72","F32"
"Other","F03-F72","F33"
"Other","F03-F72","F34"
"Other","F03-F72","F35"
"Other","F03-F72","F36"
"Other","F03-F72","F37"
"Other","F03-F72","F38"
"Other","F03-F72","F39"
"Other","F03-F72","F40"
"Other","F03-F72","F41"
"Other","F03-F72","F42"
"Other","F03-F72","F43"
"Other","F03-F72","F44"
"Other","F03-F72","F45"
"Other","F03-F72","F46"
"Other","F03-F72","F47"
"Other","F03-F72","F48"
"Other","F03-F72","F49"
"Other","F03-F72","F50"
"Other","F03-F72","F51"
"Other","F03-F72","F52"
"Other","F03-F72","F53"
"Other","F03-F72","F54"
"Other","F03-F72","F55"
"Other","F03-F72","F56"
"Other","F03-F72","F57"
"Other","F03-F72","F58"
"Other","F03-F72","F59"
"Other","F03-F72","F60"
"Other","F03-F72","F61"
"Other","F03-F72","F62"
"Other","F03-F72","F63"
"Other","F03-F72","F64"
"Other","F03-F72","F65"
"Other","F03-F72","F66"
"Other","F03-F72","F67"
"Other","F03-F72","F68"
"Other","F03-F72","F69"
"Other","F03-F72","F70"
"Other","F03-F72","F71"
"Other","F03-F72","F72"
"Epilepsy, leukaemia, and other noncommunicable diseases","F73","F73"
"Other","F74-F99","F74"
"Other","F74-F99","F75"
"Other","F74-F99","F76"
"Other","F74-F99","F77"
"Other","F74-F99","F78"
"Other","F74-F99","F79"
"Other","F74-F99","F80"
"Other","F74-F99","F81"
"Other","F74-F99","F82"
"Other","F74-F99","F83"
"Other","F74-F99","F84"
"Other","F74-F99","F85"
"Other","F74-F99","F86"
"Other","F74-F99","F87"
"Other","F74-F99","F88"
"Other","F74-F99","F89"
"Other","F74-F99","F90"
"Other","F74-F99","F91"
"Other","F74-F99","F92"
"Other","F74-F99","F93"
"Other","F74-F99","F94"
"Other","F74-F99","F95"
"Other","F74-F99","F96"
"Other","F74-F99","F97"
"Other","F74-F99","F98"
"Other","F74-F99","F99"
"Other infections","G00-G09","G00"
"Other infections","G00-G09","G01"
"Other infections","G00-G09","G02"
"Other infections","G00-G09","G03"
"Other infections","G00-G09","G04"
"Other infections","G00-G09","G05"
"Other infections","G00-G09","G06"
"Other infections","G00-G09","G07"
"Other infections","G00-G09","G08"
"Other infections","G00-G09","G09"
"Epilepsy, leukaemia, and other noncommunicable diseases","G10-G99","G10"
"Epilepsy, leukaemia, and other noncommunicable diseases","G10-G99","G11"
"Epilepsy, leukaemia, and other noncommunicable diseases","G10-G99","G12"
"Epilepsy, leukaemia, and other noncommunicable diseases","G10-G99","G13"
"Epilepsy, leukaemia, and other noncommunicable diseases","G10-G99","G14"
"Epilepsy, leukaemia, and other noncommunicable diseases","G10-G99","G15"
"Epilepsy, leukaemia, and other noncommunicable diseases","G10-G99","G16"
