who_va_code,who_va_title,icd_range_codes,icd10_code
,,B25-B49; B55-B99,B36
,,B25-B49; B55-B99,B37
,,B25-B49; B55-B99,B38
,,B25-B49; B55-B99,B39
,,B25-B49; B55-B99,B40
,,B25-B49; B55-B99,B41
,,B25-B49; B55-B99,B42
,,B25-B49; B55-B99,B43
,,B25-B49; B55-B99,B44
,,B25-B49; B55-B99,B45
,,B25-B49; B55-B99,B46
,,B25-B49; B55-B99,B47
,,B25-B49; B55-B99,B48
,,B25-B49; B55-B99,B49
,,B25-B49; B55-B99,B55
,,B25-B49; B55-B99,B56
,,B25-B49; B55-B99,B57
,,B25-B49; B55-B99,B58
,,B25-B49; B55-B99,B59
,,B25-B49; B55-B99,B60
,,B25-B49; B55-B99,B61
,,B25-B49; B55-B99,B62
,,B25-B49; B55-B99,B63
,,B25-B49; B55-B99,B64
,,B25-B49; B55-B99,B65
,,B25-B49; B55-B99,B66
,,B25-B49; B55-B99,B67
,,B25-B49; B55-B99,B68
,,B25-B49; B55-B99,B69
,,B25-B49; B55-B99,B70
,,B25-B49; B55-B99,B71
,,B25-B49; B55-B99,B72
,,B25-B49; B55-B99,B73
,,B25-B49; B55-B99,B74
,,B25-B49; B55-B99,B75
,,B25-B49; B55-B99,B76
,,B25-B49; B55-B99,B77
,,B25-B49; B55-B99,B78
,,B25-B49; B55-B99,B79
,,B25-B49; B55-B99,B80
,,B25-B49; B55-B99,B81
,,B25-B49; B55-B99,B82
,,B25-B49; B55-B99,B83
,,B25-B49; B55-B99,B84
,,B25-B49; B55-B99,B85
,,B25-B49; B55-B99,B86
,,B25-B49; B55-B99,B87
,,B25-B49; B55-B99,B88
,,B25-B49; B55-B99,B89
,,B25-B49; B55-B99,B90
,,B25-B49; B55-B99,B91
,,B25-B49; B55-B99,B92
,,B25-B49; B55-B99,B93
,,B25-B49; B55-B99,B94
,,B25-B49; B55-B99,B95
,,B25-B49; B55-B99,B96
,,B25-B49; B55-B99,B97
,,B25-B49; B55-B99,B98
,,B25-B49; B55-B99,B99
01.05,Malaria,B50-B54,B50
01.05,Malaria,B50-B54,B51
01.05,Malaria,B50-B54,B52
01.05,Malaria,B50-B54,B53
01.05,Malaria,B50-B54,B54
02.01,Oral neoplasms,C00-C06,C00
02.01,Oral neoplasms,C00-C06,C01
02.01,Oral neoplasms,C00-C06,C02
02.01,Oral neoplasms,C00-C06,C03
02.01,Oral neoplasms,C00-C06,C04
02.01,Oral neoplasms,C00-C06,C05
02.01,Oral neoplasms,C00-C06,C06
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C07
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C08
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C09
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C10
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C11
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C12
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C13
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C14
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C40
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C41
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C42
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C43
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C44
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C45
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C46
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C47
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C48
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C49
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C64
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C65
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C66
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C67
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C68
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C69
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C70
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C71
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C72
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C73
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C74
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C75
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C76
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C77
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C78
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C79
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C80
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C81
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C82
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C83
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C84
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C85
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C86
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C87
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C88
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C89
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C90
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C91
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C92
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C93
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C94
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C95
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C96
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C97
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C98
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C99
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D00
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D01
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D02
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D03
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D04
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D05
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D06
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D07
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D08
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D09
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D10
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D11
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D12
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D13
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D14
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D15
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D16
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D17
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D18
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D19
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D20
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D21
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D22
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D23
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D24
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D25
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D26
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D27
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D28
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D29
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D30
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D31
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D32
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D33
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D34
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D35
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D36
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D37
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D38
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D39
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D40
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D41
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D42
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D43
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D44
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D45
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D46
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D47
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,D48
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C91
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C92
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C93
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C94
02.99,Other and unspecified neoplasms,C07-C14; C40-C49; C64-99; D00-D48; C91-C95,C95
02.02,Digestive neoplasms,C15-C26,C15
02.02,Digestive neoplasms,C15-C26,C16
02.02,Digestive neoplasms,C15-C26,C17
02.02,Digestive neoplasms,C15-C26,C18
02.02,Digestive neoplasms,C15-C26,C19
02.02,Digestive neoplasms,C15-C26,C20
02.02,Digestive neoplasms,C15-C26,C21
02.02,Digestive neoplasms,C15-C26,C22
02.02,Digestive neoplasms,C15-C26,C23
02.02,Digestive neoplasms,C15-C26,C24
02.02,Digestive neoplasms,C15-C26,C25
02.02,Digestive neoplasms,C15-C26,C26
02.03,Respiratory neoplasms,C30-C39,C30
02.03,Respiratory neoplasms,C30-C39,C31
02.03,Respiratory neoplasms,C30-C39,C32
02.03,Respiratory neoplasms,C30-C39,C33
02.03,Respiratory neoplasms,C30-C39,C34
02.03,Respiratory neoplasms,C30-C39,C35
02.03,Respiratory neoplasms,C30-C39,C36
02.03,Respiratory neoplasms,C30-C39,C37
02.03,Respiratory neoplasms,C30-C39,C38
02.03,Respiratory neoplasms,C30-C39,C39
02.04,Breast neoplasms,C50,C50
02.05,Female reproductive neoplasms,C51-C58,C51
02.05,Female reproductive neoplasms,C51-C58,C52
02.05,Female reproductive neoplasms,C51-C58,C53
02.05,Female reproductive neoplasms,C51-C58,C54
02.05,Female reproductive neoplasms,C51-C58,C55
02.05,Female reproductive neoplasms,C51-C58,C56
02.05,Female reproductive neoplasms,C51-C58,C57
02.05,Female reproductive neoplasms,C51-C58,C58
02.06,Male reproductive neoplasms,C60-C63,C60
02.06,Male reproductive neoplasms,C60-C63,C61
02.06,Male reproductive neoplasms,C60-C63,C62
02.06,Male reproductive neoplasms,C60-C63,C63
03.01,Severe anaemia,D50-D64,D50
03.01,Severe anaemia,D50-D64,D51
03.01,Severe anaemia,D50-D64,D52
03.01,Severe anaemia,D50-D64,D53
03.01,Severe anaemia,D50-D64,D54
03.01,Severe anaemia,D50-D64,D55
03.01,Severe anaemia,D50-D64,D56
03.01,Severe anaemia,D50-D64,D57
03.01,Severe anaemia,D50-D64,D58
03.01,Severe anaemia,D50-D64,D59
03.01,Severe anaemia,D50-D64,D60
03.01,Severe anaemia,D50-D64,D61
03.01,Severe anaemia,D50-D64,D62
03.01,Severe anaemia,D50-D64,D63
03.01,Severe anaemia,D50-D64,D64
04.03,Sickle cell with crisis,D57,D57
98,Other and unspecified non- communicable disease,D65-D89; E00-E07; E15-E35; E50-E90; F00-F99; G06-G09; G10-G37; G50-G99; H00-H95; J30-J39; J47-J84; J86-J99; K00-K31; K35-K38 K40-K69;,D65
98,Other and unspecified non- communicable disease,D65-D89; E00-E07; E15-E35; E50-E90; F00-F99; G06-G09; G10-G37; G50-G99; H00-H95; J30-J39; J47-J84; J86-J99; K00-K31; K35-K38 K40-K69;,D66
98,Other and unspecified non- communicable disease,D65-D89; E00-E07; E15-E35; E50-E90; F00-F99; G06-G09; G10-G37; G50-G99; H00-H95; J30-J39; J47-J84; J86-J99; K00-K31; K35-K38 K40-K69;,D67
98,Other and unspecified non- communicable disease,D65-D89; E00-E07; E15-E35; E50-E90; F00-F99; G06-G09; G10-G37; G50-G99; H00-H95; J30-J39; J47-J84; J86-J99; K00-K31; K35-K38 K40-K69;,D68
98,Other and unspecified non- communicable disease,D65-D89; E00-E07; E15-E35; E50-E90; F00-F99; G06-G09; G10-G37; G50-G99; H00-H95; J30-J39; J47-J84; J86-J99; K00-K31; K35-K38 K40-K69;,D69
98,Other and unspecified non- communicable disease,D65-D89; E00-E07; E15-E35; E50-E90; F00-F99; G06-G09; G10-G37; G50-G99; H00-H95; J30-J39; J47-J84; J86-J99; K00-K31; K35-K38 K40-K69;,D70
98,Other and unspecified non- communicable disease,D65-D89; E00-E07; E15-E35; E50-E90; F00-F99; G06-G09; G10-G37; G50-G99; H00-H95; J30-J39; J47-J84; J86-J99; K00-K31; K35-K38 K40-K69;,D71
98,Other and unspecified non- communicable disease,D65-D89; E00-E07; E15-E35; E50-E90; F00-F99; G06-G09; G10-G37; G50-G99; H00-H95; J30-J39; J47-J84; J86-J99; K00-K31; K35-K38 K40-K69;,D72
98,Other and unspecified non- communicable disease,D65-D89; E00-E07; E15-E35; E50-E90; F00-F99; G06-G09; G10-G37; G50-G99; H00-H95; J30-J39; J47-J84; J86-J99; K00-K31; K35-K38 K40-K69;,D73
98,Other and unspecified non- communicable disease,D65-D89; E00-E07; E15-E35; E50-E90; F00-F99; G06-G09; G10-G37; G50-G99; H00-H95; J30-J39; J47-J84; J86-J99; K00-K31; K35-K38 K40-K69;,D74
98,Other and unspecified non- communicable disease,D65-D89; E00-E07; E15-E35; E50-E90; F00-F99; G06-G09; G10-G37; G50-G99; H00-H95; J30-J39; J47-J84; J86-J99; K00-K31; K35-K38 K40-K69;,D75
98,Other and unspecified non- communicable disease,D65-D89; E00-E07; E15-E35; E50-E90; F00-F99; G06-G09; G10-G37; G50-G99; H00-H95; J30-J39; J47-J84; J86-J99; K00-K31; K35-K38 K40-K69;,D76
98,Other and unspecified non- communicable disease,D65-D89; E00-E07; E15-E35; E50-E90; F00-F99; G06-G09; G10-G37; G50-G99; H00-H95; J30-J39; J47-J84; J86-J99; K00-K31; K35-K38 K40-K69;,D77
98,Other and unspecified non- communicable disease,D65-D89; E00-E07; E15-E35; E50-E90; F00-F99; G06-G09; G10-G37; G50-G99; H00-H95; J30-J39; J47-J84; J86-J99; K00-K31; K35-K38 K40-K69;,D78
98,Other and unspecified non- communicable disease,D65-D89; E00-E07; E15-E35; E50-E90; F00-F99; G06-G09; G10-G37; G50-G99; H00-H95; J30-J39; J47-J84; J86-J99; K00-K31; K35-K38 K40-K69;,D79
98,Other and unspecified non- communicable disease,D65-D89; E00-E07; E15-E35; E50-E90; F00-F99; G06-G09; G10-G37; G50-G99; H00-H95; J30-J39; J47-J84; J86-J99; K00-K31; K35-K38 K40-K69;,D80
98,Other and unspecified non- communicable disease,D65-D89; E00-E07; E15-E35; E50-E90; F00-F99; G06-G09; G10-G37; G50-G99; H00-H95; J30-J39; J47-J84; J86-J99; K00-K31; K35-K38 K40-K69;,D81
98,Other and unspecified non- communicable disease,D65-D89; E00-E07; E15-E35; E50-E90; F00-F99; G06-G09; G10-G37; G50-G99; H00-H95; J30-J39; J47-J84; J86-J99; K00-K31; K35-K38 K40-K69;,D82
98,Other and unspecified non- communicable disease,D65-D89; E00-E07; E15-E35; E50-E90; F00-F99; G06-G09; G10-G37; G50-G99; H00-H95; J30-J39; J47-J84; J86-J99; K00-K31; K35-K38 K40-K69;,D83
98,Other and unspecified non- communicable disease,D65-D89; E00-E07; E15-E35; E50-E90; F00-F99; G06-G09; G10-G37; G50-G99; H00-H95; J30-J39; J47-J84; J86-J99; K00-K31; K35-K38 K40-K69;,D84
98,Other and unspecified non- communicable disease,D65-D89; E00-E07; E15-E35; E50-E90; F00-F99; G06-G09; G10-G37; G50-G99; H00-H95; J30-J39; J47-J84; J86-J99; K00-K31; K35-K38 K40-K69;,D85
98,Other and unspecified non- communicable disease,D65-D89; E00-E07; E15-E35; E50-E90; F00-F99; G06-G09; G10-G37; G50-G99; H00-H95; J30-J39; J47-J84; J86-J99; K00-K31; K35-K38 K40-K69;,D86
98,Other and unspecified non- communicable disease,D65-D89; E00-E07; E15-E35; E50-E90; F00-F99; G06-G09; G10-G37; G50-G99; H00-H95; J30-J39; J47-J84; J86-J99; K00-K31; K35-K38 K40-K69;,D87
98,Other and unspecified non- communicable disease,D65-D89; E00-E07; E15-E35; E50-E90; F00-F99; G06-G09; G10-G37; G50-G99; H00-H95; J30-J39; J47-J84; J86-J99; K00-K31; K35-K38 K40-K69;,D88
98,Other and unspecified non- communicable disease,D65-D89; E00-E07; E15-E35; E50-E90; F00-F99; G06-G09; G10-G37; G50-G99; H00-H95; J30-J39; J47-J84; J86-J99; K00-K31; K35-K38 K40-K69;,D89
98,Other and unspecified non- communicable disease,D65-D89; E00-E07; E15-E35; E50-E90; F00-F99; G06-G09; G10-G37; G50-G99; H00-H95; J30-J39; J47-J84; J86-J99; K00-K31; K35-K38 K40-K69;,E00
98,Other and unspecified non- communicable disease,D65-D89; E00-E07; E15-E35; E50-E90; F00-F99; G06-G09; G10-G37; G50-G99; H00-H95; J30-J39; J47-J84; J86-J99; K00-K31; K35-K38 K40-K69;,E01
