icd10_code,cghr_code,cghr_label,wbd10_kind_depth,wbd10_codex4,wbd10_codex2,wbd10_code,wbd10_codex4_title,wbd10_codex2_title,wbd10_title,icd10_range
A26,4,Unspec. infect.,3,1,1K,1K01,"Communicable, maternal, perinatal and nutritional conditions",Acute bacterial sepsis & severe Infections,Severe Systemic Infection,"A20-A28,A32,A38,A40-A49,A68,A70,A74-A79,B95-B96,P36-P39,U80-U89"
A27,4,Unspec. infect.,3,1,1K,1K01,"Communicable, maternal, perinatal and nutritional conditions",Acute bacterial sepsis & severe Infections,Severe Systemic Infection,"A20-A28,A32,A38,A40-A49,A68,A70,A74-A79,B95-B96,P36-P39,U80-U89"
A28,4,Unspec. infect.,3,1,1K,1K01,"Communicable, maternal, perinatal and nutritional conditions",Acute bacterial sepsis & severe Infections,Severe Systemic Infection,"A20-A28,A32,A38,A40-A49,A68,A70,A74-A79,B95-B96,P36-P39,U80-U89"
A30,4,Unspec. infect.,3,1,1I,1I02,"Communicable, maternal, perinatal and nutritional conditions",Selected tropical diseases,Leprosy,"A30,B92"
A31,4,Unspec. infect.,3,1,1L,1L01,"Communicable, maternal, perinatal and nutritional conditions",Other infectious and parasitic diseases,Other infectious diseases,"A31,A50,A65-A67,A69,B00,B02,B04,B07-B09,B25,B27-B49,B59,B85-B89,B94,B97-B99,P35,Y95"
A32,4,Unspec. infect.,3,1,1K,1K01,"Communicable, maternal, perinatal and nutritional conditions",Acute bacterial sepsis & severe Infections,Severe Systemic Infection,"A20-A28,A32,A38,A40-A49,A68,A70,A74-A79,B95-B96,P36-P39,U80-U89"
A33,4,Unspec. infect.,3,1,1E,1E01,"Communicable, maternal, perinatal and nutritional conditions",Selected vaccine preventable diseases,Tetanus,"A33,A35"
A34,5,Maternal,3,1,1M,1M04,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,Maternal sepsis,"O23,O41,O85-O86,O91,A34"
A35,4,Unspec. infect.,3,1,1E,1E01,"Communicable, maternal, perinatal and nutritional conditions",Selected vaccine preventable diseases,Tetanus,"A33,A35"
A36,4,Unspec. infect.,3,1,1E,1E04,"Communicable, maternal, perinatal and nutritional conditions",Selected vaccine preventable diseases,Other vaccine preventable diseases,"A36-A37,B03,B06,B26"
A37,4,Unspec. infect.,3,1,1E,1E04,"Communicable, maternal, perinatal and nutritional conditions",Selected vaccine preventable diseases,Other vaccine preventable diseases,"A36-A37,B03,B06,B26"
A38,4,Unspec. infect.,3,1,1K,1K01,"Communicable, maternal, perinatal and nutritional conditions",Acute bacterial sepsis & severe Infections,Severe Systemic Infection,"A20-A28,A32,A38,A40-A49,A68,A70,A74-A79,B95-B96,P36-P39,U80-U89"
A39,4,Unspec. infect.,3,1,1F,1F01,"Communicable, maternal, perinatal and nutritional conditions",Meningitis/encephalitis,Meningitis/encephalitis,"A39,A81,A83-A89,G00-G09"
A40,4,Unspec. infect.,3,1,1K,1K01,"Communicable, maternal, perinatal and nutritional conditions",Acute bacterial sepsis & severe Infections,Severe Systemic Infection,"A20-A28,A32,A38,A40-A49,A68,A70,A74-A79,B95-B96,P36-P39,U80-U89"
A41,4,Unspec. infect.,3,1,1K,1K01,"Communicable, maternal, perinatal and nutritional conditions",Acute bacterial sepsis & severe Infections,Severe Systemic Infection,"A20-A28,A32,A38,A40-A49,A68,A70,A74-A79,B95-B96,P36-P39,U80-U89"
A42,4,Unspec. infect.,3,1,1K,1K01,"Communicable, maternal, perinatal and nutritional conditions",Acute bacterial sepsis & severe Infections,Severe Systemic Infection,"A20-A28,A32,A38,A40-A49,A68,A70,A74-A79,B95-B96,P36-P39,U80-U89"
A43,4,Unspec. infect.,3,1,1K,1K01,"Communicable, maternal, perinatal and nutritional conditions",Acute bacterial sepsis & severe Infections,Severe Systemic Infection,"A20-A28,A32,A38,A40-A49,A68,A70,A74-A79,B95-B96,P36-P39,U80-U89"
A44,4,Unspec. infect.,3,1,1K,1K01,"Communicable, maternal, perinatal and nutritional conditions",Acute bacterial sepsis & severe Infections,Severe Systemic Infection,"A20-A28,A32,A38,A40-A49,A68,A70,A74-A79,B95-B96,P36-P39,U80-U89"
A45,4,Unspec. infect.,3,1,1K,1K01,"Communicable, maternal, perinatal and nutritional conditions",Acute bacterial sepsis & severe Infections,Severe Systemic Infection,"A20-A28,A32,A38,A40-A49,A68,A70,A74-A79,B95-B96,P36-P39,U80-U89"
A46,4,Unspec. infect.,3,1,1K,1K01,"Communicable, maternal, perinatal and nutritional conditions",Acute bacterial sepsis & severe Infections,Severe Systemic Infection,"A20-A28,A32,A38,A40-A49,A68,A70,A74-A79,B95-B96,P36-P39,U80-U89"
A47,4,Unspec. infect.,3,1,1K,1K01,"Communicable, maternal, perinatal and nutritional conditions",Acute bacterial sepsis & severe Infections,Severe Systemic Infection,"A20-A28,A32,A38,A40-A49,A68,A70,A74-A79,B95-B96,P36-P39,U80-U89"
A48,4,Unspec. infect.,3,1,1K,1K01,"Communicable, maternal, perinatal and nutritional conditions",Acute bacterial sepsis & severe Infections,Severe Systemic Infection,"A20-A28,A32,A38,A40-A49,A68,A70,A74-A79,B95-B96,P36-P39,U80-U89"
A49,4,Unspec. infect.,3,1,1K,1K01,"Communicable, maternal, perinatal and nutritional conditions",Acute bacterial sepsis & severe Infections,Severe Systemic Infection,"A20-A28,A32,A38,A40-A49,A68,A70,A74-A79,B95-B96,P36-P39,U80-U89"
A50,4,Unspec. infect.,3,1,1L,1L01,"Communicable, maternal, perinatal and nutritional conditions",Other infectious and parasitic diseases,Other infectious diseases,"A31,A50,A65-A67,A69,B00,B02,B04,B07-B09,B25,B27-B49,B59,B85-B89,B94,B97-B99,P35,Y95"
A51,4,Unspec. infect.,3,1,1C,1C01,"Communicable, maternal, perinatal and nutritional conditions",Sexually-transmitted infections excluding HIV/AIDS,Syphilis,A51-A53
A52,4,Unspec. infect.,3,1,1C,1C01,"Communicable, maternal, perinatal and nutritional conditions",Sexually-transmitted infections excluding HIV/AIDS,Syphilis,A51-A53
A53,4,Unspec. infect.,3,1,1C,1C01,"Communicable, maternal, perinatal and nutritional conditions",Sexually-transmitted infections excluding HIV/AIDS,Syphilis,A51-A53
A54,4,Unspec. infect.,3,1,1C,1C02,"Communicable, maternal, perinatal and nutritional conditions",Sexually-transmitted infections excluding HIV/AIDS,Other sexually transmitted infections (excluding HIV/AIDS),"A54-A64,N70-N74"
A55,4,Unspec. infect.,3,1,1C,1C02,"Communicable, maternal, perinatal and nutritional conditions",Sexually-transmitted infections excluding HIV/AIDS,Other sexually transmitted infections (excluding HIV/AIDS),"A54-A64,N70-N74"
A56,4,Unspec. infect.,3,1,1C,1C02,"Communicable, maternal, perinatal and nutritional conditions",Sexually-transmitted infections excluding HIV/AIDS,Other sexually transmitted infections (excluding HIV/AIDS),"A54-A64,N70-N74"
A57,4,Unspec. infect.,3,1,1C,1C02,"Communicable, maternal, perinatal and nutritional conditions",Sexually-transmitted infections excluding HIV/AIDS,Other sexually transmitted infections (excluding HIV/AIDS),"A54-A64,N70-N74"
A58,4,Unspec. infect.,3,1,1C,1C02,"Communicable, maternal, perinatal and nutritional conditions",Sexually-transmitted infections excluding HIV/AIDS,Other sexually transmitted infections (excluding HIV/AIDS),"A54-A64,N70-N74"
A59,4,Unspec. infect.,3,1,1C,1C02,"Communicable, maternal, perinatal and nutritional conditions",Sexually-transmitted infections excluding HIV/AIDS,Other sexually transmitted infections (excluding HIV/AIDS),"A54-A64,N70-N74"
A60,4,Unspec. infect.,3,1,1C,1C02,"Communicable, maternal, perinatal and nutritional conditions",Sexually-transmitted infections excluding HIV/AIDS,Other sexually transmitted infections (excluding HIV/AIDS),"A54-A64,N70-N74"
A61,4,Unspec. infect.,3,1,1C,1C02,"Communicable, maternal, perinatal and nutritional conditions",Sexually-transmitted infections excluding HIV/AIDS,Other sexually transmitted infections (excluding HIV/AIDS),"A54-A64,N70-N74"
A62,4,Unspec. infect.,3,1,1C,1C02,"Communicable, maternal, perinatal and nutritional conditions",Sexually-transmitted infections excluding HIV/AIDS,Other sexually transmitted infections (excluding HIV/AIDS),"A54-A64,N70-N74"
A63,4,Unspec. infect.,3,1,1C,1C02,"Communicable, maternal, perinatal and nutritional conditions",Sexually-transmitted infections excluding HIV/AIDS,Other sexually transmitted infections (excluding HIV/AIDS),"A54-A64,N70-N74"
A64,4,Unspec. infect.,3,1,1C,1C02,"Communicable, maternal, perinatal and nutritional conditions",Sexually-transmitted infections excluding HIV/AIDS,Other sexually transmitted infections (excluding HIV/AIDS),"A54-A64,N70-N74"
A65,4,Unspec. infect.,3,1,1L,1L01,"Communicable, maternal, perinatal and nutritional conditions",Other infectious and parasitic diseases,Other infectious diseases,"A31,A50,A65-A67,A69,B00,B02,B04,B07-B09,B25,B27-B49,B59,B85-B89,B94,B97-B99,P35,Y95"
A66,4,Unspec. infect.,3,1,1L,1L01,"Communicable, maternal, perinatal and nutritional conditions",Other infectious and parasitic diseases,Other infectious diseases,"A31,A50,A65-A67,A69,B00,B02,B04,B07-B09,B25,B27-B49,B59,B85-B89,B94,B97-B99,P35,Y95"
A67,4,Unspec. infect.,3,1,1L,1L01,"Communicable, maternal, perinatal and nutritional conditions",Other infectious and parasitic diseases,Other infectious diseases,"A31,A50,A65-A67,A69,B00,B02,B04,B07-B09,B25,B27-B49,B59,B85-B89,B94,B97-B99,P35,Y95"
A68,4,Unspec. infect.,3,1,1K,1K01,"Communicable, maternal, perinatal and nutritional conditions",Acute bacterial sepsis & severe Infections,Severe Systemic Infection,"A20-A28,A32,A38,A40-A49,A68,A70,A74-A79,B95-B96,P36-P39,U80-U89"
A69,4,Unspec. infect.,3,1,1L,1L01,"Communicable, maternal, perinatal and nutritional conditions",Other infectious and parasitic diseases,Other infectious diseases,"A31,A50,A65-A67,A69,B00,B02,B04,B07-B09,B25,B27-B49,B59,B85-B89,B94,B97-B99,P35,Y95"
A70,4,Unspec. infect.,3,1,1K,1K01,"Communicable, maternal, perinatal and nutritional conditions",Acute bacterial sepsis & severe Infections,Severe Systemic Infection,"A20-A28,A32,A38,A40-A49,A68,A70,A74-A79,B95-B96,P36-P39,U80-U89"
A71,4,Unspec. infect.,3,1,1I,1I04,"Communicable, maternal, perinatal and nutritional conditions",Selected tropical diseases,Trachoma,A71
A74,4,Unspec. infect.,3,1,1K,1K01,"Communicable, maternal, perinatal and nutritional conditions",Acute bacterial sepsis & severe Infections,Severe Systemic Infection,"A20-A28,A32,A38,A40-A49,A68,A70,A74-A79,B95-B96,P36-P39,U80-U89"
A75,4,Unspec. infect.,3,1,1K,1K01,"Communicable, maternal, perinatal and nutritional conditions",Acute bacterial sepsis & severe Infections,Severe Systemic Infection,"A20-A28,A32,A38,A40-A49,A68,A70,A74-A79,B95-B96,P36-P39,U80-U89"
A76,4,Unspec. infect.,3,1,1K,1K01,"Communicable, maternal, perinatal and nutritional conditions",Acute bacterial sepsis & severe Infections,Severe Systemic Infection,"A20-A28,A32,A38,A40-A49,A68,A70,A74-A79,B95-B96,P36-P39,U80-U89"
A77,4,Unspec. infect.,3,1,1K,1K01,"Communicable, maternal, perinatal and nutritional conditions",Acute bacterial sepsis & severe Infections,Severe Systemic Infection,"A20-A28,A32,A38,A40-A49,A68,A70,A74-A79,B95-B96,P36-P39,U80-U89"
A78,4,Unspec. infect.,3,1,1K,1K01,"Communicable, maternal, perinatal and nutritional conditions",Acute bacterial sepsis & severe Infections,Severe Systemic Infection,"A20-A28,A32,A38,A40-A49,A68,A70,A74-A79,B95-B96,P36-P39,U80-U89"
A79,4,Unspec. infect.,3,1,1K,1K01,"Communicable, maternal, perinatal and nutritional conditions",Acute bacterial sepsis & severe Infections,Severe Systemic Infection,"A20-A28,A32,A38,A40-A49,A68,A70,A74-A79,B95-B96,P36-P39,U80-U89"
A80,4,Unspec. infect.,3,1,1E,1E03,"Communicable, maternal, perinatal and nutritional conditions",Selected vaccine preventable diseases,Poliomyelitis,"A80,B91"
A81,4,Unspec. infect.,3,1,1F,1F01,"Communicable, maternal, perinatal and nutritional conditions",Meningitis/encephalitis,Meningitis/encephalitis,"A39,A81,A83-A89,G00-G09"
A82,4,Unspec. infect.,3,1,1F,1F02,"Communicable, maternal, perinatal and nutritional conditions",Meningitis/encephalitis,Rabies,A82
A83,4,Unspec. infect.,3,1,1F,1F01,"Communicable, maternal, perinatal and nutritional conditions",Meningitis/encephalitis,Meningitis/encephalitis,"A39,A81,A83-A89,G00-G09"
A84,4,Unspec. infect.,3,1,1F,1F01,"Communicable, maternal, perinatal and nutritional conditions",Meningitis/encephalitis,Meningitis/encephalitis,"A39,A81,A83-A89,G00-G09"
A85,4,Unspec. infect.,3,1,1F,1F01,"Communicable, maternal, perinatal and nutritional conditions",Meningitis/encephalitis,Meningitis/encephalitis,"A39,A81,A83-A89,G00-G09"
A86,4,Unspec. infect.,3,1,1F,1F01,"Communicable, maternal, perinatal and nutritional conditions",Meningitis/encephalitis,Meningitis/encephalitis,"A39,A81,A83-A89,G00-G09"
A87,4,Unspec. infect.,3,1,1F,1F01,"Communicable, maternal, perinatal and nutritional conditions",Meningitis/encephalitis,Meningitis/encephalitis,"A39,A81,A83-A89,G00-G09"
A88,4,Unspec. infect.,3,1,1F,1F01,"Communicable, maternal, perinatal and nutritional conditions",Meningitis/encephalitis,Meningitis/encephalitis,"A39,A81,A83-A89,G00-G09"
A89,4,Unspec. infect.,3,1,1F,1F01,"Communicable, maternal, perinatal and nutritional conditions",Meningitis/encephalitis,Meningitis/encephalitis,"A39,A81,A83-A89,G00-G09"
A90,4,Unspec. infect.,3,1,1I,1I03,"Communicable, maternal, perinatal and nutritional conditions",Selected tropical diseases,Arthropod-borne viral fevers,A90-A99
A91,4,Unspec. infect.,3,1,1I,1I03,"Communicable, maternal, perinatal and nutritional conditions",Selected tropical diseases,Arthropod-borne viral fevers,A90-A99
A92,4,Unspec. infect.,3,1,1I,1I03,"Communicable, maternal, perinatal and nutritional conditions",Selected tropical diseases,Arthropod-borne viral fevers,A90-A99
A93,4,Unspec. infect.,3,1,1I,1I03,"Communicable, maternal, perinatal and nutritional conditions",Selected tropical diseases,Arthropod-borne viral fevers,A90-A99
A94,4,Unspec. infect.,3,1,1I,1I03,"Communicable, maternal, perinatal and nutritional conditions",Selected tropical diseases,Arthropod-borne viral fevers,A90-A99
A95,4,Unspec. infect.,3,1,1I,1I03,"Communicable, maternal, perinatal and nutritional conditions",Selected tropical diseases,Arthropod-borne viral fevers,A90-A99
A96,4,Unspec. infect.,3,1,1I,1I03,"Communicable, maternal, perinatal and nutritional conditions",Selected tropical diseases,Arthropod-borne viral fevers,A90-A99
A97,4,Unspec. infect.,3,1,1I,1I03,"Communicable, maternal, perinatal and nutritional conditions",Selected tropical diseases,Arthropod-borne viral fevers,A90-A99
A98,4,Unspec. infect.,3,1,1I,1I03,"Communicable, maternal, perinatal and nutritional conditions",Selected tropical diseases,Arthropod-borne viral fevers,A90-A99
A99,4,Unspec. infect.,3,1,1I,1I03,"Communicable, maternal, perinatal and nutritional conditions",Selected tropical diseases,Arthropod-borne viral fevers,A90-A99
B00,4,Unspec. infect.,3,1,1L,1L01,"Communicable, maternal, perinatal and nutritional conditions",Other infectious and parasitic diseases,Other infectious diseases,"A31,A50,A65-A67,A69,B00,B02,B04,B07-B09,B25,B27-B49,B59,B85-B89,B94,B97-B99,P35,Y95"
B01,4,Unspec. infect.,3,1,1E,1E02,"Communicable, maternal, perinatal and nutritional conditions",Selected vaccine preventable diseases,Measles,"B01,B05"
B02,4,Unspec. infect.,3,1,1L,1L01,"Communicable, maternal, perinatal and nutritional conditions",Other infectious and parasitic diseases,Other infectious diseases,"A31,A50,A65-A67,A69,B00,B02,B04,B07-B09,B25,B27-B49,B59,B85-B89,B94,B97-B99,P35,Y95"
B03,4,Unspec. infect.,3,1,1E,1E04,"Communicable, maternal, perinatal and nutritional conditions",Selected vaccine preventable diseases,Other vaccine preventable diseases,"A36-A37,B03,B06,B26"
B04,4,Unspec. infect.,3,1,1L,1L01,"Communicable, maternal, perinatal and nutritional conditions",Other infectious and parasitic diseases,Other infectious diseases,"A31,A50,A65-A67,A69,B00,B02,B04,B07-B09,B25,B27-B49,B59,B85-B89,B94,B97-B99,P35,Y95"
B05,4,Unspec. infect.,3,1,1E,1E02,"Communicable, maternal, perinatal and nutritional conditions",Selected vaccine preventable diseases,Measles,"B01,B05"
B06,4,Unspec. infect.,3,1,1E,1E04,"Communicable, maternal, perinatal and nutritional conditions",Selected vaccine preventable diseases,Other vaccine preventable diseases,"A36-A37,B03,B06,B26"
B07,4,Unspec. infect.,3,1,1L,1L01,"Communicable, maternal, perinatal and nutritional conditions",Other infectious and parasitic diseases,Other infectious diseases,"A31,A50,A65-A67,A69,B00,B02,B04,B07-B09,B25,B27-B49,B59,B85-B89,B94,B97-B99,P35,Y95"
B08,4,Unspec. infect.,3,1,1L,1L01,"Communicable, maternal, perinatal and nutritional conditions",Other infectious and parasitic diseases,Other infectious diseases,"A31,A50,A65-A67,A69,B00,B02,B04,B07-B09,B25,B27-B49,B59,B85-B89,B94,B97-B99,P35,Y95"
B09,4,Unspec. infect.,3,1,1L,1L01,"Communicable, maternal, perinatal and nutritional conditions",Other infectious and parasitic diseases,Other infectious diseases,"A31,A50,A65-A67,A69,B00,B02,B04,B07-B09,B25,B27-B49,B59,B85-B89,B94,B97-B99,P35,Y95"
B15,4,Unspec. infect.,3,1,1G,1G01,"Communicable, maternal, perinatal and nutritional conditions",Hepatitis,Hepatitis,"B15-B17,B19"
B16,4,Unspec. infect.,3,1,1G,1G01,"Communicable, maternal, perinatal and nutritional conditions",Hepatitis,Hepatitis,"B15-B17,B19"
B17,4,Unspec. infect.,3,1,1G,1G01,"Communicable, maternal, perinatal and nutritional conditions",Hepatitis,Hepatitis,"B15-B17,B19"
B18,13,Liver & alcohol,3,2,2J,2J02,Noncommunicable diseases,Digestive diseases,Lliver and alcohol related diseases,"B18,F10,K70-K77,R16-R18,X45,Y15,Y90-Y91"
B19,4,Unspec. infect.,3,1,1G,1G01,"Communicable, maternal, perinatal and nutritional conditions",Hepatitis,Hepatitis,"B15-B17,B19"
B20,4,Unspec. infect.,3,1,1B,1B01,"Communicable, maternal, perinatal and nutritional conditions",HIV/AIDS,HIV/AIDS,"B20-B24,C46,D84R75"
B21,4,Unspec. infect.,3,1,1B,1B01,"Communicable, maternal, perinatal and nutritional conditions",HIV/AIDS,HIV/AIDS,"B20-B24,C46,D84R75"
B22,4,Unspec. infect.,3,1,1B,1B01,"Communicable, maternal, perinatal and nutritional conditions",HIV/AIDS,HIV/AIDS,"B20-B24,C46,D84R75"
B23,4,Unspec. infect.,3,1,1B,1B01,"Communicable, maternal, perinatal and nutritional conditions",HIV/AIDS,HIV/AIDS,"B20-B24,C46,D84R75"
B24,4,Unspec. infect.,3,1,1B,1B01,"Communicable, maternal, perinatal and nutritional conditions",HIV/AIDS,HIV/AIDS,"B20-B24,C46,D84R75"
B25,4,Unspec. infect.,3,1,1L,1L01,"Communicable, maternal, perinatal and nutritional conditions",Other infectious and parasitic diseases,Other infectious diseases,"A31,A50,A65-A67,A69,B00,B02,B04,B07-B09,B25,B27-B49,B59,B85-B89,B94,B97-B99,P35,Y95"
B26,4,Unspec. infect.,3,1,1E,1E04,"Communicable, maternal, perinatal and nutritional conditions",Selected vaccine preventable diseases,Other vaccine preventable diseases,"A36-A37,B03,B06,B26"
B27,4,Unspec. infect.,3,1,1L,1L01,"Communicable, maternal, perinatal and nutritional conditions",Other infectious and parasitic diseases,Other infectious diseases,"A31,A50,A65-A67,A69,B00,B02,B04,B07-B09,B25,B27-B49,B59,B85-B89,B94,B97-B99,P35,Y95"
B28,4,Unspec. infect.,3,1,1L,1L01,"Communicable, maternal, perinatal and nutritional conditions",Other infectious and parasitic diseases,Other infectious diseases,"A31,A50,A65-A67,A69,B00,B02,B04,B07-B09,B25,B27-B49,B59,B85-B89,B94,B97-B99,P35,Y95"
B29,4,Unspec. infect.,3,1,1L,1L01,"Communicable, maternal, perinatal and nutritional conditions",Other infectious and parasitic diseases,Other infectious diseases,"A31,A50,A65-A67,A69,B00,B02,B04,B07-B09,B25,B27-B49,B59,B85-B89,B94,B97-B99,P35,Y95"
B30,4,Unspec. infect.,3,1,1L,1L01,"Communicable, maternal, perinatal and nutritional conditions",Other infectious and parasitic diseases,Other infectious diseases,"A31,A50,A65-A67,A69,B00,B02,B04,B07-B09,B25,B27-B49,B59,B85-B89,B94,B97-B99,P35,Y95"
B31,4,Unspec. infect.,3,1,1L,1L01,"Communicable, maternal, perinatal and nutritional conditions",Other infectious and parasitic diseases,Other infectious diseases,"A31,A50,A65-A67,A69,B00,B02,B04,B07-B09,B25,B27-B49,B59,B85-B89,B94,B97-B99,P35,Y95"
B32,4,Unspec. infect.,3,1,1L,1L01,"Communicable, maternal, perinatal and nutritional conditions",Other infectious and parasitic diseases,Other infectious diseases,"A31,A50,A65-A67,A69,B00,B02,B04,B07-B09,B25,B27-B49,B59,B85-B89,B94,B97-B99,P35,Y95"
B33,4,Unspec. infect.,3,1,1L,1L01,"Communicable, maternal, perinatal and nutritional conditions",Other infectious and parasitic diseases,Other infectious diseases,"A31,A50,A65-A67,A69,B00,B02,B04,B07-B09,B25,B27-B49,B59,B85-B89,B94,B97-B99,P35,Y95"
B34,4,Unspec. infect.,3,1,1L,1L01,"Communicable, maternal, perinatal and nutritional conditions",Other infectious and parasitic diseases,Other infectious diseases,"A31,A50,A65-A67,A69,B00,B02,B04,B07-B09,B25,B27-B49,B59,B85-B89,B94,B97-B99,P35,Y95"
B35,4,Unspec. infect.,3,1,1L,1L01,"Communicable, maternal, perinatal and nutritional conditions",Other infectious and parasitic diseases,Other infectious diseases,"A31,A50,A65-A67,A69,B00,B02,B04,B07-B09,B25,B27-B49,B59,B85-B89,B94,B97-B99,P35,Y95"
B36,4,Unspec. infect.,3,1,1L,1L01,"Communicable, maternal, perinatal and nutritional conditions",Other infectious and parasitic diseases,Other infectious diseases,"A31,A50,A65-A67,A69,B00,B02,B04,B07-B09,B25,B27-B49,B59,B85-B89,B94,B97-B99,P35,Y95"
B37,4,Unspec. infect.,3,1,1L,1L01,"Communicable, maternal, perinatal and nutritional conditions",Other infectious and parasitic diseases,Other infectious diseases,"A31,A50,A65-A67,A69,B00,B02,B04,B07-B09,B25,B27-B49,B59,B85-B89,B94,B97-B99,P35,Y95"
B38,4,Unspec. infect.,3,1,1L,1L01,"Communicable, maternal, perinatal and nutritional conditions",Other infectious and parasitic diseases,Other infectious diseases,"A31,A50,A65-A67,A69,B00,B02,B04,B07-B09,B25,B27-B49,B59,B85-B89,B94,B97-B99,P35,Y95"
B39,4,Unspec. infect.,3,1,1L,1L01,"Communicable, maternal, perinatal and nutritional conditions",Other infectious and parasitic diseases,Other infectious diseases,"A31,A50,A65-A67,A69,B00,B02,B04,B07-B09,B25,B27-B49,B59,B85-B89,B94,B97-B99,P35,Y95"
B40,4,Unspec. infect.,3,1,1L,1L01,"Communicable, maternal, perinatal and nutritional conditions",Other infectious and parasitic diseases,Other infectious diseases,"A31,A50,A65-A67,A69,B00,B02,B04,B07-B09,B25,B27-B49,B59,B85-B89,B94,B97-B99,P35,Y95"
B41,4,Unspec. infect.,3,1,1L,1L01,"Communicable, maternal, perinatal and nutritional conditions",Other infectious and parasitic diseases,Other infectious diseases,"A31,A50,A65-A67,A69,B00,B02,B04,B07-B09,B25,B27-B49,B59,B85-B89,B94,B97-B99,P35,Y95"
B42,4,Unspec. infect.,3,1,1L,1L01,"Communicable, maternal, perinatal and nutritional conditions",Other infectious and parasitic diseases,Other infectious diseases,"A31,A50,A65-A67,A69,B00,B02,B04,B07-B09,B25,B27-B49,B59,B85-B89,B94,B97-B99,P35,Y95"
