icd10_code,cghr_code,cghr_label,wva2016_code,wva2016_title,icd10_range
A42,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A43,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A44,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A46,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A48,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A49,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A50,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A51,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A52,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A53,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A54,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A55,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A56,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A57,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A58,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A59,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A60,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A61,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A62,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A63,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A64,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A65,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A66,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A67,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A68,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A69,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A70,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A71,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A74,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A75,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A77,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A78,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A79,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A80,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A81,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A82,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A83,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A84,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A85,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A86,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A87,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A88,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A89,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
A92,4,Other Infections,1.11,Haemorrhagic fever,"A92-96,A98-99"
A93,4,Other Infections,1.11,Haemorrhagic fever,"A92-96,A98-99"
A94,4,Other Infections,1.11,Haemorrhagic fever,"A92-96,A98-99"
A95,4,Other Infections,1.11,Haemorrhagic fever,"A92-96,A98-99"
A96,4,Other Infections,1.11,Haemorrhagic fever,"A92-96,A98-99"
A97,4,Other Infections,1.12,Dengue fever,A97
A98,4,Other Infections,1.11,Haemorrhagic fever,"A92-96,A98-99"
A99,4,Other Infections,1.11,Haemorrhagic fever,"A92-96,A98-99"
B00,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B01,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B02,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B03,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B04,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B05,4,Other Infections,1.06,Measles,B05
B06,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B07,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B08,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B09,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B15,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B16,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B17,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B18,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B19,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B20,4,Other Infections,1.03,HIV/AIDS related death,B20-24
B21,4,Other Infections,1.03,HIV/AIDS related death,B20-24
B22,4,Other Infections,1.03,HIV/AIDS related death,B20-24
B23,4,Other Infections,1.03,HIV/AIDS related death,B20-24
B24,4,Other Infections,1.03,HIV/AIDS related death,B20-24
B25,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B26,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B27,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B30,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B33,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B34,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B35,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B36,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B37,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B38,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B39,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B40,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B41,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B42,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B43,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B44,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B45,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B46,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B47,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B48,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B49,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B50,3,Malaria,1.05,Malaria,B50-54
B51,3,Malaria,1.05,Malaria,B50-54
B52,3,Malaria,1.05,Malaria,B50-54
B53,3,Malaria,1.05,Malaria,B50-54
B54,3,Malaria,1.05,Malaria,B50-54
B55,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B56,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B57,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B58,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B59,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B60,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B64,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B65,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B66,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B67,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B68,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B69,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B70,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B71,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B72,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B73,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B74,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B75,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B76,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B77,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B78,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B79,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B80,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B81,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B82,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B83,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B85,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B86,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B87,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B88,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B89,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B90,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B91,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B92,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B94,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B95,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B96,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B97,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
B99,4,Other Infections,1.99,Unspecified infectious disease,"A17-32,A36,A38,A42-89,B00-04,B06-19,B25-49,B55-99"
C00,6,NCD,2.01,Oral neoplasms,C00-06
C01,6,NCD,2.01,Oral neoplasms,C00-06
C02,6,NCD,2.01,Oral neoplasms,C00-06
C03,6,NCD,2.01,Oral neoplasms,C00-06
C04,6,NCD,2.01,Oral neoplasms,C00-06
C05,6,NCD,2.01,Oral neoplasms,C00-06
C06,6,NCD,2.01,Oral neoplasms,C00-06
C07,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C08,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C09,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C10,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C11,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C12,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C13,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C14,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C15,6,NCD,2.02,Digestive neoplasms,C15-26
C16,6,NCD,2.02,Digestive neoplasms,C15-26
C17,6,NCD,2.02,Digestive neoplasms,C15-26
C18,6,NCD,2.02,Digestive neoplasms,C15-26
C19,6,NCD,2.02,Digestive neoplasms,C15-26
C20,6,NCD,2.02,Digestive neoplasms,C15-26
C21,6,NCD,2.02,Digestive neoplasms,C15-26
C22,6,NCD,2.02,Digestive neoplasms,C15-26
C23,6,NCD,2.02,Digestive neoplasms,C15-26
C24,6,NCD,2.02,Digestive neoplasms,C15-26
C25,6,NCD,2.02,Digestive neoplasms,C15-26
C26,6,NCD,2.02,Digestive neoplasms,C15-26
C30,6,NCD,2.03,Respiratory neoplasms,C30-39
C31,6,NCD,2.03,Respiratory neoplasms,C30-39
C32,6,NCD,2.03,Respiratory neoplasms,C30-39
C33,6,NCD,2.03,Respiratory neoplasms,C30-39
C34,6,NCD,2.03,Respiratory neoplasms,C30-39
C35,6,NCD,2.03,Respiratory neoplasms,C30-39
C36,6,NCD,2.03,Respiratory neoplasms,C30-39
C37,6,NCD,2.03,Respiratory neoplasms,C30-39
C38,6,NCD,2.03,Respiratory neoplasms,C30-39
C39,6,NCD,2.03,Respiratory neoplasms,C30-39
C40,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C41,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C42,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C43,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C44,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C45,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C46,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C47,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C48,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C49,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C50,6,NCD,2.04,Breast neoplasms,C50
C51,6,NCD,2.05,Female reproductive neoplasms,C51-58
C52,6,NCD,2.05,Female reproductive neoplasms,C51-58
C53,6,NCD,2.05,Female reproductive neoplasms,C51-58
C54,6,NCD,2.05,Female reproductive neoplasms,C51-58
C55,6,NCD,2.05,Female reproductive neoplasms,C51-58
C56,6,NCD,2.05,Female reproductive neoplasms,C51-58
C57,6,NCD,2.05,Female reproductive neoplasms,C51-58
C58,6,NCD,2.05,Female reproductive neoplasms,C51-58
C60,6,NCD,2.06,Male reproductive neoplasms,C60-63
C61,6,NCD,2.06,Male reproductive neoplasms,C60-63
C62,6,NCD,2.06,Male reproductive neoplasms,C60-63
C63,6,NCD,2.06,Male reproductive neoplasms,C60-63
C64,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C65,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C66,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C67,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C68,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C69,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C70,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C71,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C72,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C73,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C74,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C75,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C76,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C77,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C78,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C79,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C80,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C81,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C82,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C83,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C84,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C85,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C86,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C87,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C88,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C89,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C90,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C91,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C92,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C93,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C94,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C95,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
C96,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
D01,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
D02,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
D03,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
D04,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
D05,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
D06,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
D07,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
D08,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
D09,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
D10,6,NCD,2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-96,D00-48"
