icdequivalence,icdequivalence_desc,icd10_code
"B65,B66,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B77,B78,B79,B80,B81,B82,B83",Helminthiases,B78
"B65,B66,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B77,B78,B79,B80,B81,B82,B83",Helminthiases,B79
"B65,B66,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B77,B78,B79,B80,B81,B82,B83",Helminthiases,B80
"B65,B66,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B77,B78,B79,B80,B81,B82,B83",Helminthiases,B81
"B65,B66,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B77,B78,B79,B80,B81,B82,B83",Helminthiases,B82
"B65,B66,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B77,B78,B79,B80,B81,B82,B83",Helminthiases,B83
"B85,B86,B87,B88,B89",Other infectious diseases (3),B85
"B85,B86,B87,B88,B89",Other infectious diseases (3),B86
"B85,B86,B87,B88,B89",Other infectious diseases (3),B87
"B85,B86,B87,B88,B89",Other infectious diseases (3),B88
"B85,B86,B87,B88,B89",Other infectious diseases (3),B89
"C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C30,C31,C32,D10,D11",Upper aerodigestive cancer,C00
"C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C30,C31,C32,D10,D11",Upper aerodigestive cancer,C01
"C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C30,C31,C32,D10,D11",Upper aerodigestive cancer,C02
"C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C30,C31,C32,D10,D11",Upper aerodigestive cancer,C03
"C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C30,C31,C32,D10,D11",Upper aerodigestive cancer,C04
"C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C30,C31,C32,D10,D11",Upper aerodigestive cancer,C05
"C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C30,C31,C32,D10,D11",Upper aerodigestive cancer,C06
"C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C30,C31,C32,D10,D11",Upper aerodigestive cancer,C07
"C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C30,C31,C32,D10,D11",Upper aerodigestive cancer,C08
"C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C30,C31,C32,D10,D11",Upper aerodigestive cancer,C09
"C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C30,C31,C32,D10,D11",Upper aerodigestive cancer,C10
"C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C30,C31,C32,D10,D11",Upper aerodigestive cancer,C11
"C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C30,C31,C32,D10,D11",Upper aerodigestive cancer,C12
"C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C30,C31,C32,D10,D11",Upper aerodigestive cancer,C13
"C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C30,C31,C32,D10,D11",Upper aerodigestive cancer,C14
"C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C30,C31,C32,D10,D11",Upper aerodigestive cancer,C15
"C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C30,C31,C32,D10,D11",Upper aerodigestive cancer,C30
"C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C30,C31,C32,D10,D11",Upper aerodigestive cancer,C31
"C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C30,C31,C32,D10,D11",Upper aerodigestive cancer,C32
"C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C30,C31,C32,D10,D11",Upper aerodigestive cancer,D10
"C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C30,C31,C32,D10,D11",Upper aerodigestive cancer,D11
"C17,C18,C19,C20,C21,D12","Colon, rectum, and small intestine cancer",C17
"C17,C18,C19,C20,C21,D12","Colon, rectum, and small intestine cancer",C18
"C17,C18,C19,C20,C21,D12","Colon, rectum, and small intestine cancer",C19
"C17,C18,C19,C20,C21,D12","Colon, rectum, and small intestine cancer",C20
"C17,C18,C19,C20,C21,D12","Colon, rectum, and small intestine cancer",C21
"C17,C18,C19,C20,C21,D12","Colon, rectum, and small intestine cancer",D12
"C23,C24,C25,C26,C48,D00,D01,D13,D37",Other digestive cancer,C23
"C23,C24,C25,C26,C48,D00,D01,D13,D37",Other digestive cancer,C24
"C23,C24,C25,C26,C48,D00,D01,D13,D37",Other digestive cancer,C25
"C23,C24,C25,C26,C48,D00,D01,D13,D37",Other digestive cancer,C26
"C23,C24,C25,C26,C48,D00,D01,D13,D37",Other digestive cancer,C48
"C23,C24,C25,C26,C48,D00,D01,D13,D37",Other digestive cancer,D00
"C23,C24,C25,C26,C48,D00,D01,D13,D37",Other digestive cancer,D01
"C23,C24,C25,C26,C48,D00,D01,D13,D37",Other digestive cancer,D13
"C23,C24,C25,C26,C48,D00,D01,D13,D37",Other digestive cancer,D37
"C33,C34,C39,D02,D14",Lung & airway cancer,C33
"C33,C34,C39,D02,D14",Lung & airway cancer,C34
"C33,C34,C39,D02,D14",Lung & airway cancer,C39
"C33,C34,C39,D02,D14",Lung & airway cancer,D02
"C33,C34,C39,D02,D14",Lung & airway cancer,D14
"C37,C38",Other neoplasms (1),C37
"C37,C38",Other neoplasms (1),C38
"C40,C41",Other neoplasms (2),C40
"C40,C41",Other neoplasms (2),C41
"C43,C44",Other neoplasms (3),C43
"C43,C44",Other neoplasms (3),C44
"C45,C46,C47,C48,C49",Other neoplasms (4),C45
"C45,C46,C47,C48,C49",Other neoplasms (4),C46
"C45,C46,C47,C48,C49",Other neoplasms (4),C47
"C45,C46,C47,C48,C49",Other neoplasms (4),C48
"C45,C46,C47,C48,C49",Other neoplasms (4),C49
"C50,D05,D24,N60,N62,N63,N64",Breast cancer,C50
"C50,D05,D24,N60,N62,N63,N64",Breast cancer,D05
"C50,D05,D24,N60,N62,N63,N64",Breast cancer,D24
"C50,D05,D24,N60,N62,N63,N64",Breast cancer,N60
"C50,D05,D24,N60,N62,N63,N64",Breast cancer,N62
"C50,D05,D24,N60,N62,N63,N64",Breast cancer,N63
"C50,D05,D24,N60,N62,N63,N64",Breast cancer,N64
"C51,C52,C56,C57,C58,D25,D26,D27,D28,D39",Other female genital cancer,C51
"C51,C52,C56,C57,C58,D25,D26,D27,D28,D39",Other female genital cancer,C52
"C51,C52,C56,C57,C58,D25,D26,D27,D28,D39",Other female genital cancer,C56
"C51,C52,C56,C57,C58,D25,D26,D27,D28,D39",Other female genital cancer,C57
"C51,C52,C56,C57,C58,D25,D26,D27,D28,D39",Other female genital cancer,C58
"C51,C52,C56,C57,C58,D25,D26,D27,D28,D39",Other female genital cancer,D25
"C51,C52,C56,C57,C58,D25,D26,D27,D28,D39",Other female genital cancer,D26
"C51,C52,C56,C57,C58,D25,D26,D27,D28,D39",Other female genital cancer,D27
"C51,C52,C56,C57,C58,D25,D26,D27,D28,D39",Other female genital cancer,D28
"C51,C52,C56,C57,C58,D25,D26,D27,D28,D39",Other female genital cancer,D39
"C53,C54,C55,D06,N87",Cervix & Uterus cancer,C53
"C53,C54,C55,D06,N87",Cervix & Uterus cancer,C54
"C53,C54,C55,D06,N87",Cervix & Uterus cancer,C55
"C53,C54,C55,D06,N87",Cervix & Uterus cancer,D06
"C53,C54,C55,D06,N87",Cervix & Uterus cancer,N87
"C60,C61,C62,C63,D29,D40",Male genital cancer,C60
"C60,C61,C62,C63,D29,D40",Male genital cancer,C61
"C60,C61,C62,C63,D29,D40",Male genital cancer,C62
"C60,C61,C62,C63,D29,D40",Male genital cancer,C63
"C60,C61,C62,C63,D29,D40",Male genital cancer,D29
"C60,C61,C62,C63,D29,D40",Male genital cancer,D40
"C64,C65,C66,C67,C68,D30,D41",Urinary cancer,C64
"C64,C65,C66,C67,C68,D30,D41",Urinary cancer,C65
"C64,C65,C66,C67,C68,D30,D41",Urinary cancer,C66
"C64,C65,C66,C67,C68,D30,D41",Urinary cancer,C67
"C64,C65,C66,C67,C68,D30,D41",Urinary cancer,C68
"C64,C65,C66,C67,C68,D30,D41",Urinary cancer,D30
"C64,C65,C66,C67,C68,D30,D41",Urinary cancer,D41
"C69,C70,C71,C72,D31,D32,D33,D42,D43",Brain and eye cancer,C69
"C69,C70,C71,C72,D31,D32,D33,D42,D43",Brain and eye cancer,C70
"C69,C70,C71,C72,D31,D32,D33,D42,D43",Brain and eye cancer,C71
"C69,C70,C71,C72,D31,D32,D33,D42,D43",Brain and eye cancer,C72
"C69,C70,C71,C72,D31,D32,D33,D42,D43",Brain and eye cancer,D31
"C69,C70,C71,C72,D31,D32,D33,D42,D43",Brain and eye cancer,D32
"C69,C70,C71,C72,D31,D32,D33,D42,D43",Brain and eye cancer,D33
"C69,C70,C71,C72,D31,D32,D33,D42,D43",Brain and eye cancer,D42
"C69,C70,C71,C72,D31,D32,D33,D42,D43",Brain and eye cancer,D43
"C73,C74,C75",Other neoplasms (5),C73
"C73,C74,C75",Other neoplasms (5),C74
"C73,C74,C75",Other neoplasms (5),C75
"C76,C77,C78,C79,C80,C97",Other neoplasms (6),C76
