kind,kind_depth,chapter,code,title
category,2,I,A18.2,Tuberculous peripheral lymphadenopathy
category,2,I,A18.3,"Tuberculosis of intestines, peritoneum and mesenteric glands"
category,2,I,A18.4,Tuberculosis of skin and subcutaneous tissue
category,2,I,A18.5,Tuberculosis of eye
category,2,I,A18.6,Tuberculosis of ear
category,2,I,A18.7,Tuberculosis of adrenal glands
category,2,I,A18.8,Tuberculosis of other specified organs
category,1,I,A19,Miliary tuberculosis
category,2,I,A19.0,Acute miliary tuberculosis of a single specified site
category,2,I,A19.1,Acute miliary tuberculosis of multiple sites
category,2,I,A19.2,"Acute miliary tuberculosis, unspecified"
category,2,I,A19.8,Other miliary tuberculosis
category,2,I,A19.9,"Miliary tuberculosis, unspecified"
block,1,I,A20-A28,Certain zoonotic bacterial diseases
category,1,I,A20,Plague
category,2,I,A20.0,Bubonic plague
category,2,I,A20.1,Cellulocutaneous plague
category,2,I,A20.2,Pneumonic plague
category,2,I,A20.3,Plague meningitis
category,2,I,A20.7,Septicaemic plague
category,2,I,A20.8,Other forms of plague
category,2,I,A20.9,"Plague, unspecified"
category,1,I,A21,Tularaemia
category,2,I,A21.0,Ulceroglandular tularaemia
category,2,I,A21.1,Oculoglandular tularaemia
category,2,I,A21.2,Pulmonary tularaemia
category,2,I,A21.3,Gastrointestinal tularaemia
category,2,I,A21.7,Generalized tularaemia
category,2,I,A21.8,Other forms of tularaemia
category,2,I,A21.9,"Tularaemia, unspecified"
category,1,I,A22,Anthrax
category,2,I,A22.0,Cutaneous anthrax
category,2,I,A22.1,Pulmonary anthrax
category,2,I,A22.2,Gastrointestinal anthrax
category,2,I,A22.7,Anthrax sepsis
category,2,I,A22.8,Other forms of anthrax
category,2,I,A22.9,"Anthrax, unspecified"
category,1,I,A23,Brucellosis
category,2,I,A23.0,Brucellosis due to Brucella melitensis
category,2,I,A23.1,Brucellosis due to Brucella abortus
category,2,I,A23.2,Brucellosis due to Brucella suis
category,2,I,A23.3,Brucellosis due to Brucella canis
category,2,I,A23.8,Other brucellosis
category,2,I,A23.9,"Brucellosis, unspecified"
category,1,I,A24,Glanders and melioidosis
category,2,I,A24.0,Glanders
category,2,I,A24.1,Acute and fulminating melioidosis
category,2,I,A24.2,Subacute and chronic melioidosis
category,2,I,A24.3,Other melioidosis
category,2,I,A24.4,"Melioidosis, unspecified"
category,1,I,A25,Rat-bite fevers
category,2,I,A25.0,Spirillosis
category,2,I,A25.1,Streptobacillosis
category,2,I,A25.9,"Rat-bite fever, unspecified"
category,1,I,A26,Erysipeloid
category,2,I,A26.0,Cutaneous erysipeloid
category,2,I,A26.7,Erysipelothrix sepsis
category,2,I,A26.8,Other forms of erysipeloid
category,2,I,A26.9,"Erysipeloid, unspecified"
category,1,I,A27,Leptospirosis
category,2,I,A27.0,Leptospirosis icterohaemorrhagica
category,2,I,A27.8,Other forms of leptospirosis
category,2,I,A27.9,"Leptospirosis, unspecified"
category,1,I,A28,"Other zoonotic bacterial diseases, not elsewhere classified"
category,2,I,A28.0,Pasteurellosis
category,2,I,A28.1,Cat-scratch disease
category,2,I,A28.2,Extraintestinal yersiniosis
category,2,I,A28.8,"Other specified zoonotic bacterial diseases, not elsewhere classified"
category,2,I,A28.9,"Zoonotic bacterial disease, unspecified"
block,1,I,A30-A49,Other bacterial diseases
category,1,I,A30,Leprosy [Hansen disease]
category,2,I,A30.0,Indeterminate leprosy
category,2,I,A30.1,Tuberculoid leprosy
category,2,I,A30.2,Borderline tuberculoid leprosy
category,2,I,A30.3,Borderline leprosy
category,2,I,A30.4,Borderline lepromatous leprosy
category,2,I,A30.5,Lepromatous leprosy
category,2,I,A30.8,Other forms of leprosy
category,2,I,A30.9,"Leprosy, unspecified"
category,1,I,A31,Infection due to other mycobacteria
category,2,I,A31.0,Pulmonary mycobacterial infection
category,2,I,A31.1,Cutaneous mycobacterial infection
category,2,I,A31.8,Other mycobacterial infections
category,2,I,A31.9,"Mycobacterial infection, unspecified"
category,1,I,A32,Listeriosis
category,2,I,A32.0,Cutaneous listeriosis
category,2,I,A32.1,Listerial meningitis and meningoencephalitis
category,2,I,A32.7,Listerial sepsis
category,2,I,A32.8,Other forms of listeriosis
category,2,I,A32.9,"Listeriosis, unspecified"
category,1,I,A33,Tetanus neonatorum
category,1,I,A34,Obstetrical tetanus
category,1,I,A35,Other tetanus
category,1,I,A36,Diphtheria
category,2,I,A36.0,Pharyngeal diphtheria
category,2,I,A36.1,Nasopharyngeal diphtheria
category,2,I,A36.2,Laryngeal diphtheria
category,2,I,A36.3,Cutaneous diphtheria
category,2,I,A36.8,Other diphtheria
category,2,I,A36.9,"Diphtheria, unspecified"
category,1,I,A37,Whooping cough
category,2,I,A37.0,Whooping cough due to Bordetella pertussis
category,2,I,A37.1,Whooping cough due to Bordetella parapertussis
category,2,I,A37.8,Whooping cough due to other Bordetella species
category,2,I,A37.9,"Whooping cough, unspecified"
category,1,I,A38,Scarlet fever
category,1,I,A39,Meningococcal infection
category,2,I,A39.0,Meningococcal meningitis
category,2,I,A39.1,Waterhouse-Friderichsen syndrome
category,2,I,A39.2,Acute meningococcaemia
category,2,I,A39.3,Chronic meningococcaemia
category,2,I,A39.4,"Meningococcaemia, unspecified"
category,2,I,A39.5,Meningococcal heart disease
category,2,I,A39.8,Other meningococcal infections
category,2,I,A39.9,"Meningococcal infection, unspecified"
category,1,I,A40,Streptococcal sepsis
category,2,I,A40.0,"Sepsis due to streptococcus, group A"
category,2,I,A40.1,"Sepsis due to streptococcus, group B"
category,2,I,A40.2,"Sepsis due to streptococcus, group D and enterococcus"
category,2,I,A40.3,Sepsis due to Streptococcus pneumoniae
category,2,I,A40.8,Other streptococcal sepsis
category,2,I,A40.9,"Streptococcal sepsis, unspecified"
category,1,I,A41,Other sepsis
category,2,I,A41.0,Sepsis due to Staphylococcus aureus
category,2,I,A41.1,Sepsis due to other specified staphylococcus
category,2,I,A41.2,Sepsis due to unspecified staphylococcus
category,2,I,A41.3,Sepsis due to Haemophilus influenzae
category,2,I,A41.4,Sepsis due to anaerobes
category,2,I,A41.5,Sepsis due to other Gram-negative organisms
category,2,I,A41.8,Other specified sepsis
category,2,I,A41.9,"Sepsis, unspecified"
category,1,I,A42,Actinomycosis
category,2,I,A42.0,Pulmonary actinomycosis
category,2,I,A42.1,Abdominal actinomycosis
category,2,I,A42.2,Cervicofacial actinomycosis
category,2,I,A42.7,Actinomycotic sepsis
category,2,I,A42.8,Other forms of actinomycosis
category,2,I,A42.9,"Actinomycosis, unspecified"
category,1,I,A43,Nocardiosis
category,2,I,A43.0,Pulmonary nocardiosis
category,2,I,A43.1,Cutaneous nocardiosis
category,2,I,A43.8,Other forms of nocardiosis
category,2,I,A43.9,"Nocardiosis, unspecified"
category,1,I,A44,Bartonellosis
category,2,I,A44.0,Systemic bartonellosis
category,2,I,A44.1,Cutaneous and mucocutaneous bartonellosis
category,2,I,A44.8,Other forms of bartonellosis
category,2,I,A44.9,"Bartonellosis, unspecified"
category,1,I,A46,Erysipelas
category,1,I,A48,"Other bacterial diseases, not elsewhere classified"
category,2,I,A48.0,Gas gangrene
category,2,I,A48.1,Legionnaires disease
category,2,I,A48.2,Nonpneumonic Legionnaires disease [Pontiac fever]
category,2,I,A48.3,Toxic shock syndrome
category,2,I,A48.4,Brazilian purpuric fever
category,2,I,A48.8,Other specified bacterial diseases
category,1,I,A49,Bacterial infection of unspecified site
category,2,I,A49.0,"Staphylococcal infection, unspecified site"
category,2,I,A49.1,"Streptococcal and enterococcal infection, unspecified site"
category,2,I,A49.2,"Haemophilus influenzae infection, unspecified site"
category,2,I,A49.3,"Mycoplasma infection, unspecified site"
category,2,I,A49.8,Other bacterial infections of unspecified site
category,2,I,A49.9,"Bacterial infection, unspecified"
block,1,I,A50-A64,Infections with a predominantly sexual mode of transmission
category,1,I,A50,Congenital syphilis
category,2,I,A50.0,"Early congenital syphilis, symptomatic"
category,2,I,A50.1,"Early congenital syphilis, latent"
category,2,I,A50.2,"Early congenital syphilis, unspecified"
category,2,I,A50.3,Late congenital syphilitic oculopathy
category,2,I,A50.4,Late congenital neurosyphilis [juvenile neurosyphilis]
category,2,I,A50.5,"Other late congenital syphilis, symptomatic"
category,2,I,A50.6,"Late congenital syphilis, latent"
category,2,I,A50.7,"Late congenital syphilis, unspecified"
category,2,I,A50.9,"Congenital syphilis, unspecified"
category,1,I,A51,Early syphilis
category,2,I,A51.0,Primary genital syphilis
category,2,I,A51.1,Primary anal syphilis
category,2,I,A51.2,Primary syphilis of other sites
category,2,I,A51.3,Secondary syphilis of skin and mucous membranes
category,2,I,A51.4,Other secondary syphilis
category,2,I,A51.5,"Early syphilis, latent"
category,2,I,A51.9,"Early syphilis, unspecified"
category,1,I,A52,Late syphilis
category,2,I,A52.0,Cardiovascular syphilis
category,2,I,A52.1,Symptomatic neurosyphilis
category,2,I,A52.2,Asymptomatic neurosyphilis
category,2,I,A52.3,"Neurosyphilis, unspecified"
category,2,I,A52.7,Other symptomatic late syphilis
category,2,I,A52.8,"Late syphilis, latent"
category,2,I,A52.9,"Late syphilis, unspecified"
category,1,I,A53,Other and unspecified syphilis
category,2,I,A53.0,"Latent syphilis, unspecified as early or late"
category,2,I,A53.9,"Syphilis, unspecified"
category,1,I,A54,Gonococcal infection
category,2,I,A54.0,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess
category,2,I,A54.1,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess
category,2,I,A54.2,Gonococcal pelviperitonitis and other gonococcal genitourinary infections
category,2,I,A54.3,Gonococcal infection of eye
category,2,I,A54.4,Gonococcal infection of musculoskeletal system
category,2,I,A54.5,Gonococcal pharyngitis
category,2,I,A54.6,Gonococcal infection of anus and rectum
category,2,I,A54.8,Other gonococcal infections
category,2,I,A54.9,"Gonococcal infection, unspecified"
category,1,I,A55,Chlamydial lymphogranuloma (venereum)
category,1,I,A56,Other sexually transmitted chlamydial diseases
category,2,I,A56.0,Chlamydial infection of lower genitourinary tract
category,2,I,A56.1,Chlamydial infection of pelviperitoneum and other genitourinary organs
category,2,I,A56.2,"Chlamydial infection of genitourinary tract, unspecified"
category,2,I,A56.3,Chlamydial infection of anus and rectum
category,2,I,A56.4,Chlamydial infection of pharynx
category,2,I,A56.8,Sexually transmitted chlamydial infection of other sites
category,1,I,A57,Chancroid
category,1,I,A58,Granuloma inguinale
category,1,I,A59,Trichomoniasis
category,2,I,A59.0,Urogenital trichomoniasis
category,2,I,A59.8,Trichomoniasis of other sites
category,2,I,A59.9,"Trichomoniasis, unspecified"
category,1,I,A60,Anogenital herpesviral [herpes simplex] infection
category,2,I,A60.0,Herpesviral infection of genitalia and urogenital tract
category,2,I,A60.1,Herpesviral infection of perianal skin and rectum
category,2,I,A60.9,"Anogenital herpesviral infection, unspecified"
category,1,I,A63,"Other predominantly sexually transmitted diseases, not elsewhere classified"
category,2,I,A63.0,Anogenital (venereal) warts
category,2,I,A63.8,Other specified predominantly sexually transmitted diseases
category,1,I,A64,Unspecified sexually transmitted disease
block,1,I,A65-A69,Other spirochaetal diseases
category,1,I,A65,Nonvenereal syphilis
category,1,I,A66,Yaws
category,2,I,A66.0,Initial lesions of yaws
category,2,I,A66.1,Multiple papillomata and wet crab yaws
category,2,I,A66.2,Other early skin lesions of yaws
category,2,I,A66.3,Hyperkeratosis of yaws
category,2,I,A66.4,Gummata and ulcers of yaws
category,2,I,A66.5,Gangosa
category,2,I,A66.6,Bone and joint lesions of yaws
category,2,I,A66.7,Other manifestations of yaws
category,2,I,A66.8,Latent yaws
category,2,I,A66.9,"Yaws, unspecified"
category,1,I,A67,Pinta [carate]
category,2,I,A67.0,Primary lesions of pinta
category,2,I,A67.1,Intermediate lesions of pinta
category,2,I,A67.2,Late lesions of pinta
category,2,I,A67.3,Mixed lesions of pinta
category,2,I,A67.9,"Pinta, unspecified"
category,1,I,A68,Relapsing fevers
category,2,I,A68.0,Louse-borne relapsing fever
category,2,I,A68.1,Tick-borne relapsing fever
category,2,I,A68.9,"Relapsing fever, unspecified"
category,1,I,A69,Other spirochaetal infections
category,2,I,A69.0,Necrotizing ulcerative stomatitis
category,2,I,A69.1,Other Vincent infections
category,2,I,A69.2,Lyme disease
category,2,I,A69.8,Other specified spirochaetal infections
category,2,I,A69.9,"Spirochaetal infection, unspecified"
block,1,I,A70-A74,Other diseases caused by chlamydiae
category,1,I,A70,Chlamydia psittaci infection
category,1,I,A71,Trachoma
category,2,I,A71.0,Initial stage of trachoma
category,2,I,A71.1,Active stage of trachoma
category,2,I,A71.9,"Trachoma, unspecified"
category,1,I,A74,Other diseases caused by chlamydiae
category,2,I,A74.0,Chlamydial conjunctivitis
category,2,I,A74.8,Other chlamydial diseases
category,2,I,A74.9,"Chlamydial infection, unspecified"
block,1,I,A75-A79,Rickettsioses
category,1,I,A75,Typhus fever
category,2,I,A75.0,Epidemic louse-borne typhus fever due to Rickettsia prowazekii
category,2,I,A75.1,Recrudescent typhus [Brill disease]
category,2,I,A75.2,Typhus fever due to Rickettsia typhi
category,2,I,A75.3,Typhus fever due to Rickettsia tsutsugamushi
category,2,I,A75.9,"Typhus fever, unspecified"
category,1,I,A77,Spotted fever [tick-borne rickettsioses]
category,2,I,A77.0,Spotted fever due to Rickettsia rickettsii
category,2,I,A77.1,Spotted fever due to Rickettsia conorii
category,2,I,A77.2,Spotted fever due to Rickettsia sibirica
category,2,I,A77.3,Spotted fever due to Rickettsia australis
category,2,I,A77.8,Other spotted fevers
category,2,I,A77.9,"Spotted fever, unspecified"
category,1,I,A78,Q fever
category,1,I,A79,Other rickettsioses
category,2,I,A79.0,Trench fever
category,2,I,A79.1,Rickettsialpox due to Rickettsia akari
category,2,I,A79.8,Other specified rickettsioses
category,2,I,A79.9,"Rickettsiosis, unspecified"
block,1,I,A80-A89,Viral infections of the central nervous system
category,1,I,A80,Acute poliomyelitis
category,2,I,A80.0,"Acute paralytic poliomyelitis, vaccine-associated"
category,2,I,A80.1,"Acute paralytic poliomyelitis, wild virus, imported"
category,2,I,A80.2,"Acute paralytic poliomyelitis, wild virus, indigenous"
category,2,I,A80.3,"Acute paralytic poliomyelitis, other and unspecified"
category,2,I,A80.4,Acute nonparalytic poliomyelitis
category,2,I,A80.9,"Acute poliomyelitis, unspecified"
category,1,I,A81,Atypical virus infections of central nervous system
category,2,I,A81.0,Creutzfeldt-Jakob disease
category,2,I,A81.1,Subacute sclerosing panencephalitis
category,2,I,A81.2,Progressive multifocal leukoencephalopathy
category,2,I,A81.8,Other atypical virus infections of central nervous system
category,2,I,A81.9,"Atypical virus infection of central nervous system, unspecified"
category,1,I,A82,Rabies
category,2,I,A82.0,Sylvatic rabies
category,2,I,A82.1,Urban rabies
category,2,I,A82.9,"Rabies, unspecified"
category,1,I,A83,Mosquito-borne viral encephalitis
category,2,I,A83.0,Japanese encephalitis
category,2,I,A83.1,Western equine encephalitis
category,2,I,A83.2,Eastern equine encephalitis
category,2,I,A83.3,St Louis encephalitis
category,2,I,A83.4,Australian encephalitis
category,2,I,A83.5,California encephalitis
category,2,I,A83.6,Rocio virus disease
category,2,I,A83.8,Other mosquito-borne viral encephalitis
category,2,I,A83.9,"Mosquito-borne viral encephalitis, unspecified"
category,1,I,A84,Tick-borne viral encephalitis
category,2,I,A84.0,Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis]
category,2,I,A84.1,Central European tick-borne encephalitis
category,2,I,A84.8,Other tick-borne viral encephalitis
category,2,I,A84.9,"Tick-borne viral encephalitis, unspecified"
category,1,I,A85,"Other viral encephalitis, not elsewhere classified"
category,2,I,A85.0,Enteroviral encephalitis
category,2,I,A85.1,Adenoviral encephalitis
category,2,I,A85.2,"Arthropod-borne viral encephalitis, unspecified"
category,2,I,A85.8,Other specified viral encephalitis
category,1,I,A86,Unspecified viral encephalitis
category,1,I,A87,Viral meningitis
category,2,I,A87.0,Enteroviral meningitis
category,2,I,A87.1,Adenoviral meningitis
category,2,I,A87.2,Lymphocytic choriomeningitis
category,2,I,A87.8,Other viral meningitis
category,2,I,A87.9,"Viral meningitis, unspecified"
category,1,I,A88,"Other viral infections of central nervous system, not elsewhere classified"
category,2,I,A88.0,Enteroviral exanthematous fever [Boston exanthem]
category,2,I,A88.1,Epidemic vertigo
category,2,I,A88.8,Other specified viral infections of central nervous system
category,1,I,A89,Unspecified viral infection of central nervous system
block,1,I,A92-A99,Arthropod-borne viral fevers and viral haemorrhagic fevers
category,1,I,A92,Other mosquito-borne viral fevers
category,2,I,A92.0,Chikungunya virus disease
category,2,I,A92.1,O'nyong-nyong fever
category,2,I,A92.2,Venezuelan equine fever
category,2,I,A92.3,West Nile virus infection
category,2,I,A92.4,Rift Valley fever
category,2,I,A92.5,Zika virus disease
category,2,I,A92.8,Other specified mosquito-borne viral fevers
category,2,I,A92.9,"Mosquito-borne viral fever, unspecified"
category,1,I,A93,"Other arthropod-borne viral fevers, not elsewhere classified"
category,2,I,A93.0,Oropouche virus disease
category,2,I,A93.1,Sandfly fever
category,2,I,A93.2,Colorado tick fever
category,2,I,A93.8,Other specified arthropod-borne viral fevers
category,1,I,A94,Unspecified arthropod-borne viral fever
category,1,I,A95,Yellow fever
category,2,I,A95.0,Sylvatic yellow fever
category,2,I,A95.1,Urban yellow fever
category,2,I,A95.9,"Yellow fever, unspecified"
category,1,I,A96,Arenaviral haemorrhagic fever
category,2,I,A96.0,Junin haemorrhagic fever
category,2,I,A96.1,Machupo haemorrhagic fever
category,2,I,A96.2,Lassa fever
category,2,I,A96.8,Other arenaviral haemorrhagic fevers
category,2,I,A96.9,"Arenaviral haemorrhagic fever, unspecified"
category,1,I,A97,Dengue
category,2,I,A97.0,Dengue without warning signs
category,2,I,A97.1,Dengue with warning signs
category,2,I,A97.2,Severe Dengue
category,2,I,A97.9,"Dengue, unspecified"
category,1,I,A98,"Other viral haemorrhagic fevers, not elsewhere classified"
category,2,I,A98.0,Crimean-Congo haemorrhagic fever
category,2,I,A98.1,Omsk haemorrhagic fever
category,2,I,A98.2,Kyasanur Forest disease
category,2,I,A98.3,Marburg virus disease
category,2,I,A98.4,Ebola virus disease
category,2,I,A98.5,Haemorrhagic fever with renal syndrome
category,2,I,A98.8,Other specified viral haemorrhagic fevers
category,1,I,A99,Unspecified viral haemorrhagic fever
block,1,I,B00-B09,Viral infections characterized by skin and mucous membrane lesions
category,1,I,B00,Herpesviral [herpes simplex] infections
category,2,I,B00.0,Eczema herpeticum
category,2,I,B00.1,Herpesviral vesicular dermatitis
category,2,I,B00.2,Herpesviral gingivostomatitis and pharyngotonsillitis
category,2,I,B00.3,Herpesviral meningitis
category,2,I,B00.4,Herpesviral encephalitis
category,2,I,B00.5,Herpesviral ocular disease
category,2,I,B00.7,Disseminated herpesviral disease
category,2,I,B00.8,Other forms of herpesviral infection
category,2,I,B00.9,"Herpesviral infection, unspecified"
category,1,I,B01,Varicella [chickenpox]
category,2,I,B01.0,Varicella meningitis
category,2,I,B01.1,Varicella encephalitis
category,2,I,B01.2,Varicella pneumonia
category,2,I,B01.8,Varicella with other complications
category,2,I,B01.9,Varicella without complication
category,1,I,B02,Zoster [herpes zoster]
category,2,I,B02.0,Zoster encephalitis
category,2,I,B02.1,Zoster meningitis
category,2,I,B02.2,Zoster with other nervous system involvement
category,2,I,B02.3,Zoster ocular disease
category,2,I,B02.7,Disseminated zoster
category,2,I,B02.8,Zoster with other complications
category,2,I,B02.9,Zoster without complication
category,1,I,B03,Smallpox
category,1,I,B04,Monkeypox
category,1,I,B05,Measles
category,2,I,B05.0,Measles complicated by encephalitis
category,2,I,B05.1,Measles complicated by meningitis
category,2,I,B05.2,Measles complicated by pneumonia
category,2,I,B05.3,Measles complicated by otitis media
category,2,I,B05.4,Measles with intestinal complications
category,2,I,B05.8,Measles with other complications
category,2,I,B05.9,Measles without complication
category,1,I,B06,Rubella [German measles]
category,2,I,B06.0,Rubella with neurological complications
category,2,I,B06.8,Rubella with other complications
category,2,I,B06.9,Rubella without complication
category,1,I,B07,Viral warts
category,1,I,B08,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified"
category,2,I,B08.0,Other orthopoxvirus infections
category,2,I,B08.1,Molluscum contagiosum
category,2,I,B08.2,Exanthema subitum [sixth disease]
category,2,I,B08.3,Erythema infectiosum [fifth disease]
category,2,I,B08.4,Enteroviral vesicular stomatitis with exanthem
category,2,I,B08.5,Enteroviral vesicular pharyngitis
category,2,I,B08.8,Other specified viral infections characterized by skin and mucous membrane lesions
category,1,I,B09,Unspecified viral infection characterized by skin and mucous membrane lesions
block,1,I,B15-B19,Viral hepatitis
category,1,I,B15,Acute hepatitis A
category,2,I,B15.0,Hepatitis A with hepatic coma
category,2,I,B15.9,Hepatitis A without hepatic coma
category,1,I,B16,Acute hepatitis B
category,2,I,B16.0,Acute hepatitis B with delta-agent (coinfection) with hepatic coma
category,2,I,B16.1,Acute hepatitis B with delta-agent (coinfection) without hepatic coma
category,2,I,B16.2,Acute hepatitis B without delta-agent with hepatic coma
category,2,I,B16.9,Acute hepatitis B without delta-agent and without hepatic coma
category,1,I,B17,Other acute viral hepatitis
category,2,I,B17.0,Acute delta-(super)infection in chronic hepatitis B
category,2,I,B17.1,Acute hepatitis C
category,2,I,B17.2,Acute hepatitis E
category,2,I,B17.8,Other specified acute viral hepatitis
category,2,I,B17.9,"Acute viral hepatitis, unspecified"
category,1,I,B18,Chronic viral hepatitis
category,2,I,B18.0,Chronic viral hepatitis B with delta-agent
modifiedcategory,3,I,B18.00,Chronic viral hepatitis B with delta-agent : immune-tolerant phase
modifiedcategory,3,I,B18.09,Chronic viral hepatitis B with delta-agent : other and unspecified phase
category,2,I,B18.1,Chronic viral hepatitis B without delta-agent
modifiedcategory,3,I,B18.10,Chronic viral hepatitis B without delta-agent : immune-tolerant phase
modifiedcategory,3,I,B18.19,Chronic viral hepatitis B without delta-agent : other and unspecified phase
