cghr10_age,cghr10_title,icd10_code,icd10_range
adult,Unspecified infections,A62,A35-A99
adult,Unspecified infections,A63,A35-A99
adult,Unspecified infections,A64,A35-A99
adult,Unspecified infections,A65,A35-A99
adult,Unspecified infections,A66,A35-A99
adult,Unspecified infections,A67,A35-A99
adult,Unspecified infections,A68,A35-A99
adult,Unspecified infections,A69,A35-A99
adult,Unspecified infections,A70,A35-A99
adult,Unspecified infections,A71,A35-A99
adult,Unspecified infections,A72,A35-A99
adult,Unspecified infections,A73,A35-A99
adult,Unspecified infections,A74,A35-A99
adult,Unspecified infections,A75,A35-A99
adult,Unspecified infections,A76,A35-A99
adult,Unspecified infections,A77,A35-A99
adult,Unspecified infections,A78,A35-A99
adult,Unspecified infections,A79,A35-A99
adult,Unspecified infections,A80,A35-A99
adult,Unspecified infections,A81,A35-A99
adult,Unspecified infections,A82,A35-A99
adult,Unspecified infections,A83,A35-A99
adult,Unspecified infections,A84,A35-A99
adult,Unspecified infections,A85,A35-A99
adult,Unspecified infections,A86,A35-A99
adult,Unspecified infections,A87,A35-A99
adult,Unspecified infections,A88,A35-A99
adult,Unspecified infections,A89,A35-A99
adult,Unspecified infections,A90,A35-A99
adult,Unspecified infections,A91,A35-A99
adult,Unspecified infections,A92,A35-A99
adult,Unspecified infections,A93,A35-A99
adult,Unspecified infections,A94,A35-A99
adult,Unspecified infections,A95,A35-A99
adult,Unspecified infections,A96,A35-A99
adult,Unspecified infections,A97,A35-A99
adult,Unspecified infections,A98,A35-A99
adult,Unspecified infections,A99,A35-A99
adult,Unspecified infections,B00,B00-B17
adult,Unspecified infections,B01,B00-B17
adult,Unspecified infections,B02,B00-B17
adult,Unspecified infections,B03,B00-B17
adult,Unspecified infections,B04,B00-B17
adult,Unspecified infections,B05,B00-B17
adult,Unspecified infections,B06,B00-B17
adult,Unspecified infections,B07,B00-B17
adult,Unspecified infections,B08,B00-B17
adult,Unspecified infections,B09,B00-B17
adult,Unspecified infections,B10,B00-B17
adult,Unspecified infections,B11,B00-B17
adult,Unspecified infections,B12,B00-B17
adult,Unspecified infections,B13,B00-B17
adult,Unspecified infections,B14,B00-B17
adult,Unspecified infections,B15,B00-B17
adult,Unspecified infections,B16,B00-B17
adult,Unspecified infections,B17,B00-B17
adult,Liver and alcohol related diseases,B18,B18
adult,Unspecified infections,B19,B19-B49
adult,Unspecified infections,B20,B19-B49
adult,Unspecified infections,B21,B19-B49
adult,Unspecified infections,B22,B19-B49
adult,Unspecified infections,B23,B19-B49
adult,Unspecified infections,B24,B19-B49
adult,Unspecified infections,B25,B19-B49
adult,Unspecified infections,B26,B19-B49
adult,Unspecified infections,B27,B19-B49
adult,Unspecified infections,B28,B19-B49
adult,Unspecified infections,B29,B19-B49
adult,Unspecified infections,B30,B19-B49
adult,Unspecified infections,B31,B19-B49
adult,Unspecified infections,B32,B19-B49
adult,Unspecified infections,B33,B19-B49
adult,Unspecified infections,B34,B19-B49
adult,Unspecified infections,B35,B19-B49
adult,Unspecified infections,B36,B19-B49
adult,Unspecified infections,B37,B19-B49
adult,Unspecified infections,B38,B19-B49
adult,Unspecified infections,B39,B19-B49
adult,Unspecified infections,B40,B19-B49
adult,Unspecified infections,B41,B19-B49
adult,Unspecified infections,B42,B19-B49
adult,Unspecified infections,B43,B19-B49
adult,Unspecified infections,B44,B19-B49
adult,Unspecified infections,B45,B19-B49
adult,Unspecified infections,B46,B19-B49
adult,Unspecified infections,B47,B19-B49
adult,Unspecified infections,B48,B19-B49
adult,Unspecified infections,B49,B19-B49
adult,Malaria,B50,B50-B54
adult,Malaria,B51,B50-B54
adult,Malaria,B52,B50-B54
adult,Malaria,B53,B50-B54
adult,Malaria,B54,B50-B54
adult,Unspecified infections,B55,B55-B89
adult,Unspecified infections,B56,B55-B89
adult,Unspecified infections,B57,B55-B89
adult,Unspecified infections,B58,B55-B89
adult,Unspecified infections,B59,B55-B89
adult,Unspecified infections,B60,B55-B89
adult,Unspecified infections,B61,B55-B89
adult,Unspecified infections,B62,B55-B89
adult,Unspecified infections,B63,B55-B89
adult,Unspecified infections,B64,B55-B89
adult,Unspecified infections,B65,B55-B89
adult,Unspecified infections,B66,B55-B89
adult,Unspecified infections,B67,B55-B89
adult,Unspecified infections,B68,B55-B89
adult,Unspecified infections,B69,B55-B89
adult,Unspecified infections,B70,B55-B89
adult,Unspecified infections,B71,B55-B89
adult,Unspecified infections,B72,B55-B89
adult,Unspecified infections,B73,B55-B89
adult,Unspecified infections,B74,B55-B89
adult,Unspecified infections,B75,B55-B89
adult,Unspecified infections,B76,B55-B89
adult,Unspecified infections,B77,B55-B89
adult,Unspecified infections,B78,B55-B89
adult,Unspecified infections,B79,B55-B89
adult,Unspecified infections,B80,B55-B89
adult,Unspecified infections,B81,B55-B89
adult,Unspecified infections,B82,B55-B89
adult,Unspecified infections,B83,B55-B89
adult,Unspecified infections,B84,B55-B89
adult,Unspecified infections,B85,B55-B89
adult,Unspecified infections,B86,B55-B89
adult,Unspecified infections,B87,B55-B89
adult,Unspecified infections,B88,B55-B89
adult,Unspecified infections,B89,B55-B89
adult,Tuberculosis,B90,B90
adult,Unspecified infections,B91,B91-B99
adult,Unspecified infections,B92,B91-B99
adult,Unspecified infections,B93,B91-B99
adult,Unspecified infections,B94,B91-B99
adult,Unspecified infections,B95,B91-B99
adult,Unspecified infections,B96,B91-B99
adult,Unspecified infections,B97,B91-B99
adult,Unspecified infections,B98,B91-B99
adult,Unspecified infections,B99,B91-B99
adult,Cancers,C00,C00-C26
adult,Cancers,C01,C00-C26
adult,Cancers,C02,C00-C26
adult,Cancers,C03,C00-C26
adult,Cancers,C04,C00-C26
adult,Cancers,C05,C00-C26
adult,Cancers,C06,C00-C26
adult,Cancers,C07,C00-C26
adult,Cancers,C08,C00-C26
adult,Cancers,C09,C00-C26
adult,Cancers,C10,C00-C26
adult,Cancers,C11,C00-C26
adult,Cancers,C12,C00-C26
adult,Cancers,C13,C00-C26
adult,Cancers,C14,C00-C26
adult,Cancers,C15,C00-C26
adult,Cancers,C16,C00-C26
adult,Cancers,C17,C00-C26
adult,Cancers,C18,C00-C26
adult,Cancers,C19,C00-C26
adult,Cancers,C20,C00-C26
adult,Cancers,C21,C00-C26
adult,Cancers,C22,C00-C26
adult,Cancers,C23,C00-C26
adult,Cancers,C24,C00-C26
adult,Cancers,C25,C00-C26
adult,Cancers,C26,C00-C26
adult,Cancers,C30,C30-C45
adult,Cancers,C31,C30-C45
adult,Cancers,C32,C30-C45
adult,Cancers,C33,C30-C45
adult,Cancers,C34,C30-C45
adult,Cancers,C35,C30-C45
adult,Cancers,C36,C30-C45
adult,Cancers,C37,C30-C45
adult,Cancers,C38,C30-C45
adult,Cancers,C39,C30-C45
adult,Cancers,C40,C30-C45
adult,Cancers,C41,C30-C45
adult,Cancers,C42,C30-C45
adult,Cancers,C43,C30-C45
adult,Cancers,C44,C30-C45
adult,Cancers,C45,C30-C45
adult,Unspecified infections,C46,C46
adult,Cancers,C47,C47-C58
adult,Cancers,C48,C47-C58
adult,Cancers,C49,C47-C58
adult,Cancers,C50,C47-C58
adult,Cancers,C51,C47-C58
adult,Cancers,C52,C47-C58
adult,Cancers,C53,C47-C58
adult,Cancers,C54,C47-C58
adult,Cancers,C55,C47-C58
adult,Cancers,C56,C47-C58
adult,Cancers,C57,C47-C58
adult,Cancers,C58,C47-C58
adult,Cancers,C60,C60-C97
adult,Cancers,C61,C60-C97
adult,Cancers,C62,C60-C97
adult,Cancers,C63,C60-C97
adult,Cancers,C64,C60-C97
adult,Cancers,C65,C60-C97
adult,Cancers,C66,C60-C97
adult,Cancers,C67,C60-C97
adult,Cancers,C68,C60-C97
adult,Cancers,C69,C60-C97
adult,Cancers,C70,C60-C97
adult,Cancers,C71,C60-C97
adult,Cancers,C72,C60-C97
adult,Cancers,C73,C60-C97
adult,Cancers,C74,C60-C97
adult,Cancers,C75,C60-C97
adult,Cancers,C76,C60-C97
adult,Cancers,C77,C60-C97
adult,Cancers,C78,C60-C97
adult,Cancers,C79,C60-C97
adult,Cancers,C80,C60-C97
adult,Cancers,C81,C60-C97
adult,Cancers,C82,C60-C97
adult,Cancers,C83,C60-C97
adult,Cancers,C84,C60-C97
adult,Cancers,C85,C60-C97
adult,Cancers,C86,C60-C97
adult,Cancers,C87,C60-C97
adult,Cancers,C88,C60-C97
adult,Cancers,C89,C60-C97
adult,Cancers,C90,C60-C97
adult,Cancers,C91,C60-C97
adult,Cancers,C92,C60-C97
adult,Cancers,C93,C60-C97
adult,Cancers,C94,C60-C97
adult,Cancers,C95,C60-C97
adult,Cancers,C96,C60-C97
adult,Cancers,C97,C60-C97
adult,Cancers,D00,D00-D48
adult,Cancers,D01,D00-D48
adult,Cancers,D02,D00-D48
adult,Cancers,D03,D00-D48
adult,Cancers,D04,D00-D48
adult,Cancers,D05,D00-D48
adult,Cancers,D06,D00-D48
adult,Cancers,D07,D00-D48
adult,Cancers,D08,D00-D48
adult,Cancers,D09,D00-D48
adult,Cancers,D10,D00-D48
adult,Cancers,D11,D00-D48
adult,Cancers,D12,D00-D48
adult,Cancers,D13,D00-D48
adult,Cancers,D14,D00-D48
adult,Cancers,D15,D00-D48
adult,Cancers,D16,D00-D48
adult,Cancers,D17,D00-D48
adult,Cancers,D18,D00-D48
adult,Cancers,D19,D00-D48
adult,Cancers,D20,D00-D48
adult,Cancers,D21,D00-D48
adult,Cancers,D22,D00-D48
adult,Cancers,D23,D00-D48
adult,Cancers,D24,D00-D48
adult,Cancers,D25,D00-D48
adult,Cancers,D26,D00-D48
adult,Cancers,D27,D00-D48
adult,Cancers,D28,D00-D48
adult,Cancers,D29,D00-D48
adult,Cancers,D30,D00-D48
adult,Cancers,D31,D00-D48
adult,Cancers,D32,D00-D48
adult,Cancers,D33,D00-D48
adult,Cancers,D34,D00-D48
adult,Cancers,D35,D00-D48
adult,Cancers,D36,D00-D48
adult,Cancers,D37,D00-D48
adult,Cancers,D38,D00-D48
adult,Cancers,D39,D00-D48
adult,Cancers,D40,D00-D48
adult,Cancers,D41,D00-D48
adult,Cancers,D42,D00-D48
adult,Cancers,D43,D00-D48
adult,Cancers,D44,D00-D48
adult,Cancers,D45,D00-D48
adult,Cancers,D46,D00-D48
adult,Cancers,D47,D00-D48
adult,Cancers,D48,D00-D48
adult,Nutritional deficiencies,D50,D50-D53
adult,Nutritional deficiencies,D51,D50-D53
adult,Nutritional deficiencies,D52,D50-D53
adult,Nutritional deficiencies,D53,D50-D53
adult,Other noncommunicable diseases,D55,D55-D63
adult,Other noncommunicable diseases,D56,D55-D63
adult,Other noncommunicable diseases,D57,D55-D63
adult,Other noncommunicable diseases,D58,D55-D63
adult,Other noncommunicable diseases,D59,D55-D63
adult,Other noncommunicable diseases,D60,D55-D63
adult,Other noncommunicable diseases,D61,D55-D63
adult,Other noncommunicable diseases,D62,D55-D63
adult,Other noncommunicable diseases,D63,D55-D63
adult,Unspecified infections,D64,D64
adult,Other noncommunicable diseases,D65,D65-D83
adult,Other noncommunicable diseases,D66,D65-D83
adult,Other noncommunicable diseases,D67,D65-D83
adult,Other noncommunicable diseases,D68,D65-D83
adult,Other noncommunicable diseases,D69,D65-D83
adult,Other noncommunicable diseases,D70,D65-D83
adult,Other noncommunicable diseases,D71,D65-D83
adult,Other noncommunicable diseases,D72,D65-D83
adult,Other noncommunicable diseases,D73,D65-D83
adult,Other noncommunicable diseases,D74,D65-D83
adult,Other noncommunicable diseases,D75,D65-D83
adult,Other noncommunicable diseases,D76,D65-D83
adult,Other noncommunicable diseases,D77,D65-D83
adult,Other noncommunicable diseases,D78,D65-D83
adult,Other noncommunicable diseases,D79,D65-D83
adult,Other noncommunicable diseases,D80,D65-D83
adult,Other noncommunicable diseases,D81,D65-D83
adult,Other noncommunicable diseases,D82,D65-D83
adult,Other noncommunicable diseases,D83,D65-D83
adult,Unspecified infections,D84,D84
adult,Other noncommunicable diseases,D86,D86
adult,Other noncommunicable diseases,D89,D89
adult,Cancers,D91,D91
adult,Nutritional deficiencies,E00,E00-E02
adult,Nutritional deficiencies,E01,E00-E02
adult,Nutritional deficiencies,E02,E00-E02
adult,Other noncommunicable diseases,E03,E03-E07
adult,Other noncommunicable diseases,E04,E03-E07
adult,Other noncommunicable diseases,E05,E03-E07
adult,Other noncommunicable diseases,E06,E03-E07
adult,Other noncommunicable diseases,E07,E03-E07
adult,Diabetes mellitus,E10,E10-E14
adult,Diabetes mellitus,E11,E10-E14
adult,Diabetes mellitus,E12,E10-E14
adult,Diabetes mellitus,E13,E10-E14
adult,Diabetes mellitus,E14,E10-E14
adult,Other noncommunicable diseases,E15,E15-E35
adult,Other noncommunicable diseases,E16,E15-E35
adult,Other noncommunicable diseases,E17,E15-E35
adult,Other noncommunicable diseases,E18,E15-E35
adult,Other noncommunicable diseases,E19,E15-E35
adult,Other noncommunicable diseases,E20,E15-E35
adult,Other noncommunicable diseases,E21,E15-E35
adult,Other noncommunicable diseases,E22,E15-E35
adult,Other noncommunicable diseases,E23,E15-E35
adult,Other noncommunicable diseases,E24,E15-E35
adult,Other noncommunicable diseases,E25,E15-E35
adult,Other noncommunicable diseases,E26,E15-E35
adult,Other noncommunicable diseases,E27,E15-E35
adult,Other noncommunicable diseases,E28,E15-E35
adult,Other noncommunicable diseases,E29,E15-E35
adult,Other noncommunicable diseases,E30,E15-E35
adult,Other noncommunicable diseases,E31,E15-E35
adult,Other noncommunicable diseases,E32,E15-E35
adult,Other noncommunicable diseases,E33,E15-E35
adult,Other noncommunicable diseases,E34,E15-E35
adult,Other noncommunicable diseases,E35,E15-E35
adult,Nutritional deficiencies,E40,E40-E46
adult,Nutritional deficiencies,E41,E40-E46
adult,Nutritional deficiencies,E42,E40-E46
adult,Nutritional deficiencies,E43,E40-E46
adult,Nutritional deficiencies,E44,E40-E46
adult,Nutritional deficiencies,E45,E40-E46
adult,Nutritional deficiencies,E46,E40-E46
adult,Nutritional deficiencies,E50,E50-E64
adult,Nutritional deficiencies,E51,E50-E64
adult,Nutritional deficiencies,E52,E50-E64
adult,Nutritional deficiencies,E53,E50-E64
adult,Nutritional deficiencies,E54,E50-E64
adult,Nutritional deficiencies,E55,E50-E64
adult,Nutritional deficiencies,E56,E50-E64
adult,Nutritional deficiencies,E57,E50-E64
adult,Nutritional deficiencies,E58,E50-E64
adult,Nutritional deficiencies,E59,E50-E64
adult,Nutritional deficiencies,E60,E50-E64
adult,Nutritional deficiencies,E61,E50-E64
adult,Nutritional deficiencies,E62,E50-E64
adult,Nutritional deficiencies,E63,E50-E64
adult,Nutritional deficiencies,E64,E50-E64
adult,Other noncommunicable diseases,E65,E65-E68
adult,Other noncommunicable diseases,E66,E65-E68
adult,Other noncommunicable diseases,E67,E65-E68
adult,Other noncommunicable diseases,E68,E65-E68
adult,Other noncommunicable diseases,E70,E70-E90
adult,Other noncommunicable diseases,E71,E70-E90
adult,Other noncommunicable diseases,E72,E70-E90
adult,Other noncommunicable diseases,E73,E70-E90
adult,Other noncommunicable diseases,E74,E70-E90
adult,Other noncommunicable diseases,E75,E70-E90
adult,Other noncommunicable diseases,E76,E70-E90
adult,Other noncommunicable diseases,E77,E70-E90
adult,Other noncommunicable diseases,E78,E70-E90
adult,Other noncommunicable diseases,E79,E70-E90
adult,Other noncommunicable diseases,E80,E70-E90
adult,Other noncommunicable diseases,E81,E70-E90
adult,Other noncommunicable diseases,E82,E70-E90
adult,Other noncommunicable diseases,E83,E70-E90
adult,Other noncommunicable diseases,E84,E70-E90
adult,Other noncommunicable diseases,E85,E70-E90
adult,Other noncommunicable diseases,E86,E70-E90
adult,Other noncommunicable diseases,E87,E70-E90
adult,Other noncommunicable diseases,E88,E70-E90
adult,Other noncommunicable diseases,E89,E70-E90
adult,Other noncommunicable diseases,E90,E70-E90
adult,Other noncommunicable diseases,F00,F00-F09
adult,Other noncommunicable diseases,F01,F00-F09
adult,Other noncommunicable diseases,F02,F00-F09
adult,Other noncommunicable diseases,F03,F00-F09
adult,Other noncommunicable diseases,F04,F00-F09
adult,Other noncommunicable diseases,F05,F00-F09
adult,Other noncommunicable diseases,F06,F00-F09
adult,Other noncommunicable diseases,F07,F00-F09
adult,Other noncommunicable diseases,F08,F00-F09
adult,Other noncommunicable diseases,F09,F00-F09
adult,Liver and alcohol related diseases,F10,F10
adult,Other noncommunicable diseases,F11,F11-F52
adult,Other noncommunicable diseases,F12,F11-F52
adult,Other noncommunicable diseases,F13,F11-F52
adult,Other noncommunicable diseases,F14,F11-F52
adult,Other noncommunicable diseases,F15,F11-F52
adult,Other noncommunicable diseases,F16,F11-F52
adult,Other noncommunicable diseases,F17,F11-F52
adult,Other noncommunicable diseases,F18,F11-F52
adult,Other noncommunicable diseases,F19,F11-F52
adult,Other noncommunicable diseases,F20,F11-F52
adult,Other noncommunicable diseases,F21,F11-F52
adult,Other noncommunicable diseases,F22,F11-F52
adult,Other noncommunicable diseases,F23,F11-F52
adult,Other noncommunicable diseases,F24,F11-F52
adult,Other noncommunicable diseases,F25,F11-F52
adult,Other noncommunicable diseases,F26,F11-F52
adult,Other noncommunicable diseases,F27,F11-F52
adult,Other noncommunicable diseases,F28,F11-F52
adult,Other noncommunicable diseases,F29,F11-F52
adult,Other noncommunicable diseases,F30,F11-F52
adult,Other noncommunicable diseases,F31,F11-F52
adult,Other noncommunicable diseases,F32,F11-F52
adult,Other noncommunicable diseases,F33,F11-F52
adult,Other noncommunicable diseases,F34,F11-F52
adult,Other noncommunicable diseases,F35,F11-F52
adult,Other noncommunicable diseases,F36,F11-F52
adult,Other noncommunicable diseases,F37,F11-F52
adult,Other noncommunicable diseases,F38,F11-F52
adult,Other noncommunicable diseases,F39,F11-F52
adult,Other noncommunicable diseases,F40,F11-F52
adult,Other noncommunicable diseases,F41,F11-F52
adult,Other noncommunicable diseases,F42,F11-F52
adult,Other noncommunicable diseases,F43,F11-F52
adult,Other noncommunicable diseases,F44,F11-F52
adult,Other noncommunicable diseases,F45,F11-F52
adult,Other noncommunicable diseases,F46,F11-F52
adult,Other noncommunicable diseases,F47,F11-F52
adult,Other noncommunicable diseases,F48,F11-F52
adult,Other noncommunicable diseases,F49,F11-F52
adult,Other noncommunicable diseases,F50,F11-F52
adult,Other noncommunicable diseases,F51,F11-F52
adult,Other noncommunicable diseases,F52,F11-F52
adult,Maternal conditions,F53,F53
adult,Other noncommunicable diseases,F54,F54-F99
adult,Other noncommunicable diseases,F55,F54-F99
adult,Other noncommunicable diseases,F56,F54-F99
adult,Other noncommunicable diseases,F57,F54-F99
adult,Other noncommunicable diseases,F58,F54-F99
adult,Other noncommunicable diseases,F59,F54-F99
adult,Other noncommunicable diseases,F60,F54-F99
adult,Other noncommunicable diseases,F61,F54-F99
adult,Other noncommunicable diseases,F62,F54-F99
adult,Other noncommunicable diseases,F63,F54-F99
adult,Other noncommunicable diseases,F64,F54-F99
adult,Other noncommunicable diseases,F65,F54-F99
adult,Other noncommunicable diseases,F66,F54-F99
adult,Other noncommunicable diseases,F67,F54-F99
adult,Other noncommunicable diseases,F68,F54-F99
adult,Other noncommunicable diseases,F69,F54-F99
adult,Other noncommunicable diseases,F70,F54-F99
adult,Other noncommunicable diseases,F71,F54-F99
adult,Other noncommunicable diseases,F72,F54-F99
adult,Other noncommunicable diseases,F73,F54-F99
adult,Other noncommunicable diseases,F74,F54-F99
adult,Other noncommunicable diseases,F75,F54-F99
adult,Other noncommunicable diseases,F76,F54-F99
adult,Other noncommunicable diseases,F77,F54-F99
adult,Other noncommunicable diseases,F78,F54-F99
adult,Other noncommunicable diseases,F79,F54-F99
adult,Other noncommunicable diseases,F80,F54-F99
adult,Other noncommunicable diseases,F81,F54-F99
adult,Other noncommunicable diseases,F82,F54-F99
adult,Other noncommunicable diseases,F83,F54-F99
adult,Other noncommunicable diseases,F84,F54-F99
adult,Other noncommunicable diseases,F85,F54-F99
adult,Other noncommunicable diseases,F86,F54-F99
adult,Other noncommunicable diseases,F87,F54-F99
adult,Other noncommunicable diseases,F88,F54-F99
adult,Other noncommunicable diseases,F89,F54-F99
adult,Other noncommunicable diseases,F90,F54-F99
adult,Other noncommunicable diseases,F91,F54-F99
adult,Other noncommunicable diseases,F92,F54-F99
adult,Other noncommunicable diseases,F93,F54-F99
adult,Other noncommunicable diseases,F94,F54-F99
adult,Other noncommunicable diseases,F95,F54-F99
adult,Other noncommunicable diseases,F96,F54-F99
adult,Other noncommunicable diseases,F97,F54-F99
adult,Other noncommunicable diseases,F98,F54-F99
adult,Other noncommunicable diseases,F99,F54-F99
adult,Unspecified infections,G00,G00-G09
adult,Unspecified infections,G01,G00-G09
adult,Unspecified infections,G02,G00-G09
adult,Unspecified infections,G03,G00-G09
adult,Unspecified infections,G04,G00-G09
adult,Unspecified infections,G05,G00-G09
adult,Unspecified infections,G06,G00-G09
adult,Unspecified infections,G07,G00-G09
adult,Unspecified infections,G08,G00-G09
adult,Unspecified infections,G09,G00-G09
adult,Other noncommunicable diseases,G10,G10-G37
adult,Other noncommunicable diseases,G11,G10-G37
adult,Other noncommunicable diseases,G12,G10-G37
adult,Other noncommunicable diseases,G13,G10-G37
adult,Other noncommunicable diseases,G14,G10-G37
adult,Other noncommunicable diseases,G15,G10-G37
adult,Other noncommunicable diseases,G16,G10-G37
adult,Other noncommunicable diseases,G17,G10-G37
adult,Other noncommunicable diseases,G18,G10-G37
adult,Other noncommunicable diseases,G19,G10-G37
adult,Other noncommunicable diseases,G20,G10-G37
adult,Other noncommunicable diseases,G21,G10-G37
adult,Other noncommunicable diseases,G22,G10-G37
adult,Other noncommunicable diseases,G23,G10-G37
adult,Other noncommunicable diseases,G24,G10-G37
adult,Other noncommunicable diseases,G25,G10-G37
adult,Other noncommunicable diseases,G26,G10-G37
adult,Other noncommunicable diseases,G27,G10-G37
adult,Other noncommunicable diseases,G28,G10-G37
adult,Other noncommunicable diseases,G29,G10-G37
adult,Other noncommunicable diseases,G30,G10-G37
adult,Other noncommunicable diseases,G31,G10-G37
adult,Other noncommunicable diseases,G32,G10-G37
adult,Other noncommunicable diseases,G33,G10-G37
adult,Other noncommunicable diseases,G34,G10-G37
adult,Other noncommunicable diseases,G35,G10-G37
adult,Other noncommunicable diseases,G36,G10-G37
adult,Other noncommunicable diseases,G37,G10-G37
adult,Other noncommunicable diseases,G40,G40-G41
adult,Other noncommunicable diseases,G41,G40-G41
adult,Other noncommunicable diseases,G43,G43-G44
adult,Other noncommunicable diseases,G44,G43-G44
adult,Stroke,G45,G45-G46
adult,Stroke,G46,G45-G46
adult,Other noncommunicable diseases,G50,G50-G80
adult,Other noncommunicable diseases,G51,G50-G80
adult,Other noncommunicable diseases,G52,G50-G80
adult,Other noncommunicable diseases,G53,G50-G80
adult,Other noncommunicable diseases,G54,G50-G80
adult,Other noncommunicable diseases,G55,G50-G80
adult,Other noncommunicable diseases,G56,G50-G80
adult,Other noncommunicable diseases,G57,G50-G80
adult,Other noncommunicable diseases,G58,G50-G80
adult,Other noncommunicable diseases,G59,G50-G80
adult,Other noncommunicable diseases,G60,G50-G80
adult,Other noncommunicable diseases,G61,G50-G80
adult,Other noncommunicable diseases,G62,G50-G80
adult,Other noncommunicable diseases,G63,G50-G80
adult,Other noncommunicable diseases,G64,G50-G80
adult,Other noncommunicable diseases,G65,G50-G80
adult,Other noncommunicable diseases,G66,G50-G80
adult,Other noncommunicable diseases,G67,G50-G80
adult,Other noncommunicable diseases,G68,G50-G80
adult,Other noncommunicable diseases,G69,G50-G80
adult,Other noncommunicable diseases,G70,G50-G80
adult,Other noncommunicable diseases,G71,G50-G80
adult,Other noncommunicable diseases,G72,G50-G80
adult,Other noncommunicable diseases,G73,G50-G80
adult,Other noncommunicable diseases,G74,G50-G80
adult,Other noncommunicable diseases,G75,G50-G80
adult,Other noncommunicable diseases,G76,G50-G80
adult,Other noncommunicable diseases,G77,G50-G80
adult,Other noncommunicable diseases,G78,G50-G80
adult,Other noncommunicable diseases,G79,G50-G80
adult,Other noncommunicable diseases,G80,G50-G80
adult,Stroke,G81,G81-G83
adult,Stroke,G82,G81-G83
adult,Stroke,G83,G81-G83
adult,Other noncommunicable diseases,G84,G84-G99
adult,Other noncommunicable diseases,G85,G84-G99
adult,Other noncommunicable diseases,G86,G84-G99
adult,Other noncommunicable diseases,G87,G84-G99
adult,Other noncommunicable diseases,G88,G84-G99
adult,Other noncommunicable diseases,G89,G84-G99
adult,Other noncommunicable diseases,G90,G84-G99
adult,Other noncommunicable diseases,G91,G84-G99
adult,Other noncommunicable diseases,G92,G84-G99
adult,Other noncommunicable diseases,G93,G84-G99
adult,Other noncommunicable diseases,G94,G84-G99
adult,Other noncommunicable diseases,G95,G84-G99
adult,Other noncommunicable diseases,G96,G84-G99
adult,Other noncommunicable diseases,G97,G84-G99
adult,Other noncommunicable diseases,G98,G84-G99
adult,Other noncommunicable diseases,G99,G84-G99
adult,Other noncommunicable diseases,H00,H00-H06
adult,Other noncommunicable diseases,H01,H00-H06
adult,Other noncommunicable diseases,H02,H00-H06
adult,Other noncommunicable diseases,H03,H00-H06
adult,Other noncommunicable diseases,H04,H00-H06
adult,Other noncommunicable diseases,H05,H00-H06
adult,Other noncommunicable diseases,H06,H00-H06
adult,Unspecified infections,H10,H10
adult,Other noncommunicable diseases,H11,H11-H59
adult,Other noncommunicable diseases,H12,H11-H59
adult,Other noncommunicable diseases,H13,H11-H59
