icd10_kind,icd10_kind_depth,icd10_chapter,icd10_code,icd10_title,icd11_kind,icd11_kind_depth,icd11_chapter,icd11_code,icd11_title,icd11_foundation_url,icd11_linear_url
category,1,I,A02,Other salmonella infections,category,2,01,1A09.Z,"Salmonella infection, unspecified",http://id.who.int/icd/entity/515117475,http://id.who.int/icd/release/11/2022-02/mms/515117475/unspecified
category,2,I,A02.0,Salmonella enteritis,category,2,01,1A09.0,Salmonella enteritis,http://id.who.int/icd/entity/1520312138,http://id.who.int/icd/release/11/2022-02/mms/1520312138
category,2,I,A02.1,Salmonella sepsis,category,1,01,1C41&XN0QE,Bacterial infection of unspecified site / Salmonellae,http://id.who.int/icd/entity/1070977756,http://id.who.int/icd/release/11/2022-02/mms/520429137
category,2,I,A02.2,Localized salmonella infections,category,2,01,1A09.Z,"Salmonella infection, unspecified",http://id.who.int/icd/entity/515117475,http://id.who.int/icd/release/11/2022-02/mms/515117475/unspecified
category,2,I,A02.8,Other specified salmonella infections,category,2,01,1A09.Z,"Salmonella infection, unspecified",http://id.who.int/icd/entity/515117475,http://id.who.int/icd/release/11/2022-02/mms/515117475/unspecified
category,2,I,A02.9,"Salmonella infection, unspecified",category,1,01,1C41,Bacterial infection of unspecified site,http://id.who.int/icd/entity/520429137,http://id.who.int/icd/release/11/2022-02/mms/520429137
category,1,I,A03,Shigellosis,category,1,01,1A02,Intestinal infections due to Shigella,http://id.who.int/icd/entity/2080365623,http://id.who.int/icd/release/11/2022-02/mms/2080365623
category,2,I,A03.0,Shigellosis due to Shigella dysenteriae,category,1,01,1A02,Intestinal infections due to Shigella,http://id.who.int/icd/entity/1181145033,http://id.who.int/icd/release/11/2022-02/mms/2080365623
category,2,I,A03.1,Shigellosis due to Shigella flexneri,category,1,01,1A02,Intestinal infections due to Shigella,http://id.who.int/icd/entity/590158429,http://id.who.int/icd/release/11/2022-02/mms/2080365623
category,2,I,A03.2,Shigellosis due to Shigella boydii,category,1,01,1A02,Intestinal infections due to Shigella,http://id.who.int/icd/entity/1468025508,http://id.who.int/icd/release/11/2022-02/mms/2080365623
category,2,I,A03.3,Shigellosis due to Shigella sonnei,category,1,01,1A02,Intestinal infections due to Shigella,http://id.who.int/icd/entity/852199222,http://id.who.int/icd/release/11/2022-02/mms/2080365623
category,2,I,A03.8,Other shigellosis,category,1,01,1C41,Bacterial infection of unspecified site,http://id.who.int/icd/entity/520429137,http://id.who.int/icd/release/11/2022-02/mms/520429137
category,2,I,A03.9,"Shigellosis, unspecified",category,1,01,1A02,Intestinal infections due to Shigella,http://id.who.int/icd/entity/2080365623,http://id.who.int/icd/release/11/2022-02/mms/2080365623
category,1,I,A04,Other bacterial intestinal infections,category,1,01,1A0Z,"Bacterial intestinal infections, unspecified",http://id.who.int/icd/entity/135352227,http://id.who.int/icd/release/11/2022-02/mms/135352227/unspecified
category,2,I,A04.0,Enteropathogenic Escherichia coli infection,category,2,01,1A03.0,Enteropathogenic Escherichia coli infection,http://id.who.int/icd/entity/2099226249,http://id.who.int/icd/release/11/2022-02/mms/2099226249
category,2,I,A04.1,Enterotoxigenic Escherichia coli infection,category,2,01,1A03.1,Enterotoxigenic Escherichia coli infection,http://id.who.int/icd/entity/408185629,http://id.who.int/icd/release/11/2022-02/mms/408185629
category,2,I,A04.2,Enteroinvasive Escherichia coli infection,category,2,01,1A03.2,Enteroinvasive Escherichia coli infection,http://id.who.int/icd/entity/1828273122,http://id.who.int/icd/release/11/2022-02/mms/1828273122
category,2,I,A04.3,Enterohaemorrhagic Escherichia coli infection,category,2,01,1A03.3,Enterohaemorrhagic Escherichia coli infection,http://id.who.int/icd/entity/162723448,http://id.who.int/icd/release/11/2022-02/mms/162723448
category,2,I,A04.4,Other intestinal Escherichia coli infections,category,2,01,1A03.Z,"Intestinal infections due to Escherichia coli, unspecified",http://id.who.int/icd/entity/344162786,http://id.who.int/icd/release/11/2022-02/mms/344162786/unspecified
category,2,I,A04.5,Campylobacter enteritis,category,1,01,1A06,Gastroenteritis due to Campylobacter,http://id.who.int/icd/entity/794462570,http://id.who.int/icd/release/11/2022-02/mms/794462570
category,2,I,A04.6,Enteritis due to Yersinia enterocolitica,category,1,01,1A05,Intestinal infections due to Yersinia enterocolitica,http://id.who.int/icd/entity/1000894786,http://id.who.int/icd/release/11/2022-02/mms/1000894786
category,2,I,A04.7,Enterocolitis due to Clostridium difficile,category,1,01,1A04,Intestinal infections due to Clostridioides difficile,http://id.who.int/icd/entity/250688797,http://id.who.int/icd/release/11/2022-02/mms/250688797
category,2,I,A04.8,Other specified bacterial intestinal infections,category,1,01,1A0Z,"Bacterial intestinal infections, unspecified",http://id.who.int/icd/entity/135352227,http://id.who.int/icd/release/11/2022-02/mms/135352227/unspecified
category,2,I,A04.9,"Bacterial intestinal infection, unspecified",category,1,01,1A0Z,"Bacterial intestinal infections, unspecified",http://id.who.int/icd/entity/135352227,http://id.who.int/icd/release/11/2022-02/mms/135352227/unspecified
category,1,I,A05,"Other bacterial foodborne intoxications, not elsewhere classified",category,1,01,1A1Z,"Bacterial foodborne intoxications, unspecified",http://id.who.int/icd/entity/1834648119,http://id.who.int/icd/release/11/2022-02/mms/1834648119/unspecified
category,2,I,A05.0,Foodborne staphylococcal intoxication,category,1,01,1A10,Foodborne staphylococcal intoxication,http://id.who.int/icd/entity/1642556936,http://id.who.int/icd/release/11/2022-02/mms/1642556936
category,2,I,A05.1,Botulism,category,2,01,1A11.Z,"Botulism, unspecified",http://id.who.int/icd/entity/78422942,http://id.who.int/icd/release/11/2022-02/mms/78422942/unspecified
category,2,I,A05.2,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,category,1,01,1A12,Foodborne Clostridium perfringens intoxication,http://id.who.int/icd/entity/1879176035,http://id.who.int/icd/release/11/2022-02/mms/1879176035
category,2,I,A05.3,Foodborne Vibrio parahaemolyticus intoxication,category,1,01,1A1Z,"Bacterial foodborne intoxications, unspecified",http://id.who.int/icd/entity/1834648119,http://id.who.int/icd/release/11/2022-02/mms/1834648119/unspecified
category,2,I,A05.4,Foodborne Bacillus cereus intoxication,category,1,01,1A13,Foodborne Bacillus cereus intoxication,http://id.who.int/icd/entity/1722068323,http://id.who.int/icd/release/11/2022-02/mms/1722068323
category,2,I,A05.8,Other specified bacterial foodborne intoxications,category,1,01,1A1Z,"Bacterial foodborne intoxications, unspecified",http://id.who.int/icd/entity/1834648119,http://id.who.int/icd/release/11/2022-02/mms/1834648119/unspecified
category,2,I,A05.9,"Bacterial foodborne intoxication, unspecified",category,1,01,1A1Z,"Bacterial foodborne intoxications, unspecified",http://id.who.int/icd/entity/1834648119,http://id.who.int/icd/release/11/2022-02/mms/1834648119/unspecified
category,1,I,A06,Amoebiasis,category,2,01,1A36.Z,"Amoebiasis, unspecified",http://id.who.int/icd/entity/435671752,http://id.who.int/icd/release/11/2022-02/mms/435671752/unspecified
category,2,I,A06.0,Acute amoebic dysentery,category,3,01,1A36.00,Acute amoebiasis,http://id.who.int/icd/entity/1616956984,http://id.who.int/icd/release/11/2022-02/mms/1616956984
category,2,I,A06.1,Chronic intestinal amoebiasis,category,3,01,1A36.0Z,"Intestinal infections due to Entamoeba, unspecified",http://id.who.int/icd/entity/86705058,http://id.who.int/icd/release/11/2022-02/mms/1727029934/unspecified
category,2,I,A06.2,Amoebic nondysenteric colitis,category,3,01,1A36.0Z,"Intestinal infections due to Entamoeba, unspecified",http://id.who.int/icd/entity/1959427510,http://id.who.int/icd/release/11/2022-02/mms/1727029934/unspecified
category,2,I,A06.3,Amoeboma of intestine,category,3,01,1A36.01,Amoeboma of intestine,http://id.who.int/icd/entity/349019849,http://id.who.int/icd/release/11/2022-02/mms/349019849
category,2,I,A06.4,Amoebic liver abscess,category,3,01,1A36.10,Amoebic liver abscess,http://id.who.int/icd/entity/1730350429,http://id.who.int/icd/release/11/2022-02/mms/1730350429
category,2,I,A06.5,Amoebic lung abscess,category,3,01,1A36.11,Amoebic lung abscess,http://id.who.int/icd/entity/40419529,http://id.who.int/icd/release/11/2022-02/mms/40419529
category,2,I,A06.6,Amoebic brain abscess,category,2,01,1A36.1&XA9738/1D03.3,Extraintestinal infections due to Entamoeba / Brain / Intracranial abscess,http://id.who.int/icd/entity/1992658998,http://id.who.int/icd/release/11/2022-02/mms/1777228366
category,2,I,A06.7,Cutaneous amoebiasis,category,3,01,1A36.12,Cutaneous amoebiasis,http://id.who.int/icd/entity/328097188,http://id.who.int/icd/release/11/2022-02/mms/328097188
category,2,I,A06.8,Amoebic infection of other sites,category,2,01,1A36.1,Extraintestinal infections due to Entamoeba,http://id.who.int/icd/entity/1860651234,http://id.who.int/icd/release/11/2022-02/mms/1777228366
category,2,I,A06.9,"Amoebiasis, unspecified",category,2,01,1A36.Z,"Amoebiasis, unspecified",http://id.who.int/icd/entity/435671752,http://id.who.int/icd/release/11/2022-02/mms/435671752/unspecified
category,1,I,A07,Other protozoal intestinal diseases,category,1,01,1A3Z,"Protozoal intestinal infections, unspecified",http://id.who.int/icd/entity/2092703582,http://id.who.int/icd/release/11/2022-02/mms/2092703582/unspecified
category,2,I,A07.0,Balantidiasis,category,1,01,1A30,Infections due to Balantidium coli,http://id.who.int/icd/entity/2090337975,http://id.who.int/icd/release/11/2022-02/mms/2090337975
category,2,I,A07.1,Giardiasis [lambliasis],category,1,01,1A31,Giardiasis,http://id.who.int/icd/entity/433310499,http://id.who.int/icd/release/11/2022-02/mms/433310499
category,2,I,A07.2,Cryptosporidiosis,category,1,01,1A32,Cryptosporidiosis,http://id.who.int/icd/entity/1837013982,http://id.who.int/icd/release/11/2022-02/mms/1837013982
category,2,I,A07.3,Isosporiasis,category,2,01,1A33.Z,"Cystoisosporiasis, unspecified",http://id.who.int/icd/entity/137713224,http://id.who.int/icd/release/11/2022-02/mms/137713224/unspecified
category,2,I,A07.8,Other specified protozoal intestinal diseases,category,1,01,1A3Z,"Protozoal intestinal infections, unspecified",http://id.who.int/icd/entity/2092703582,http://id.who.int/icd/release/11/2022-02/mms/2092703582/unspecified
category,2,I,A07.9,"Protozoal intestinal disease, unspecified",category,1,01,1A3Z,"Protozoal intestinal infections, unspecified",http://id.who.int/icd/entity/2089071035,http://id.who.int/icd/release/11/2022-02/mms/2092703582/unspecified
category,1,I,A08,Viral and other specified intestinal infections,category,1,01,1A2Z,"Viral intestinal infections, unspecified",http://id.who.int/icd/entity/30738976,http://id.who.int/icd/release/11/2022-02/mms/30738976/unspecified
category,2,I,A08.0,Rotaviral enteritis,category,1,01,1A22,Gastroenteritis due to Rotavirus,http://id.who.int/icd/entity/840750347,http://id.who.int/icd/release/11/2022-02/mms/840750347
category,2,I,A08.1,Acute gastroenteropathy due to Norovirus,category,1,01,1A23,Enteritis due to Norovirus,http://id.who.int/icd/entity/1465325727,http://id.who.int/icd/release/11/2022-02/mms/1465325727
category,2,I,A08.2,Adenoviral enteritis,category,1,01,1A20,Enteritis due to Adenovirus,http://id.who.int/icd/entity/749414717,http://id.who.int/icd/release/11/2022-02/mms/749414717
category,2,I,A08.3,Other viral enteritis,category,1,01,1A2Z,"Viral intestinal infections, unspecified",http://id.who.int/icd/entity/30738976,http://id.who.int/icd/release/11/2022-02/mms/30738976/unspecified
category,2,I,A08.4,"Viral intestinal infection, unspecified",category,1,01,1A2Z,"Viral intestinal infections, unspecified",http://id.who.int/icd/entity/1142254576,http://id.who.int/icd/release/11/2022-02/mms/30738976/unspecified
category,2,I,A08.5,Other specified intestinal infections,block,1,01,nan,Gastroenteritis or colitis of infectious origin,http://id.who.int/icd/entity/588616678,http://id.who.int/icd/release/11/2022-02/mms/588616678
category,1,I,A09,Other gastroenteritis and colitis of infectious and unspecified origin,category,2,01,1A40.Z,Infectious gastroenteritis or colitis without specification of infectious agent,http://id.who.int/icd/entity/1688127370,http://id.who.int/icd/release/11/2022-02/mms/1688127370/unspecified
category,2,I,A09.0,Other and unspecified gastroenteritis and colitis of infectious origin,category,2,01,1A40.Z,Infectious gastroenteritis or colitis without specification of infectious agent,http://id.who.int/icd/entity/1688127370,http://id.who.int/icd/release/11/2022-02/mms/1688127370/unspecified
category,2,I,A09.9,Gastroenteritis and colitis of unspecified origin,category,2,01,1A40.0,Gastroenteritis or colitis without specification of origin,http://id.who.int/icd/entity/1160271562,http://id.who.int/icd/release/11/2022-02/mms/1160271562
block,1,I,A15-A19,Tuberculosis,category,1,01,1B1Z,"Tuberculosis, unspecified",http://id.who.int/icd/entity/2072728114,http://id.who.int/icd/release/11/2022-02/mms/2072728114/unspecified
category,1,I,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",category,2,01,1B10.0,"Respiratory tuberculosis, confirmed",http://id.who.int/icd/entity/983550510,http://id.who.int/icd/release/11/2022-02/mms/983550510
category,2,I,A15.0,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",category,2,01,1B10.0,"Respiratory tuberculosis, confirmed",http://id.who.int/icd/entity/1912425785,http://id.who.int/icd/release/11/2022-02/mms/983550510
category,2,I,A15.1,"Tuberculosis of lung, confirmed by culture only",category,2,01,1B10.0,"Respiratory tuberculosis, confirmed",http://id.who.int/icd/entity/347504813,http://id.who.int/icd/release/11/2022-02/mms/983550510
category,2,I,A15.2,"Tuberculosis of lung, confirmed histologically",category,2,01,1B10.0,"Respiratory tuberculosis, confirmed",http://id.who.int/icd/entity/1612435540,http://id.who.int/icd/release/11/2022-02/mms/983550510
category,2,I,A15.3,"Tuberculosis of lung, confirmed by unspecified means",category,2,01,1B10.0,"Respiratory tuberculosis, confirmed",http://id.who.int/icd/entity/89136582,http://id.who.int/icd/release/11/2022-02/mms/983550510
category,2,I,A15.4,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",category,2,01,1B10.0,"Respiratory tuberculosis, confirmed",http://id.who.int/icd/entity/1992199762,http://id.who.int/icd/release/11/2022-02/mms/983550510
category,2,I,A15.5,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",category,2,01,1B10.0,"Respiratory tuberculosis, confirmed",http://id.who.int/icd/entity/334840776,http://id.who.int/icd/release/11/2022-02/mms/983550510
category,2,I,A15.6,"Tuberculous pleurisy, confirmed bacteriologically and histologically",category,2,01,1B10.0,"Respiratory tuberculosis, confirmed",http://id.who.int/icd/entity/1733825337,http://id.who.int/icd/release/11/2022-02/mms/983550510
category,2,I,A15.7,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",category,2,01,1B10.0,"Respiratory tuberculosis, confirmed",http://id.who.int/icd/entity/34856621,http://id.who.int/icd/release/11/2022-02/mms/983550510
category,2,I,A15.8,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",category,2,01,1B10.0,"Respiratory tuberculosis, confirmed",http://id.who.int/icd/entity/983550510,http://id.who.int/icd/release/11/2022-02/mms/983550510
category,2,I,A15.9,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",category,2,01,1B10.0,"Respiratory tuberculosis, confirmed",http://id.who.int/icd/entity/983550510,http://id.who.int/icd/release/11/2022-02/mms/983550510
category,1,I,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",category,2,01,1B10.1,"Respiratory tuberculosis, not confirmed",http://id.who.int/icd/entity/1311939281,http://id.who.int/icd/release/11/2022-02/mms/1311939281
category,2,I,A16.0,"Tuberculosis of lung, bacteriologically and histologically negative",category,2,01,1B10.1,"Respiratory tuberculosis, not confirmed",http://id.who.int/icd/entity/1887104263,http://id.who.int/icd/release/11/2022-02/mms/1311939281
category,2,I,A16.1,"Tuberculosis of lung, bacteriological and histological examination not done",category,2,01,1B10.1,"Respiratory tuberculosis, not confirmed",http://id.who.int/icd/entity/355541139,http://id.who.int/icd/release/11/2022-02/mms/1311939281
category,2,I,A16.2,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",category,2,01,1B10.Z,"Respiratory tuberculosis, without mention of bacteriological or histological confirmation",http://id.who.int/icd/entity/1637642348,http://id.who.int/icd/release/11/2022-02/mms/882244568/unspecified
category,2,I,A16.3,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",category,2,01,1B10.Z,"Respiratory tuberculosis, without mention of bacteriological or histological confirmation",http://id.who.int/icd/entity/81247738,http://id.who.int/icd/release/11/2022-02/mms/882244568/unspecified
category,2,I,A16.4,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",category,2,01,1B10.Z,"Respiratory tuberculosis, without mention of bacteriological or histological confirmation",http://id.who.int/icd/entity/2000236142,http://id.who.int/icd/release/11/2022-02/mms/882244568/unspecified
category,2,I,A16.5,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",category,2,01,1B10.Z,"Respiratory tuberculosis, without mention of bacteriological or histological confirmation",http://id.who.int/icd/entity/309519352,http://id.who.int/icd/release/11/2022-02/mms/882244568/unspecified
category,2,I,A16.7,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,category,2,01,1B10.Z,"Respiratory tuberculosis, without mention of bacteriological or histological confirmation",http://id.who.int/icd/entity/60063379,http://id.who.int/icd/release/11/2022-02/mms/882244568/unspecified
category,2,I,A16.8,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",category,2,01,1B10.Z,"Respiratory tuberculosis, without mention of bacteriological or histological confirmation",http://id.who.int/icd/entity/882244568,http://id.who.int/icd/release/11/2022-02/mms/882244568/unspecified
category,2,I,A16.9,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",category,2,01,1B10.Z,"Respiratory tuberculosis, without mention of bacteriological or histological confirmation",http://id.who.int/icd/entity/882244568,http://id.who.int/icd/release/11/2022-02/mms/882244568/unspecified
category,1,I,A17,Tuberculosis of nervous system,category,2,01,1B11.Z,"Tuberculosis of the nervous system, unspecified",http://id.who.int/icd/entity/729372485,http://id.who.int/icd/release/11/2022-02/mms/729372485/unspecified
category,2,I,A17.0,Tuberculous meningitis,category,2,01,1B11.0,Tuberculous meningitis,http://id.who.int/icd/entity/1820468614,http://id.who.int/icd/release/11/2022-02/mms/1820468614
category,2,I,A17.1,Meningeal tuberculoma,category,2,01,1B11.2,Meningeal tuberculoma,http://id.who.int/icd/entity/164227092,http://id.who.int/icd/release/11/2022-02/mms/164227092
category,2,I,A17.8,Other tuberculosis of nervous system,category,2,01,1B11.Z,"Tuberculosis of the nervous system, unspecified",http://id.who.int/icd/entity/729372485,http://id.who.int/icd/release/11/2022-02/mms/729372485/unspecified
category,2,I,A17.9,"Tuberculosis of nervous system, unspecified",category,2,01,1B11.Z,"Tuberculosis of the nervous system, unspecified",http://id.who.int/icd/entity/729372485,http://id.who.int/icd/release/11/2022-02/mms/729372485/unspecified
category,1,I,A18,Tuberculosis of other organs,category,1,01,1B12,Tuberculosis of other systems and organs,http://id.who.int/icd/entity/746680558,http://id.who.int/icd/release/11/2022-02/mms/746680558
category,2,I,A18.0,Tuberculosis of bones and joints,category,3,01,1B12.40,Tuberculosis of bones or joints,http://id.who.int/icd/entity/570881596,http://id.who.int/icd/release/11/2022-02/mms/570881596
category,2,I,A18.1,Tuberculosis of genitourinary system,category,2,01,1B12.5,Tuberculosis of the genitourinary system,http://id.who.int/icd/entity/1196243886,http://id.who.int/icd/release/11/2022-02/mms/1196243886
category,2,I,A18.2,Tuberculous peripheral lymphadenopathy,category,2,01,1B12.6,Tuberculous peripheral lymphadenopathy,http://id.who.int/icd/entity/870345553,http://id.who.int/icd/release/11/2022-02/mms/870345553
category,2,I,A18.3,"Tuberculosis of intestines, peritoneum and mesenteric glands",category,2,01,1B12.7,Tuberculosis of the digestive system,http://id.who.int/icd/entity/1873777499,http://id.who.int/icd/release/11/2022-02/mms/1873777499
category,2,I,A18.4,Tuberculosis of skin and subcutaneous tissue,category,2,01,1B12.8,Cutaneous tuberculosis,http://id.who.int/icd/entity/625292625,http://id.who.int/icd/release/11/2022-02/mms/625292625
category,2,I,A18.5,Tuberculosis of eye,category,2,01,1B12.1,Tuberculosis of eye,http://id.who.int/icd/entity/1074723013,http://id.who.int/icd/release/11/2022-02/mms/1074723013
category,2,I,A18.6,Tuberculosis of ear,category,2,01,1B12.2,Tuberculosis of ear,http://id.who.int/icd/entity/883140666,http://id.who.int/icd/release/11/2022-02/mms/883140666
category,2,I,A18.7,Tuberculosis of adrenal glands,category,2,01,1B12.3&XA0NE9,Tuberculosis of endocrine glands / Adrenal gland,http://id.who.int/icd/entity/1374184880,http://id.who.int/icd/release/11/2022-02/mms/807058764
category,2,I,A18.8,Tuberculosis of other specified organs,category,1,01,1B12,Tuberculosis of other systems and organs,http://id.who.int/icd/entity/746680558,http://id.who.int/icd/release/11/2022-02/mms/746680558
category,1,I,A19,Miliary tuberculosis,category,2,01,1B13.Z,"Miliary tuberculosis, unspecified",http://id.who.int/icd/entity/861638547,http://id.who.int/icd/release/11/2022-02/mms/861638547/unspecified
category,2,I,A19.0,Acute miliary tuberculosis of a single specified site,category,2,01,1B13.0,Acute miliary tuberculosis of a single specified site,http://id.who.int/icd/entity/1056849595,http://id.who.int/icd/release/11/2022-02/mms/1056849595
category,2,I,A19.1,Acute miliary tuberculosis of multiple sites,category,2,01,1B13.1,Acute miliary tuberculosis of multiple sites,http://id.who.int/icd/entity/1538650927,http://id.who.int/icd/release/11/2022-02/mms/1538650927
category,2,I,A19.2,"Acute miliary tuberculosis, unspecified",category,2,01,1B13.Z,"Miliary tuberculosis, unspecified",http://id.who.int/icd/entity/861638547,http://id.who.int/icd/release/11/2022-02/mms/861638547/unspecified
category,2,I,A19.8,Other miliary tuberculosis,category,2,01,1B13.Z,"Miliary tuberculosis, unspecified",http://id.who.int/icd/entity/861638547,http://id.who.int/icd/release/11/2022-02/mms/861638547/unspecified
category,2,I,A19.9,"Miliary tuberculosis, unspecified",category,2,01,1B13.Z,"Miliary tuberculosis, unspecified",http://id.who.int/icd/entity/861638547,http://id.who.int/icd/release/11/2022-02/mms/861638547/unspecified
block,1,I,A20-A28,Certain zoonotic bacterial diseases,category,1,01,1B9Z,Unspecified zoonotic bacterial disease,http://id.who.int/icd/entity/1935092859,http://id.who.int/icd/release/11/2022-02/mms/1935092859/unspecified
category,1,I,A20,Plague,category,2,01,1B93.Z,"Plague, unspecified",http://id.who.int/icd/entity/1596449540,http://id.who.int/icd/release/11/2022-02/mms/1596449540/unspecified
category,2,I,A20.0,Bubonic plague,category,2,01,1B93.0,Bubonic plague,http://id.who.int/icd/entity/1742025109,http://id.who.int/icd/release/11/2022-02/mms/1742025109
category,2,I,A20.1,Cellulocutaneous plague,category,2,01,1B93.1,Cellulocutaneous plague,http://id.who.int/icd/entity/43973633,http://id.who.int/icd/release/11/2022-02/mms/43973633
category,2,I,A20.2,Pneumonic plague,category,2,01,1B93.2,Pneumonic plague,http://id.who.int/icd/entity/1983098110,http://id.who.int/icd/release/11/2022-02/mms/1983098110
category,2,I,A20.3,Plague meningitis,category,2,01,1B93.3,Plague meningitis,http://id.who.int/icd/entity/326656364,http://id.who.int/icd/release/11/2022-02/mms/326656364
category,2,I,A20.7,Septicaemic plague,category,2,01,1B93.Z,"Plague, unspecified",http://id.who.int/icd/entity/1596449540,http://id.who.int/icd/release/11/2022-02/mms/1596449540/unspecified
category,2,I,A20.8,Other forms of plague,category,2,01,1B93.Z,"Plague, unspecified",http://id.who.int/icd/entity/1596449540,http://id.who.int/icd/release/11/2022-02/mms/1596449540/unspecified
category,2,I,A20.9,"Plague, unspecified",category,2,01,1B93.Z,"Plague, unspecified",http://id.who.int/icd/entity/1596449540,http://id.who.int/icd/release/11/2022-02/mms/1596449540/unspecified
category,1,I,A21,Tularaemia,category,2,01,1B94.Z,"Tularaemia, unspecified",http://id.who.int/icd/entity/980168338,http://id.who.int/icd/release/11/2022-02/mms/980168338/unspecified
category,2,I,A21.0,Ulceroglandular tularaemia,category,2,01,1B94.0,Ulceroglandular tularaemia,http://id.who.int/icd/entity/2066610452,http://id.who.int/icd/release/11/2022-02/mms/2066610452
category,2,I,A21.1,Oculoglandular tularaemia,category,2,01,1B94.Z,"Tularaemia, unspecified",http://id.who.int/icd/entity/510014594,http://id.who.int/icd/release/11/2022-02/mms/980168338/unspecified
category,2,I,A21.2,Pulmonary tularaemia,category,2,01,1B94.Z,"Tularaemia, unspecified",http://id.who.int/icd/entity/1791714431,http://id.who.int/icd/release/11/2022-02/mms/980168338/unspecified
category,2,I,A21.3,Gastrointestinal tularaemia,category,2,01,1B94.Z,"Tularaemia, unspecified",http://id.who.int/icd/entity/260090347,http://id.who.int/icd/release/11/2022-02/mms/980168338/unspecified
category,2,I,A21.7,Generalized tularaemia,category,2,01,1B94.Z,"Tularaemia, unspecified",http://id.who.int/icd/entity/147024512,http://id.who.int/icd/release/11/2022-02/mms/980168338/unspecified
category,2,I,A21.8,Other forms of tularaemia,category,2,01,1B94.Z,"Tularaemia, unspecified",http://id.who.int/icd/entity/980168338,http://id.who.int/icd/release/11/2022-02/mms/980168338/unspecified
category,2,I,A21.9,"Tularaemia, unspecified",category,2,01,1B94.Z,"Tularaemia, unspecified",http://id.who.int/icd/entity/980168338,http://id.who.int/icd/release/11/2022-02/mms/980168338/unspecified
category,1,I,A22,Anthrax,category,1,01,1B97,Anthrax,http://id.who.int/icd/entity/1321303663,http://id.who.int/icd/release/11/2022-02/mms/1321303663
