icd11_chapter,icd11_code,icd11_title,icd10_chapter,icd10_code,icd10_title,icd11_linear_url
1,1A33,Cystoisosporiasis,I,A07.3,Isosporiasis,http://id.who.int/icd/release/11/2022-02/mms/137713224
1,1A33.0,Cystoisosporiasis of small intestine,I,A07.3,Isosporiasis,http://id.who.int/icd/release/11/2022-02/mms/1058992628
1,1A33.1,Cystoisosporiasis of colon,I,A07.3,Isosporiasis,http://id.who.int/icd/release/11/2022-02/mms/883510242
1,1A33.Y,Other specified cystoisosporiasis,I,A07.3,Isosporiasis,http://id.who.int/icd/release/11/2022-02/mms/137713224/other
1,1A33.Z,"Cystoisosporiasis, unspecified",I,A07.3,Isosporiasis,http://id.who.int/icd/release/11/2022-02/mms/137713224/unspecified
1,1A34,Sarcocystosis,I,A07.8,Other specified protozoal intestinal diseases,http://id.who.int/icd/release/11/2022-02/mms/261748740
1,1A35,Blastocystosis,I,A07.8,Other specified protozoal intestinal diseases,http://id.who.int/icd/release/11/2022-02/mms/1184241320
1,1A36,Amoebiasis,I,A06,Amoebiasis,http://id.who.int/icd/release/11/2022-02/mms/435671752
1,1A36.0,Intestinal infections due to Entamoeba,I,A07.8,Other specified protozoal intestinal diseases,http://id.who.int/icd/release/11/2022-02/mms/1727029934
1,1A36.00,Acute amoebiasis,I,A06.0,Acute amoebic dysentery,http://id.who.int/icd/release/11/2022-02/mms/1616956984
1,1A36.01,Amoeboma of intestine,I,A06.3,Amoeboma of intestine,http://id.who.int/icd/release/11/2022-02/mms/349019849
1,1A36.0Z,"Intestinal infections due to Entamoeba, unspecified",I,A07.8,Other specified protozoal intestinal diseases,http://id.who.int/icd/release/11/2022-02/mms/1727029934/unspecified
1,1A36.1,Extraintestinal infections due to Entamoeba,I,A06,Amoebiasis,http://id.who.int/icd/release/11/2022-02/mms/1777228366
1,1A36.10,Amoebic liver abscess,I,A06.4,Amoebic liver abscess,http://id.who.int/icd/release/11/2022-02/mms/1730350429
1,1A36.11,Amoebic lung abscess,I,A06.5,Amoebic lung abscess,http://id.who.int/icd/release/11/2022-02/mms/40419529
1,1A36.12,Cutaneous amoebiasis,I,A06.7,Cutaneous amoebiasis,http://id.who.int/icd/release/11/2022-02/mms/328097188
1,1A36.1Y,Amoebiasis of other specified sites,I,A06,Amoebiasis,http://id.who.int/icd/release/11/2022-02/mms/1777228366/other
1,1A36.Z,"Amoebiasis, unspecified",I,A06,Amoebiasis,http://id.who.int/icd/release/11/2022-02/mms/435671752/unspecified
1,1A3Y,Other specified protozoal intestinal infections,I,A08.5,Other specified intestinal infections,http://id.who.int/icd/release/11/2022-02/mms/2092703582/other
1,1A3Z,"Protozoal intestinal infections, unspecified",I,A08.5,Other specified intestinal infections,http://id.who.int/icd/release/11/2022-02/mms/2092703582/unspecified
1,1A40,Gastroenteritis or colitis without specification of infectious agent,I,A09,Other gastroenteritis and colitis of infectious and unspecified origin,http://id.who.int/icd/release/11/2022-02/mms/1688127370
1,1A40.0,Gastroenteritis or colitis without specification of origin,I,A09.9,Gastroenteritis and colitis of unspecified origin,http://id.who.int/icd/release/11/2022-02/mms/1160271562
1,1A40.Z,Infectious gastroenteritis or colitis without specification of infectious agent,I,A09,Other gastroenteritis and colitis of infectious and unspecified origin,http://id.who.int/icd/release/11/2022-02/mms/1688127370/unspecified
1,nan,Predominantly sexually transmitted infections,I,A50-A64,Infections with a predominantly sexual mode of transmission,http://id.who.int/icd/release/11/2022-02/mms/1904876434
1,nan,Syphilis,I,A50-A64,Infections with a predominantly sexual mode of transmission,http://id.who.int/icd/release/11/2022-02/mms/455894495
1,1A60,Congenital syphilis,I,A50,Congenital syphilis,http://id.who.int/icd/release/11/2022-02/mms/587996426
1,1A60.0,"Early congenital syphilis, symptomatic",I,A50.0,"Early congenital syphilis, symptomatic",http://id.who.int/icd/release/11/2022-02/mms/395565060
1,1A60.1,"Early congenital syphilis, latent",I,A50.1,"Early congenital syphilis, latent",http://id.who.int/icd/release/11/2022-02/mms/1926763926
1,1A60.2,Late congenital syphilitic oculopathy,I,A50.3,Late congenital syphilitic oculopathy,http://id.who.int/icd/release/11/2022-02/mms/1665042685
1,1A60.3,Late congenital neurosyphilis,I,A50.4,Late congenital neurosyphilis [juvenile neurosyphilis],http://id.who.int/icd/release/11/2022-02/mms/282073961
1,1A60.4,"Other late congenital syphilis, symptomatic",I,A50,Congenital syphilis,http://id.who.int/icd/release/11/2022-02/mms/2132718683
1,1A60.5,"Late congenital syphilis, latent",I,A50.6,"Late congenital syphilis, latent",http://id.who.int/icd/release/11/2022-02/mms/20350466
1,1A60.Z,"Congenital syphilis, unspecified",I,A50,Congenital syphilis,http://id.who.int/icd/release/11/2022-02/mms/587996426/unspecified
1,1A61,Early syphilis,I,A51,Early syphilis,http://id.who.int/icd/release/11/2022-02/mms/1179111584
1,1A61.0,Primary genital syphilis,I,A51.0,Primary genital syphilis,http://id.who.int/icd/release/11/2022-02/mms/191565955
1,1A61.1,Primary anal syphilis,I,A51.1,Primary anal syphilis,http://id.who.int/icd/release/11/2022-02/mms/1847647511
1,1A61.2,Primary syphilis of other sites,I,A51.2,Primary syphilis of other sites,http://id.who.int/icd/release/11/2022-02/mms/445484522
1,1A61.3,Secondary syphilis of skin or mucous membranes,I,A51.3,Secondary syphilis of skin and mucous membranes,http://id.who.int/icd/release/11/2022-02/mms/2143699068
1,1A61.4,Secondary syphilis of other sites,I,A51.4,Other secondary syphilis,http://id.who.int/icd/release/11/2022-02/mms/204002280
1,1A61.5,Latent early syphilis,I,A51.5,"Early syphilis, latent",http://id.who.int/icd/release/11/2022-02/mms/1768103550
1,1A61.Y,Other specified early syphilis,I,A51,Early syphilis,http://id.who.int/icd/release/11/2022-02/mms/1179111584/other
1,1A61.Z,"Early syphilis, unspecified",I,A51,Early syphilis,http://id.who.int/icd/release/11/2022-02/mms/1179111584/unspecified
1,1A62,Late syphilis,I,A52,Late syphilis,http://id.who.int/icd/release/11/2022-02/mms/854229089
1,1A62.0,Neurosyphilis,I,A52,Late syphilis,http://id.who.int/icd/release/11/2022-02/mms/2118246468
1,1A62.00,Asymptomatic neurosyphilis,I,A52.2,Asymptomatic neurosyphilis,http://id.who.int/icd/release/11/2022-02/mms/453651926
1,1A62.01,Symptomatic late neurosyphilis,I,A52.1,Symptomatic neurosyphilis,http://id.who.int/icd/release/11/2022-02/mms/1873247529
1,1A62.0Z,"Neurosyphilis, unspecified",I,A52,Late syphilis,http://id.who.int/icd/release/11/2022-02/mms/2118246468/unspecified
1,1A62.1,Cardiovascular late syphilis,I,A52.0,Cardiovascular syphilis,http://id.who.int/icd/release/11/2022-02/mms/183283901
1,1A62.2,Symptomatic late syphilis of other sites,I,A52.7,Other symptomatic late syphilis,http://id.who.int/icd/release/11/2022-02/mms/1883423833
1,1A62.20,Ocular late syphilis,I,A52.7,Other symptomatic late syphilis,http://id.who.int/icd/release/11/2022-02/mms/551528014
1,1A62.21,Late syphilis involving the musculoskeletal system,I,A52.7,Other symptomatic late syphilis,http://id.who.int/icd/release/11/2022-02/mms/2063826056
1,1A62.22,Late syphilis of skin or mucous membranes,I,A52.7,Other symptomatic late syphilis,http://id.who.int/icd/release/11/2022-02/mms/1934471301
1,1A62.2Y,Symptomatic late syphilis of other specified sites,I,A52.7,Other symptomatic late syphilis,http://id.who.int/icd/release/11/2022-02/mms/1883423833/other
1,1A62.2Z,Symptomatic late syphilis of unspecified site,I,A52.7,Other symptomatic late syphilis,http://id.who.int/icd/release/11/2022-02/mms/1883423833/unspecified
1,1A62.Y,Other specified late syphilis,I,A52.8,"Late syphilis, latent",http://id.who.int/icd/release/11/2022-02/mms/854229089/other
1,1A62.Z,"Late syphilis, unspecified",I,A52,Late syphilis,http://id.who.int/icd/release/11/2022-02/mms/854229089/unspecified
1,1A63,"Latent syphilis, unspecified as early or late",I,A53.0,"Latent syphilis, unspecified as early or late",http://id.who.int/icd/release/11/2022-02/mms/370440252
1,1A6Z,"Syphilis, unspecified",I,A50-A64,Infections with a predominantly sexual mode of transmission,http://id.who.int/icd/release/11/2022-02/mms/455894495/unspecified
1,nan,Gonococcal infection,I,A54,Gonococcal infection,http://id.who.int/icd/release/11/2022-02/mms/609214049
1,1A70,Gonococcal genitourinary infection,I,A54,Gonococcal infection,http://id.who.int/icd/release/11/2022-02/mms/1977691885
1,1A70.0,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,I,A54.0,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,http://id.who.int/icd/release/11/2022-02/mms/762120574
1,1A70.00,Gonorrhoea of penis,I,A54.0,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,http://id.who.int/icd/release/11/2022-02/mms/1112016389
1,1A70.0Y,Other specified gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,I,A54.0,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,http://id.who.int/icd/release/11/2022-02/mms/762120574/other
1,1A70.0Z,"Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess, unspecified",I,A54.0,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,http://id.who.int/icd/release/11/2022-02/mms/762120574/unspecified
1,1A70.1,Gonococcal infection of lower genitourinary tract with periurethral or accessory gland abscess,I,A54.1,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess,http://id.who.int/icd/release/11/2022-02/mms/1210500328
1,1A70.Y,Gonococcal infection of other specified genitourinary organ,I,A54,Gonococcal infection,http://id.who.int/icd/release/11/2022-02/mms/1977691885/other
1,1A70.Z,"Gonococcal genitourinary infection, unspecified",I,A54,Gonococcal infection,http://id.who.int/icd/release/11/2022-02/mms/1977691885/unspecified
1,1A71,Gonococcal pelviperitonitis,I,A54,Gonococcal infection,http://id.who.int/icd/release/11/2022-02/mms/1015780375
1,1A72,Gonococcal infection of other sites,I,A54,Gonococcal infection,http://id.who.int/icd/release/11/2022-02/mms/840155638
1,1A72.0,Gonococcal infection of musculoskeletal system,I,A54.4,Gonococcal infection of musculoskeletal system,http://id.who.int/icd/release/11/2022-02/mms/707709463
1,1A72.1,Gonococcal infection of rectum,I,A54.6,Gonococcal infection of anus and rectum,http://id.who.int/icd/release/11/2022-02/mms/359736861
1,1A72.2,Gonococcal infection of anus,I,A54.6,Gonococcal infection of anus and rectum,http://id.who.int/icd/release/11/2022-02/mms/1002985340
1,1A72.3,Gonococcal pharyngitis,I,A54.5,Gonococcal pharyngitis,http://id.who.int/icd/release/11/2022-02/mms/1332021123
1,1A72.4,Gonococcal infection of eye,I,A54.3,Gonococcal infection of eye,http://id.who.int/icd/release/11/2022-02/mms/1505778051
1,1A72.Y,Gonococcal infection of other specified sites,I,A54,Gonococcal infection,http://id.who.int/icd/release/11/2022-02/mms/840155638/other
1,1A73,Disseminated gonococcal infection,I,A54,Gonococcal infection,http://id.who.int/icd/release/11/2022-02/mms/2046292009
1,1A7Z,"Gonococcal infection, unspecified",I,A54,Gonococcal infection,http://id.who.int/icd/release/11/2022-02/mms/609214049/unspecified
1,nan,Sexually transmissible infections due to chlamydia,I,A50-A64,Infections with a predominantly sexual mode of transmission,http://id.who.int/icd/release/11/2022-02/mms/251474152
1,1A80,Chlamydial lymphogranuloma,I,A55,Chlamydial lymphogranuloma (venereum),http://id.who.int/icd/release/11/2022-02/mms/1090786293
1,1A81,Non-ulcerative sexually transmitted chlamydial infection,I,A56,Other sexually transmitted chlamydial diseases,http://id.who.int/icd/release/11/2022-02/mms/900285196
1,1A81.0,Chlamydial infection of lower genitourinary tract,I,A56.0,Chlamydial infection of lower genitourinary tract,http://id.who.int/icd/release/11/2022-02/mms/806511043
1,1A81.1,Chlamydial infection of internal reproductive organs,I,A56.1,Chlamydial infection of pelviperitoneum and other genitourinary organs,http://id.who.int/icd/release/11/2022-02/mms/1431940183
1,1A81.Y,Non-ulcerative sexually transmitted chlamydial infection of other specified site,I,A56.8,Sexually transmitted chlamydial infection of other sites,http://id.who.int/icd/release/11/2022-02/mms/900285196/other
1,1A81.Z,Non-ulcerative sexually transmitted chlamydial infection of unspecified site,I,A56,Other sexually transmitted chlamydial diseases,http://id.who.int/icd/release/11/2022-02/mms/900285196/unspecified
1,1A8Y,Other specified sexually transmissible infections due to chlamydia,I,A50-A64,Infections with a predominantly sexual mode of transmission,http://id.who.int/icd/release/11/2022-02/mms/251474152/other
1,1A8Z,"Sexually transmissible infections due to chlamydia, unspecified",I,A50-A64,Infections with a predominantly sexual mode of transmission,http://id.who.int/icd/release/11/2022-02/mms/251474152/unspecified
1,1A90,Chancroid,I,A57,Chancroid,http://id.who.int/icd/release/11/2022-02/mms/1357024926
1,1A91,Granuloma inguinale,I,A58,Granuloma inguinale,http://id.who.int/icd/release/11/2022-02/mms/764124124
1,1A92,Trichomoniasis,I,A59,Trichomoniasis,http://id.who.int/icd/release/11/2022-02/mms/1220564554
1,1A93,Sexually transmissible infestations,I,A63.8,Other specified predominantly sexually transmitted diseases,http://id.who.int/icd/release/11/2022-02/mms/1372745524
1,1A94,Anogenital herpes simplex infection,I,A60,Anogenital herpesviral [herpes simplex] infection,http://id.who.int/icd/release/11/2022-02/mms/616315615
1,1A94.0,Herpes simplex infection of genitalia or urogenital tract,I,A60.0,Herpesviral infection of genitalia and urogenital tract,http://id.who.int/icd/release/11/2022-02/mms/666746193
1,1A94.1,Herpes simplex infection of perianal skin or rectum,I,A60.1,Herpesviral infection of perianal skin and rectum,http://id.who.int/icd/release/11/2022-02/mms/1123446981
1,1A94.Z,Anogenital herpes simplex infection without further specification,I,A60,Anogenital herpesviral [herpes simplex] infection,http://id.who.int/icd/release/11/2022-02/mms/616315615/unspecified
1,1A95,Anogenital warts,I,A63.0,Anogenital (venereal) warts,http://id.who.int/icd/release/11/2022-02/mms/641342831
1,1A95.0,Anal warts,I,A63.0,Anogenital (venereal) warts,http://id.who.int/icd/release/11/2022-02/mms/1987223744
1,1A95.1,Genital warts,I,A63.0,Anogenital (venereal) warts,http://id.who.int/icd/release/11/2022-02/mms/144526718
1,1A95.2,Extragenital condylomata acuminata,I,A63.0,Anogenital (venereal) warts,http://id.who.int/icd/release/11/2022-02/mms/158514824
1,1A9Y,Other specified predominantly sexually transmitted infections,I,A50-A64,Infections with a predominantly sexual mode of transmission,http://id.who.int/icd/release/11/2022-02/mms/1904876434/other
1,1A9Z,"Predominantly sexually transmitted infections, unspecified",I,A50-A64,Infections with a predominantly sexual mode of transmission,http://id.who.int/icd/release/11/2022-02/mms/1904876434/unspecified
1,nan,Mycobacterial diseases,I,I,Certain infectious and parasitic diseases,http://id.who.int/icd/release/11/2022-02/mms/979278646
1,nan,Tuberculosis,I,A15-A19,Tuberculosis,http://id.who.int/icd/release/11/2022-02/mms/2072728114
1,1B10,Tuberculosis of the respiratory system,I,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",http://id.who.int/icd/release/11/2022-02/mms/882244568
1,1B10.0,"Respiratory tuberculosis, confirmed",I,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",http://id.who.int/icd/release/11/2022-02/mms/983550510
1,1B10.1,"Respiratory tuberculosis, not confirmed",I,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",http://id.who.int/icd/release/11/2022-02/mms/1311939281
1,1B10.Z,"Respiratory tuberculosis, without mention of bacteriological or histological confirmation",I,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",http://id.who.int/icd/release/11/2022-02/mms/882244568/unspecified
1,1B11,Tuberculosis of the nervous system,I,A17,Tuberculosis of nervous system,http://id.who.int/icd/release/11/2022-02/mms/729372485
1,1B11.0,Tuberculous meningitis,I,A17.0,Tuberculous meningitis,http://id.who.int/icd/release/11/2022-02/mms/1820468614
1,1B11.1,Tuberculous meningoencephalitis,I,A17.8,Other tuberculosis of nervous system,http://id.who.int/icd/release/11/2022-02/mms/539334538
1,1B11.2,Meningeal tuberculoma,I,A17.1,Meningeal tuberculoma,http://id.who.int/icd/release/11/2022-02/mms/164227092
1,1B11.3,Tuberculous granuloma of brain,I,A17,Tuberculosis of nervous system,http://id.who.int/icd/release/11/2022-02/mms/1199221405
1,1B11.4,Tuberculous granuloma of the meninges,I,A17,Tuberculosis of nervous system,http://id.who.int/icd/release/11/2022-02/mms/950300946
1,1B11.Y,Tuberculosis of other specified part of nervous system,I,A17.8,Other tuberculosis of nervous system,http://id.who.int/icd/release/11/2022-02/mms/729372485/other
1,1B11.Z,"Tuberculosis of the nervous system, unspecified",I,A17,Tuberculosis of nervous system,http://id.who.int/icd/release/11/2022-02/mms/729372485/unspecified
1,1B12,Tuberculosis of other systems and organs,I,A18,Tuberculosis of other organs,http://id.who.int/icd/release/11/2022-02/mms/746680558
1,1B12.0,Tuberculosis of heart,I,A18,Tuberculosis of other organs,http://id.who.int/icd/release/11/2022-02/mms/271545608
1,1B12.1,Tuberculosis of eye,I,A18.5,Tuberculosis of eye,http://id.who.int/icd/release/11/2022-02/mms/1074723013
1,1B12.2,Tuberculosis of ear,I,A18.6,Tuberculosis of ear,http://id.who.int/icd/release/11/2022-02/mms/883140666
1,1B12.3,Tuberculosis of endocrine glands,I,A18,Tuberculosis of other organs,http://id.who.int/icd/release/11/2022-02/mms/807058764
1,1B12.4,Tuberculosis of the musculoskeletal system,I,A18,Tuberculosis of other organs,http://id.who.int/icd/release/11/2022-02/mms/1459473353
1,1B12.40,Tuberculosis of bones or joints,XIII,M90.0,Tuberculosis of bone,http://id.who.int/icd/release/11/2022-02/mms/570881596
1,1B12.41,Tuberculous myositis,I,A18,Tuberculosis of other organs,http://id.who.int/icd/release/11/2022-02/mms/1828714202
1,1B12.4Y,Tuberculosis of other specified part of the musculoskeletal system,I,A18,Tuberculosis of other organs,http://id.who.int/icd/release/11/2022-02/mms/1459473353/other
1,1B12.4Z,"Tuberculosis of the musculoskeletal system, unspecified",I,A18,Tuberculosis of other organs,http://id.who.int/icd/release/11/2022-02/mms/1459473353/unspecified
1,1B12.5,Tuberculosis of the genitourinary system,I,A18.1,Tuberculosis of genitourinary system,http://id.who.int/icd/release/11/2022-02/mms/1196243886
1,1B12.6,Tuberculous peripheral lymphadenopathy,I,A18.2,Tuberculous peripheral lymphadenopathy,http://id.who.int/icd/release/11/2022-02/mms/870345553
1,1B12.7,Tuberculosis of the digestive system,XI,K93.0,"Tuberculous disorders of intestines, peritoneum and mesenteric glands",http://id.who.int/icd/release/11/2022-02/mms/1873777499
1,1B12.8,Cutaneous tuberculosis,I,A18.4,Tuberculosis of skin and subcutaneous tissue,http://id.who.int/icd/release/11/2022-02/mms/625292625
1,1B12.Y,Tuberculosis of other specified organ or site,I,A18.8,Tuberculosis of other specified organs,http://id.who.int/icd/release/11/2022-02/mms/746680558/other
1,1B13,Miliary tuberculosis,I,A19,Miliary tuberculosis,http://id.who.int/icd/release/11/2022-02/mms/861638547
1,1B13.0,Acute miliary tuberculosis of a single specified site,I,A19.0,Acute miliary tuberculosis of a single specified site,http://id.who.int/icd/release/11/2022-02/mms/1056849595
1,1B13.1,Acute miliary tuberculosis of multiple sites,I,A19.1,Acute miliary tuberculosis of multiple sites,http://id.who.int/icd/release/11/2022-02/mms/1538650927
1,1B13.2,"Acute miliary tuberculosis, unspecified site",I,A19,Miliary tuberculosis,http://id.who.int/icd/release/11/2022-02/mms/1690351031
1,1B13.Y,Other specified miliary tuberculosis,I,A19.8,Other miliary tuberculosis,http://id.who.int/icd/release/11/2022-02/mms/861638547/other
1,1B13.Z,"Miliary tuberculosis, unspecified",I,A19,Miliary tuberculosis,http://id.who.int/icd/release/11/2022-02/mms/861638547/unspecified
1,1B14,Latent tuberculosis,XXI,Z22.7,Latent tuberculosis,http://id.who.int/icd/release/11/2022-02/mms/454434138
1,1B1Y,Other specified tuberculosis,I,A15-A19,Tuberculosis,http://id.who.int/icd/release/11/2022-02/mms/2072728114/other
1,1B1Z,"Tuberculosis, unspecified",I,A15-A19,Tuberculosis,http://id.who.int/icd/release/11/2022-02/mms/2072728114/unspecified
1,1B20,Leprosy,I,A30,Leprosy [Hansen disease],http://id.who.int/icd/release/11/2022-02/mms/149072669
1,1B20.0,Paucibacillary leprosy,I,A30,Leprosy [Hansen disease],http://id.who.int/icd/release/11/2022-02/mms/1800264981
1,1B20.1,Multibacillary leprosy,I,A30,Leprosy [Hansen disease],http://id.who.int/icd/release/11/2022-02/mms/1123804548
1,1B20.2,Leprosy reactions,I,A30,Leprosy [Hansen disease],http://id.who.int/icd/release/11/2022-02/mms/1295356165
1,1B20.20,Type I leprosy reaction,I,A30,Leprosy [Hansen disease],http://id.who.int/icd/release/11/2022-02/mms/1185467033
1,1B20.21,Type II leprosy reaction,I,A30,Leprosy [Hansen disease],http://id.who.int/icd/release/11/2022-02/mms/1886317801
1,1B20.3,Complications of leprosy,I,A30,Leprosy [Hansen disease],http://id.who.int/icd/release/11/2022-02/mms/1324017222
