wva2022_code,wva2022_title,icd10_range,icd10_code
nan,nan,"B25-49,B55-99",B44
nan,nan,"B25-49,B55-99",B45
nan,nan,"B25-49,B55-99",B46
nan,nan,"B25-49,B55-99",B47
nan,nan,"B25-49,B55-99",B48
nan,nan,"B25-49,B55-99",B49
nan,nan,"B25-49,B55-99",B55
nan,nan,"B25-49,B55-99",B56
nan,nan,"B25-49,B55-99",B57
nan,nan,"B25-49,B55-99",B58
nan,nan,"B25-49,B55-99",B59
nan,nan,"B25-49,B55-99",B60
nan,nan,"B25-49,B55-99",B61
nan,nan,"B25-49,B55-99",B62
nan,nan,"B25-49,B55-99",B63
nan,nan,"B25-49,B55-99",B64
nan,nan,"B25-49,B55-99",B65
nan,nan,"B25-49,B55-99",B66
nan,nan,"B25-49,B55-99",B67
nan,nan,"B25-49,B55-99",B68
nan,nan,"B25-49,B55-99",B69
nan,nan,"B25-49,B55-99",B70
nan,nan,"B25-49,B55-99",B71
nan,nan,"B25-49,B55-99",B72
nan,nan,"B25-49,B55-99",B73
nan,nan,"B25-49,B55-99",B74
nan,nan,"B25-49,B55-99",B75
nan,nan,"B25-49,B55-99",B76
nan,nan,"B25-49,B55-99",B77
nan,nan,"B25-49,B55-99",B78
nan,nan,"B25-49,B55-99",B79
nan,nan,"B25-49,B55-99",B80
nan,nan,"B25-49,B55-99",B81
nan,nan,"B25-49,B55-99",B82
nan,nan,"B25-49,B55-99",B83
nan,nan,"B25-49,B55-99",B84
nan,nan,"B25-49,B55-99",B85
nan,nan,"B25-49,B55-99",B86
nan,nan,"B25-49,B55-99",B87
nan,nan,"B25-49,B55-99",B88
nan,nan,"B25-49,B55-99",B89
nan,nan,"B25-49,B55-99",B90
nan,nan,"B25-49,B55-99",B91
nan,nan,"B25-49,B55-99",B92
nan,nan,"B25-49,B55-99",B93
nan,nan,"B25-49,B55-99",B94
nan,nan,"B25-49,B55-99",B95
nan,nan,"B25-49,B55-99",B96
nan,nan,"B25-49,B55-99",B97
nan,nan,"B25-49,B55-99",B98
nan,nan,"B25-49,B55-99",B99
1.05,Malaria,B50-54,B50
1.05,Malaria,B50-54,B51
1.05,Malaria,B50-54,B52
1.05,Malaria,B50-54,B53
1.05,Malaria,B50-54,B54
2.01,Oral neoplasms,C00-06,C00
2.01,Oral neoplasms,C00-06,C01
2.01,Oral neoplasms,C00-06,C02
2.01,Oral neoplasms,C00-06,C03
2.01,Oral neoplasms,C00-06,C04
2.01,Oral neoplasms,C00-06,C05
2.01,Oral neoplasms,C00-06,C06
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C07
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C08
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C09
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C10
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C11
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C12
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C13
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C14
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C40
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C41
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C42
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C43
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C44
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C45
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C46
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C47
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C48
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C49
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C64
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C65
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C66
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C67
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C68
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C69
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C70
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C71
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C72
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C73
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C74
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C75
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C76
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C77
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C78
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C79
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C80
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C81
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C82
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C83
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C84
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C85
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C86
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C87
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C88
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C89
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C90
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C91
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C92
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C93
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C94
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C95
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C96
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C97
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C98
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C99
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D00
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D01
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D02
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D03
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D04
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D05
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D06
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D07
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D08
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D09
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D10
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D11
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D12
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D13
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D14
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D15
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D16
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D17
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D18
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D19
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D20
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D21
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D22
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D23
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D24
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D25
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D26
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D27
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D28
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D29
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D30
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D31
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D32
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D33
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D34
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D35
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D36
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D37
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D38
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D39
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D40
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D41
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D42
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D43
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D44
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D45
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D46
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D47
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",D48
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C91
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C92
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C93
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C94
2.99,Other and unspecified neoplasms,"C07-14,C40-49,C64-99,D00-48",C95
2.02,Digestive neoplasms,C15-26,C15
2.02,Digestive neoplasms,C15-26,C16
2.02,Digestive neoplasms,C15-26,C17
2.02,Digestive neoplasms,C15-26,C18
2.02,Digestive neoplasms,C15-26,C19
2.02,Digestive neoplasms,C15-26,C20
2.02,Digestive neoplasms,C15-26,C21
2.02,Digestive neoplasms,C15-26,C22
2.02,Digestive neoplasms,C15-26,C23
2.02,Digestive neoplasms,C15-26,C24
2.02,Digestive neoplasms,C15-26,C25
2.02,Digestive neoplasms,C15-26,C26
2.03,Respiratory neoplasms,C30-39,C30
2.03,Respiratory neoplasms,C30-39,C31
2.03,Respiratory neoplasms,C30-39,C32
2.03,Respiratory neoplasms,C30-39,C33
2.03,Respiratory neoplasms,C30-39,C34
2.03,Respiratory neoplasms,C30-39,C35
2.03,Respiratory neoplasms,C30-39,C36
2.03,Respiratory neoplasms,C30-39,C37
2.03,Respiratory neoplasms,C30-39,C38
2.03,Respiratory neoplasms,C30-39,C39
2.04,Breast neoplasms,C50,C50
2.05,Female reproductive neoplasms,C51-58,C51
2.05,Female reproductive neoplasms,C51-58,C52
2.05,Female reproductive neoplasms,C51-58,C53
2.05,Female reproductive neoplasms,C51-58,C54
2.05,Female reproductive neoplasms,C51-58,C55
2.05,Female reproductive neoplasms,C51-58,C56
2.05,Female reproductive neoplasms,C51-58,C57
2.05,Female reproductive neoplasms,C51-58,C58
2.06,Male reproductive neoplasms,C60-63,C60
2.06,Male reproductive neoplasms,C60-63,C61
2.06,Male reproductive neoplasms,C60-63,C62
2.06,Male reproductive neoplasms,C60-63,C63
3.01,Severe anaemia,D50-64,D50
3.01,Severe anaemia,D50-64,D51
3.01,Severe anaemia,D50-64,D52
3.01,Severe anaemia,D50-64,D53
3.01,Severe anaemia,D50-64,D54
3.01,Severe anaemia,D50-64,D55
3.01,Severe anaemia,D50-64,D56
3.01,Severe anaemia,D50-64,D57
3.01,Severe anaemia,D50-64,D58
3.01,Severe anaemia,D50-64,D59
3.01,Severe anaemia,D50-64,D60
3.01,Severe anaemia,D50-64,D61
3.01,Severe anaemia,D50-64,D62
3.01,Severe anaemia,D50-64,D63
3.01,Severe anaemia,D50-64,D64
4.03,Sickle cell with crisis,D57,D57
98.0,Other and unspecified non- communicable disease,"D65-89,E00-07,E15-35,E50-90,F00-99,G06-37,G50-99,H00-95,J30-39,J47-84,J86-99,K00-31,K35-38,K40-69",D65
98.0,Other and unspecified non- communicable disease,"D65-89,E00-07,E15-35,E50-90,F00-99,G06-37,G50-99,H00-95,J30-39,J47-84,J86-99,K00-31,K35-38,K40-69",D66
98.0,Other and unspecified non- communicable disease,"D65-89,E00-07,E15-35,E50-90,F00-99,G06-37,G50-99,H00-95,J30-39,J47-84,J86-99,K00-31,K35-38,K40-69",D67
98.0,Other and unspecified non- communicable disease,"D65-89,E00-07,E15-35,E50-90,F00-99,G06-37,G50-99,H00-95,J30-39,J47-84,J86-99,K00-31,K35-38,K40-69",D68
98.0,Other and unspecified non- communicable disease,"D65-89,E00-07,E15-35,E50-90,F00-99,G06-37,G50-99,H00-95,J30-39,J47-84,J86-99,K00-31,K35-38,K40-69",D69
98.0,Other and unspecified non- communicable disease,"D65-89,E00-07,E15-35,E50-90,F00-99,G06-37,G50-99,H00-95,J30-39,J47-84,J86-99,K00-31,K35-38,K40-69",D70
98.0,Other and unspecified non- communicable disease,"D65-89,E00-07,E15-35,E50-90,F00-99,G06-37,G50-99,H00-95,J30-39,J47-84,J86-99,K00-31,K35-38,K40-69",D71
98.0,Other and unspecified non- communicable disease,"D65-89,E00-07,E15-35,E50-90,F00-99,G06-37,G50-99,H00-95,J30-39,J47-84,J86-99,K00-31,K35-38,K40-69",D72
98.0,Other and unspecified non- communicable disease,"D65-89,E00-07,E15-35,E50-90,F00-99,G06-37,G50-99,H00-95,J30-39,J47-84,J86-99,K00-31,K35-38,K40-69",D73
98.0,Other and unspecified non- communicable disease,"D65-89,E00-07,E15-35,E50-90,F00-99,G06-37,G50-99,H00-95,J30-39,J47-84,J86-99,K00-31,K35-38,K40-69",D74
98.0,Other and unspecified non- communicable disease,"D65-89,E00-07,E15-35,E50-90,F00-99,G06-37,G50-99,H00-95,J30-39,J47-84,J86-99,K00-31,K35-38,K40-69",D75
98.0,Other and unspecified non- communicable disease,"D65-89,E00-07,E15-35,E50-90,F00-99,G06-37,G50-99,H00-95,J30-39,J47-84,J86-99,K00-31,K35-38,K40-69",D76
98.0,Other and unspecified non- communicable disease,"D65-89,E00-07,E15-35,E50-90,F00-99,G06-37,G50-99,H00-95,J30-39,J47-84,J86-99,K00-31,K35-38,K40-69",D77
98.0,Other and unspecified non- communicable disease,"D65-89,E00-07,E15-35,E50-90,F00-99,G06-37,G50-99,H00-95,J30-39,J47-84,J86-99,K00-31,K35-38,K40-69",D78
98.0,Other and unspecified non- communicable disease,"D65-89,E00-07,E15-35,E50-90,F00-99,G06-37,G50-99,H00-95,J30-39,J47-84,J86-99,K00-31,K35-38,K40-69",D79
98.0,Other and unspecified non- communicable disease,"D65-89,E00-07,E15-35,E50-90,F00-99,G06-37,G50-99,H00-95,J30-39,J47-84,J86-99,K00-31,K35-38,K40-69",D80
98.0,Other and unspecified non- communicable disease,"D65-89,E00-07,E15-35,E50-90,F00-99,G06-37,G50-99,H00-95,J30-39,J47-84,J86-99,K00-31,K35-38,K40-69",D81
98.0,Other and unspecified non- communicable disease,"D65-89,E00-07,E15-35,E50-90,F00-99,G06-37,G50-99,H00-95,J30-39,J47-84,J86-99,K00-31,K35-38,K40-69",D82
98.0,Other and unspecified non- communicable disease,"D65-89,E00-07,E15-35,E50-90,F00-99,G06-37,G50-99,H00-95,J30-39,J47-84,J86-99,K00-31,K35-38,K40-69",D83
98.0,Other and unspecified non- communicable disease,"D65-89,E00-07,E15-35,E50-90,F00-99,G06-37,G50-99,H00-95,J30-39,J47-84,J86-99,K00-31,K35-38,K40-69",D84
98.0,Other and unspecified non- communicable disease,"D65-89,E00-07,E15-35,E50-90,F00-99,G06-37,G50-99,H00-95,J30-39,J47-84,J86-99,K00-31,K35-38,K40-69",D85
98.0,Other and unspecified non- communicable disease,"D65-89,E00-07,E15-35,E50-90,F00-99,G06-37,G50-99,H00-95,J30-39,J47-84,J86-99,K00-31,K35-38,K40-69",D86
98.0,Other and unspecified non- communicable disease,"D65-89,E00-07,E15-35,E50-90,F00-99,G06-37,G50-99,H00-95,J30-39,J47-84,J86-99,K00-31,K35-38,K40-69",D87
98.0,Other and unspecified non- communicable disease,"D65-89,E00-07,E15-35,E50-90,F00-99,G06-37,G50-99,H00-95,J30-39,J47-84,J86-99,K00-31,K35-38,K40-69",D88
98.0,Other and unspecified non- communicable disease,"D65-89,E00-07,E15-35,E50-90,F00-99,G06-37,G50-99,H00-95,J30-39,J47-84,J86-99,K00-31,K35-38,K40-69",D89
98.0,Other and unspecified non- communicable disease,"D65-89,E00-07,E15-35,E50-90,F00-99,G06-37,G50-99,H00-95,J30-39,J47-84,J86-99,K00-31,K35-38,K40-69",E00
98.0,Other and unspecified non- communicable disease,"D65-89,E00-07,E15-35,E50-90,F00-99,G06-37,G50-99,H00-95,J30-39,J47-84,J86-99,K00-31,K35-38,K40-69",E01
98.0,Other and unspecified non- communicable disease,"D65-89,E00-07,E15-35,E50-90,F00-99,G06-37,G50-99,H00-95,J30-39,J47-84,J86-99,K00-31,K35-38,K40-69",E02
98.0,Other and unspecified non- communicable disease,"D65-89,E00-07,E15-35,E50-90,F00-99,G06-37,G50-99,H00-95,J30-39,J47-84,J86-99,K00-31,K35-38,K40-69",E03
98.0,Other and unspecified non- communicable disease,"D65-89,E00-07,E15-35,E50-90,F00-99,G06-37,G50-99,H00-95,J30-39,J47-84,J86-99,K00-31,K35-38,K40-69",E04
98.0,Other and unspecified non- communicable disease,"D65-89,E00-07,E15-35,E50-90,F00-99,G06-37,G50-99,H00-95,J30-39,J47-84,J86-99,K00-31,K35-38,K40-69",E05
98.0,Other and unspecified non- communicable disease,"D65-89,E00-07,E15-35,E50-90,F00-99,G06-37,G50-99,H00-95,J30-39,J47-84,J86-99,K00-31,K35-38,K40-69",E06
98.0,Other and unspecified non- communicable disease,"D65-89,E00-07,E15-35,E50-90,F00-99,G06-37,G50-99,H00-95,J30-39,J47-84,J86-99,K00-31,K35-38,K40-69",E07
98.0,Other and unspecified non- communicable disease,"D65-89,E00-07,E15-35,E50-90,F00-99,G06-37,G50-99,H00-95,J30-39,J47-84,J86-99,K00-31,K35-38,K40-69",E15
98.0,Other and unspecified non- communicable disease,"D65-89,E00-07,E15-35,E50-90,F00-99,G06-37,G50-99,H00-95,J30-39,J47-84,J86-99,K00-31,K35-38,K40-69",E16
98.0,Other and unspecified non- communicable disease,"D65-89,E00-07,E15-35,E50-90,F00-99,G06-37,G50-99,H00-95,J30-39,J47-84,J86-99,K00-31,K35-38,K40-69",E17
98.0,Other and unspecified non- communicable disease,"D65-89,E00-07,E15-35,E50-90,F00-99,G06-37,G50-99,H00-95,J30-39,J47-84,J86-99,K00-31,K35-38,K40-69",E18
98.0,Other and unspecified non- communicable disease,"D65-89,E00-07,E15-35,E50-90,F00-99,G06-37,G50-99,H00-95,J30-39,J47-84,J86-99,K00-31,K35-38,K40-69",E19
98.0,Other and unspecified non- communicable disease,"D65-89,E00-07,E15-35,E50-90,F00-99,G06-37,G50-99,H00-95,J30-39,J47-84,J86-99,K00-31,K35-38,K40-69",E20
98.0,Other and unspecified non- communicable disease,"D65-89,E00-07,E15-35,E50-90,F00-99,G06-37,G50-99,H00-95,J30-39,J47-84,J86-99,K00-31,K35-38,K40-69",E21
98.0,Other and unspecified non- communicable disease,"D65-89,E00-07,E15-35,E50-90,F00-99,G06-37,G50-99,H00-95,J30-39,J47-84,J86-99,K00-31,K35-38,K40-69",E22
