cmea_title,icd10_range,icd10_code
Other infectious diseases (2),"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",B00
Other infectious diseases (2),"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",B02
Other infectious diseases (2),"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",B04
Other infectious diseases (2),"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",B07
Other infectious diseases (2),"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",B08
Other infectious diseases (2),"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",B09
Other infectious diseases (2),"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",B25
Other infectious diseases (2),"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",B27
Other infectious diseases (2),"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",B30
Other infectious diseases (2),"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",B33
Other infectious diseases (2),"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",B34
Other infectious diseases (2),"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",B35
Other infectious diseases (2),"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",B36
Other infectious diseases (2),"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",B37
Other infectious diseases (2),"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",B38
Other infectious diseases (2),"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",B39
Other infectious diseases (2),"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",B40
Other infectious diseases (2),"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",B41
Other infectious diseases (2),"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",B42
Other infectious diseases (2),"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",B43
Other infectious diseases (2),"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",B44
Other infectious diseases (2),"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",B45
Other infectious diseases (2),"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",B46
Other infectious diseases (2),"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",B47
Other infectious diseases (2),"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",B48
Other infectious diseases (2),"B00,B02,B04,B07,B08,B09,B25,B27,B30,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49",B49
Measles,"B01,B05",B01
Measles,"B01,B05",B05
Other vaccine preventable diseases (2),"B03,B06",B03
Other vaccine preventable diseases (2),"B03,B06",B06
Hepatitis,"B15,B16,B17,B18,B19",B15
Hepatitis,"B15,B16,B17,B18,B19",B16
Hepatitis,"B15,B16,B17,B18,B19",B17
Hepatitis,"B15,B16,B17,B18,B19",B18
Hepatitis,"B15,B16,B17,B18,B19",B19
HIV/AIDS,"B20,B21,B22,B23,B24,C46,D84,R75",B20
HIV/AIDS,"B20,B21,B22,B23,B24,C46,D84,R75",B21
HIV/AIDS,"B20,B21,B22,B23,B24,C46,D84,R75",B22
HIV/AIDS,"B20,B21,B22,B23,B24,C46,D84,R75",B23
HIV/AIDS,"B20,B21,B22,B23,B24,C46,D84,R75",B24
HIV/AIDS,"B20,B21,B22,B23,B24,C46,D84,R75",C46
HIV/AIDS,"B20,B21,B22,B23,B24,C46,D84,R75",D84
HIV/AIDS,"B20,B21,B22,B23,B24,C46,D84,R75",R75
Malaria,"B50,B51,B52,B53,B54",B50
Malaria,"B50,B51,B52,B53,B54",B51
Malaria,"B50,B51,B52,B53,B54",B52
Malaria,"B50,B51,B52,B53,B54",B53
Malaria,"B50,B51,B52,B53,B54",B54
Protozoal diseases,"B55,B56,B57,B58,B60,B64",B55
Protozoal diseases,"B55,B56,B57,B58,B60,B64",B56
Protozoal diseases,"B55,B56,B57,B58,B60,B64",B57
Protozoal diseases,"B55,B56,B57,B58,B60,B64",B58
Protozoal diseases,"B55,B56,B57,B58,B60,B64",B60
Protozoal diseases,"B55,B56,B57,B58,B60,B64",B64
Helminthiases,"B65,B66,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B77,B78,B79,B80,B81,B82,B83",B65
Helminthiases,"B65,B66,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B77,B78,B79,B80,B81,B82,B83",B66
Helminthiases,"B65,B66,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B77,B78,B79,B80,B81,B82,B83",B67
Helminthiases,"B65,B66,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B77,B78,B79,B80,B81,B82,B83",B68
Helminthiases,"B65,B66,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B77,B78,B79,B80,B81,B82,B83",B69
Helminthiases,"B65,B66,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B77,B78,B79,B80,B81,B82,B83",B70
Helminthiases,"B65,B66,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B77,B78,B79,B80,B81,B82,B83",B71
Helminthiases,"B65,B66,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B77,B78,B79,B80,B81,B82,B83",B72
Helminthiases,"B65,B66,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B77,B78,B79,B80,B81,B82,B83",B73
Helminthiases,"B65,B66,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B77,B78,B79,B80,B81,B82,B83",B74
Helminthiases,"B65,B66,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B77,B78,B79,B80,B81,B82,B83",B75
Helminthiases,"B65,B66,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B77,B78,B79,B80,B81,B82,B83",B76
Helminthiases,"B65,B66,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B77,B78,B79,B80,B81,B82,B83",B77
Helminthiases,"B65,B66,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B77,B78,B79,B80,B81,B82,B83",B78
Helminthiases,"B65,B66,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B77,B78,B79,B80,B81,B82,B83",B79
Helminthiases,"B65,B66,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B77,B78,B79,B80,B81,B82,B83",B80
Helminthiases,"B65,B66,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B77,B78,B79,B80,B81,B82,B83",B81
Helminthiases,"B65,B66,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B77,B78,B79,B80,B81,B82,B83",B82
Helminthiases,"B65,B66,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B77,B78,B79,B80,B81,B82,B83",B83
Other infectious diseases (3),"B85,B86,B87,B88,B89",B85
Other infectious diseases (3),"B85,B86,B87,B88,B89",B86
Other infectious diseases (3),"B85,B86,B87,B88,B89",B87
Other infectious diseases (3),"B85,B86,B87,B88,B89",B88
Other infectious diseases (3),"B85,B86,B87,B88,B89",B89
Upper aerodigestive cancer,"C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C30,C31,C32,D10,D11",C00
Upper aerodigestive cancer,"C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C30,C31,C32,D10,D11",C01
Upper aerodigestive cancer,"C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C30,C31,C32,D10,D11",C02
Upper aerodigestive cancer,"C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C30,C31,C32,D10,D11",C03
Upper aerodigestive cancer,"C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C30,C31,C32,D10,D11",C04
Upper aerodigestive cancer,"C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C30,C31,C32,D10,D11",C05
Upper aerodigestive cancer,"C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C30,C31,C32,D10,D11",C06
Upper aerodigestive cancer,"C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C30,C31,C32,D10,D11",C07
Upper aerodigestive cancer,"C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C30,C31,C32,D10,D11",C08
Upper aerodigestive cancer,"C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C30,C31,C32,D10,D11",C09
Upper aerodigestive cancer,"C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C30,C31,C32,D10,D11",C10
Upper aerodigestive cancer,"C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C30,C31,C32,D10,D11",C11
Upper aerodigestive cancer,"C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C30,C31,C32,D10,D11",C12
Upper aerodigestive cancer,"C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C30,C31,C32,D10,D11",C13
Upper aerodigestive cancer,"C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C30,C31,C32,D10,D11",C14
Upper aerodigestive cancer,"C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C30,C31,C32,D10,D11",C15
Upper aerodigestive cancer,"C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C30,C31,C32,D10,D11",C30
Upper aerodigestive cancer,"C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C30,C31,C32,D10,D11",C31
Upper aerodigestive cancer,"C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C30,C31,C32,D10,D11",C32
Upper aerodigestive cancer,"C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C30,C31,C32,D10,D11",D10
Upper aerodigestive cancer,"C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C30,C31,C32,D10,D11",D11
"Colon, rectum, and small intestine cancer","C17,C18,C19,C20,C21,D12",C17
"Colon, rectum, and small intestine cancer","C17,C18,C19,C20,C21,D12",C18
"Colon, rectum, and small intestine cancer","C17,C18,C19,C20,C21,D12",C19
"Colon, rectum, and small intestine cancer","C17,C18,C19,C20,C21,D12",C20
"Colon, rectum, and small intestine cancer","C17,C18,C19,C20,C21,D12",C21
"Colon, rectum, and small intestine cancer","C17,C18,C19,C20,C21,D12",D12
Other digestive cancer,"C23,C24,C25,C26,C48,D00,D01,D13,D37",C23
Other digestive cancer,"C23,C24,C25,C26,C48,D00,D01,D13,D37",C24
Other digestive cancer,"C23,C24,C25,C26,C48,D00,D01,D13,D37",C25
Other digestive cancer,"C23,C24,C25,C26,C48,D00,D01,D13,D37",C26
Other digestive cancer,"C23,C24,C25,C26,C48,D00,D01,D13,D37",C48
Other digestive cancer,"C23,C24,C25,C26,C48,D00,D01,D13,D37",D00
Other digestive cancer,"C23,C24,C25,C26,C48,D00,D01,D13,D37",D01
Other digestive cancer,"C23,C24,C25,C26,C48,D00,D01,D13,D37",D13
Other digestive cancer,"C23,C24,C25,C26,C48,D00,D01,D13,D37",D37
Lung & airway cancer,"C33,C34,C39,D02,D14",C33
Lung & airway cancer,"C33,C34,C39,D02,D14",C34
Lung & airway cancer,"C33,C34,C39,D02,D14",C39
Lung & airway cancer,"C33,C34,C39,D02,D14",D02
Lung & airway cancer,"C33,C34,C39,D02,D14",D14
Other neoplasms (1),"C37,C38",C37
Other neoplasms (1),"C37,C38",C38
Other neoplasms (2),"C40,C41",C40
Other neoplasms (2),"C40,C41",C41
Other neoplasms (3),"C43,C44",C43
Other neoplasms (3),"C43,C44",C44
Other neoplasms (4),"C45,C46,C47,C48,C49",C45
Other neoplasms (4),"C45,C46,C47,C48,C49",C46
Other neoplasms (4),"C45,C46,C47,C48,C49",C47
Other neoplasms (4),"C45,C46,C47,C48,C49",C48
Other neoplasms (4),"C45,C46,C47,C48,C49",C49
Breast cancer,"C50,D05,D24,N60,N62,N63,N64",C50
Breast cancer,"C50,D05,D24,N60,N62,N63,N64",D05
Breast cancer,"C50,D05,D24,N60,N62,N63,N64",D24
Breast cancer,"C50,D05,D24,N60,N62,N63,N64",N60
Breast cancer,"C50,D05,D24,N60,N62,N63,N64",N62
Breast cancer,"C50,D05,D24,N60,N62,N63,N64",N63
Breast cancer,"C50,D05,D24,N60,N62,N63,N64",N64
Other female genital cancer,"C51,C52,C56,C57,C58,D25,D26,D27,D28,D39",C51
Other female genital cancer,"C51,C52,C56,C57,C58,D25,D26,D27,D28,D39",C52
Other female genital cancer,"C51,C52,C56,C57,C58,D25,D26,D27,D28,D39",C56
Other female genital cancer,"C51,C52,C56,C57,C58,D25,D26,D27,D28,D39",C57
Other female genital cancer,"C51,C52,C56,C57,C58,D25,D26,D27,D28,D39",C58
Other female genital cancer,"C51,C52,C56,C57,C58,D25,D26,D27,D28,D39",D25
Other female genital cancer,"C51,C52,C56,C57,C58,D25,D26,D27,D28,D39",D26
Other female genital cancer,"C51,C52,C56,C57,C58,D25,D26,D27,D28,D39",D27
Other female genital cancer,"C51,C52,C56,C57,C58,D25,D26,D27,D28,D39",D28
Other female genital cancer,"C51,C52,C56,C57,C58,D25,D26,D27,D28,D39",D39
Cervix & Uterus cancer,"C53,C54,C55,D06,N87",C53
Cervix & Uterus cancer,"C53,C54,C55,D06,N87",C54
Cervix & Uterus cancer,"C53,C54,C55,D06,N87",C55
Cervix & Uterus cancer,"C53,C54,C55,D06,N87",D06
Cervix & Uterus cancer,"C53,C54,C55,D06,N87",N87
Male genital cancer,"C60,C61,C62,C63,D29,D40",C60
Male genital cancer,"C60,C61,C62,C63,D29,D40",C61
Male genital cancer,"C60,C61,C62,C63,D29,D40",C62
Male genital cancer,"C60,C61,C62,C63,D29,D40",C63
Male genital cancer,"C60,C61,C62,C63,D29,D40",D29
Male genital cancer,"C60,C61,C62,C63,D29,D40",D40
Urinary cancer,"C64,C65,C66,C67,C68,D30,D41",C64
Urinary cancer,"C64,C65,C66,C67,C68,D30,D41",C65
Urinary cancer,"C64,C65,C66,C67,C68,D30,D41",C66
Urinary cancer,"C64,C65,C66,C67,C68,D30,D41",C67
Urinary cancer,"C64,C65,C66,C67,C68,D30,D41",C68
Urinary cancer,"C64,C65,C66,C67,C68,D30,D41",D30
Urinary cancer,"C64,C65,C66,C67,C68,D30,D41",D41
Brain and eye cancer,"C69,C70,C71,C72,D31,D32,D33,D42,D43",C69
Brain and eye cancer,"C69,C70,C71,C72,D31,D32,D33,D42,D43",C70
Brain and eye cancer,"C69,C70,C71,C72,D31,D32,D33,D42,D43",C71
Brain and eye cancer,"C69,C70,C71,C72,D31,D32,D33,D42,D43",C72
Brain and eye cancer,"C69,C70,C71,C72,D31,D32,D33,D42,D43",D31
Brain and eye cancer,"C69,C70,C71,C72,D31,D32,D33,D42,D43",D32
Brain and eye cancer,"C69,C70,C71,C72,D31,D32,D33,D42,D43",D33
Brain and eye cancer,"C69,C70,C71,C72,D31,D32,D33,D42,D43",D42
Brain and eye cancer,"C69,C70,C71,C72,D31,D32,D33,D42,D43",D43
Other neoplasms (5),"C73,C74,C75",C73
Other neoplasms (5),"C73,C74,C75",C74
Other neoplasms (5),"C73,C74,C75",C75
Other neoplasms (6),"C76,C77,C78,C79,C80,C97",C76
Other neoplasms (6),"C76,C77,C78,C79,C80,C97",C77
