wbd10_age,wbd10_kind,wbd10_kind_depth,wbd10_codex4,wbd10_codex2,wbd10_code,wbd10_codex4_title,wbd10_codex2_title,wbd10_title,icd10_range,icd10_code
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",A17
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",A18
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",A19
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",A30
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",A31
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",A36
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",A50
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",A51
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",A52
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",A53
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",A54
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",A55
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",A56
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",A57
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",A58
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",A59
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",A60
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",A61
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",A62
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",A63
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",A64
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",A65
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",A66
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",A67
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",A71
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",A90
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",A91
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",A92
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",A93
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",A94
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",A95
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",A96
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",A97
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",A98
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",A99
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",B00
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",B02
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",B03
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",B04
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",B06
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",B07
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",B08
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",B09
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",B15
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",B16
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",B17
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",B18
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",B19
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",B20
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",B21
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",B22
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",B23
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",B24
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",B25
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",B26
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",B27
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",B30
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",B33
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",B34
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",B35
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",B36
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",B37
neo,codex,3,1,1B,1B06,"Communicable, perinatal and nutritional conditions",Other communicable diseases,Other infectious and parasitic diseases,"A15-A19,A30-A31,A36,A50-A67,A71,A90-A99,B00,B02-B04,B06-B09,B15-B27,B30,B33-B49,B55-B60,B64-B83,B85-B90,B92,B94,B97,B99,J65,K04,K05,K61,N70-N74,R75,U00,Y95",B38
